Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
15:45:04.0,0.0
15:45:05.0,0.231
15:45:06.0,0.249
15:45:07.0,4.463
15:45:08.0,0.249
15:45:09.0,0.314
15:45:10.0,0.251
15:45:11.0,0.251
15:45:12.0,0.438
15:45:13.0,0.25
15:45:14.0,0.25
15:45:15.0,0.238
15:45:16.0,0.236
15:45:17.0,0.251
15:45:18.0,0.25
15:45:19.0,0.244
15:45:20.0,0.251
15:45:21.0,0.251
15:45:22.0,139.125
15:45:23.0,2310.145
15:45:24.0,5007.322
15:45:25.0,6351.422
15:45:26.0,8029.779
15:45:27.0,8717.583
15:45:28.0,8743.307
15:45:29.0,8773.982
15:45:30.0,8823.912
15:45:31.0,9068.218
15:45:32.0,8651.893
15:45:33.0,8763.049
15:45:34.0,8848.577
15:45:35.0,8797.48
15:45:36.0,8958.065
15:45:37.0,8398.841
15:45:38.0,8688.952
15:45:39.0,8673.254
15:45:40.0,8483.231
15:45:41.0,8837.043
15:45:42.0,8143.105
15:45:43.0,8922.693
15:45:44.0,8604.957
15:45:45.0,8824.294
15:45:46.0,8284.315
15:45:47.0,8675.707
15:45:48.0,8622.89
15:45:49.0,8690.947
15:45:50.0,8347.699
15:45:51.0,8756.313
15:45:52.0,8483.64
15:45:53.0,8979.595
15:45:54.0,8459.623
15:45:55.0,8538.111
15:45:56.0,8545.965
15:45:57.0,8728.616
15:45:58.0,6648.845
15:45:59.0,6978.466
15:46:00.0,6371.679
15:46:01.0,5899.829
15:46:02.0,4844.203
15:46:03.0,6114.171
15:46:04.0,5670.121
15:46:05.0,6538.506
15:46:06.0,6768.036
15:46:07.0,6883.591
15:46:08.0,8405.927
15:46:09.0,8967.695
15:46:10.0,7297.306
15:46:11.0,6540.083
15:46:12.0,6608.182
15:46:13.0,6075.834
15:46:14.0,4806.814
15:46:15.0,4339.352
15:46:16.0,3397.382
15:46:17.0,3608.323
15:46:18.0,5184.481
15:46:19.0,6186.768
15:46:20.0,7360.822
15:46:21.0,7721.752
15:46:22.0,7315.23
15:46:23.0,8409.534
15:46:24.0,8035.223
15:46:25.0,8040.723
15:46:26.0,7701.528
15:46:27.0,8349.492
15:46:28.0,8075.627
15:46:29.0,8666.846
15:46:30.0,8564.104
15:46:31.0,8347.636
15:46:32.0,8334.063
15:46:33.0,8493.949
15:46:34.0,8061.146
15:46:35.0,7730.043
15:46:36.0,7189.582
15:46:37.0,7913.348
15:46:38.0,7827.297
15:46:39.0,7574.371
15:46:40.0,7378.779
15:46:41.0,8119.265
15:46:42.0,7147.155
15:46:43.0,7836.458
15:46:44.0,8238.252
15:46:45.0,6816.079
15:46:46.0,8196.713
15:46:47.0,7267.608
15:46:48.0,7824.778
15:46:49.0,7352.698
15:46:50.0,7545.068
15:46:51.0,7402.999
15:46:52.0,7851.976
15:46:53.0,7724.019
15:46:54.0,8108.072
15:46:55.0,8096.334
15:46:56.0,8168.981
15:46:57.0,8276.958
15:46:58.0,7344.778
15:46:59.0,6772.904
15:47:00.0,6257.558
15:47:01.0,5858.595
15:47:02.0,4844.939
15:47:03.0,5580.471
15:47:04.0,5241.958
15:47:05.0,6157.262
15:47:06.0,5626.45
15:47:07.0,6035.379
15:47:08.0,6669.666
15:47:09.0,8534.625
15:47:10.0,8026.84
15:47:11.0,8285.27
15:47:12.0,8760.536
15:47:13.0,8501.127
15:47:14.0,8674.445
15:47:15.0,6535.92
15:47:16.0,6905.384
15:47:17.0,6132.629
15:47:18.0,5564.687
15:47:19.0,3953.705
15:47:20.0,2702.954
15:47:21.0,3142.878
15:47:22.0,3020.198
15:47:23.0,3598.605
15:47:24.0,4636.166
15:47:25.0,6411.857
15:47:26.0,5967.997
15:47:27.0,7478.071
15:47:28.0,7400.608
15:47:29.0,7926.611
15:47:30.0,8221.403
15:47:31.0,7766.36
15:47:32.0,7617.423
15:47:33.0,8282.259
15:47:34.0,8302.563
15:47:35.0,7745.589
15:47:36.0,8363.929
15:47:37.0,7756.918
15:47:38.0,8118.328
15:47:39.0,7413.377
15:47:40.0,8008.777
15:47:41.0,7473.777
15:47:42.0,7415.217
15:47:43.0,7580.54
15:47:44.0,7596.032
15:47:45.0,8263.251
15:47:46.0,7725.735
15:47:47.0,6900.426
15:47:48.0,6207.704
15:47:49.0,7208.527
15:47:50.0,8314.679
15:47:51.0,7931.903
15:47:52.0,7721.222
15:47:53.0,7535.487
15:47:54.0,8301.279
15:47:55.0,6694.233
15:47:56.0,6505.777
15:47:57.0,6295.41
15:47:58.0,4423.607
15:47:59.0,5981.866
15:48:00.0,5147.212
15:48:01.0,5794.326
15:48:02.0,5323.537
15:48:03.0,5279.987
15:48:04.0,6005.541
15:48:05.0,5406.239
15:48:06.0,5940.801
15:48:07.0,4254.366
15:48:08.0,0.256
15:48:09.0,0.253
15:48:10.0,0.235
15:48:11.0,0.333
15:48:12.0,0.239
15:48:13.0,0.254
15:48:14.0,0.24
15:48:15.0,0.249
15:48:16.0,0.25
