Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
15:36:16.0,0.0
15:36:17.0,0.244
15:36:18.0,0.249
15:36:19.0,0.235
15:36:20.0,0.251
15:36:21.0,0.25
15:36:22.0,0.251
15:36:23.0,0.25
15:36:24.0,4.463
15:36:25.0,0.252
15:36:26.0,0.251
15:36:27.0,0.25
15:36:28.0,0.25
15:36:29.0,0.375
15:36:30.0,0.252
15:36:31.0,0.251
15:36:32.0,0.251
15:36:33.0,0.251
15:36:34.0,0.25
15:36:35.0,0.249
15:36:36.0,0.248
15:36:37.0,0.239
15:36:38.0,0.251
15:36:39.0,754.336
15:36:40.0,298.274
15:36:41.0,291.627
15:36:42.0,498.787
15:36:43.0,362.352
15:36:44.0,466.312
15:36:45.0,354.661
15:36:46.0,391.656
15:36:47.0,331.197
15:36:48.0,394.078
15:36:49.0,454.416
15:36:50.0,391.863
15:36:51.0,453.23
15:36:52.0,568.435
15:36:53.0,292.292
15:36:54.0,520.94
15:36:55.0,548.219
15:36:56.0,427.395
15:36:57.0,567.295
15:36:58.0,291.583
15:36:59.0,457.707
15:37:00.0,439.136
15:37:01.0,550.523
15:37:02.0,567.093
15:37:03.0,365.649
15:37:04.0,491.307
15:37:05.0,501.759
15:37:06.0,295.42
15:37:07.0,483.724
15:37:08.0,539.633
15:37:09.0,294.425
15:37:10.0,484.944
15:37:11.0,537.778
15:37:12.0,313.412
15:37:13.0,486.309
15:37:14.0,534.494
15:37:15.0,346.401
15:37:16.0,488.787
15:37:17.0,495.674
15:37:18.0,494.751
15:37:19.0,486.251
15:37:20.0,539.698
15:37:21.0,509.03
15:37:22.0,416.321
15:37:23.0,588.433
15:37:24.0,538.435
15:37:25.0,445.776
15:37:26.0,544.143
15:37:27.0,583.594
15:37:28.0,397.217
15:37:29.0,539.284
15:37:30.0,513.21
15:37:31.0,418.812
15:37:32.0,534.241
15:37:33.0,524.5
15:37:34.0,453.952
15:37:35.0,490.941
15:37:36.0,552.105
15:37:37.0,421.284
15:37:38.0,559.906
15:37:39.0,583.711
15:37:40.0,386.562
15:37:41.0,596.596
15:37:42.0,541.246
15:37:43.0,451.474
15:37:44.0,529.818
15:37:45.0,551.216
15:37:46.0,386.333
15:37:47.0,445.671
15:37:48.0,486.998
15:37:49.0,489.868
15:37:50.0,402.343
15:37:51.0,488.304
15:37:52.0,692.676
15:37:53.0,433.355
15:37:54.0,594.223
15:37:55.0,588.307
15:37:56.0,293.834
15:37:57.0,687.399
15:37:58.0,442.786
15:37:59.0,487.774
15:38:00.0,566.759
15:38:01.0,575.387
15:38:02.0,385.477
15:38:03.0,595.948
15:38:04.0,529.437
15:38:05.0,344.749
15:38:06.0,534.934
15:38:07.0,596.881
15:38:08.0,490.887
15:38:09.0,540.774
15:38:10.0,545.145
15:38:11.0,435.277
15:38:12.0,538.559
15:38:13.0,697.829
15:38:14.0,440.66
15:38:15.0,438.643
15:38:16.0,442.906
15:38:17.0,444.19
15:38:18.0,393.783
15:38:19.0,395.343
15:38:20.0,577.829
15:38:21.0,448.599
15:38:22.0,531.774
15:38:23.0,397.849
15:38:24.0,487.612
15:38:25.0,486.323
15:38:26.0,493.578
15:38:27.0,447.516
15:38:28.0,489.767
15:38:29.0,442.352
15:38:30.0,531.086
15:38:31.0,498.457
15:38:32.0,544.226
15:38:33.0,629.114
15:38:34.0,497.307
15:38:35.0,443.492
15:38:36.0,631.329
15:38:37.0,555.01
15:38:38.0,477.63
15:38:39.0,588.888
15:38:40.0,588.573
15:38:41.0,397.95
15:38:42.0,530.912
15:38:43.0,547.414
15:38:44.0,323.867
15:38:45.0,661.143
15:38:46.0,626.66
15:38:47.0,353.625
15:38:48.0,679.495
15:38:49.0,454.024
15:38:50.0,334.787
15:38:51.0,549.39
15:38:52.0,492.107
15:38:53.0,377.299
15:38:54.0,643.346
15:38:55.0,498.993
15:38:56.0,481.954
15:38:57.0,512.034
15:38:58.0,468.876
15:38:59.0,501.334
15:39:00.0,543.309
15:39:01.0,533.361
15:39:02.0,557.791
15:39:03.0,470.908
15:39:04.0,568.619
15:39:05.0,685.851
15:39:06.0,471.601
15:39:07.0,490.277
15:39:08.0,737.108
15:39:09.0,392.379
15:39:10.0,600.735
15:39:11.0,628.8
15:39:12.0,454.749
15:39:13.0,479.342
15:39:14.0,540.887
15:39:15.0,448.87
15:39:16.0,553.898
15:39:17.0,557.043
15:39:18.0,670.44
15:39:19.0,375.846
15:39:20.0,516.648
15:39:21.0,519.467
15:39:22.0,552.868
15:39:23.0,476.106
15:39:24.0,253.12
15:39:25.0,5.724
15:39:26.0,0.237
15:39:27.0,0.25
15:39:28.0,0.251
15:39:29.0,0.3
15:39:30.0,0.251
15:39:31.0,0.238
15:39:32.0,0.237
15:39:33.0,0.254
15:39:34.0,0.254
15:39:35.0,0.251
15:39:36.0,0.247
15:39:37.0,0.252
15:39:38.0,0.239
15:39:39.0,0.252
15:39:40.0,0.252
15:39:41.0,0.251
15:39:42.0,0.251
15:39:43.0,0.251
15:39:44.0,0.251
15:39:45.0,0.252
15:39:46.0,0.253
15:39:47.0,0.25
15:39:48.0,0.244
15:39:49.0,0.252
15:39:50.0,0.253
15:39:51.0,0.251
15:39:52.0,0.25
15:39:53.0,0.25
15:39:54.0,0.253
15:39:55.0,0.25
15:39:56.0,0.253
15:39:57.0,0.25
15:39:58.0,0.253
15:39:59.0,0.251
15:40:00.0,0.238
15:40:01.0,0.236
15:40:02.0,0.251
15:40:03.0,0.236
15:40:04.0,0.251
15:40:05.0,0.236
15:40:06.0,0.251
15:40:07.0,0.25
15:40:08.0,0.243
15:40:09.0,0.236
15:40:10.0,0.235
15:40:11.0,0.236
15:40:12.0,0.251
15:40:13.0,0.237
15:40:14.0,0.313
15:40:15.0,0.25
15:40:16.0,0.238
15:40:17.0,0.234
15:40:18.0,0.245
15:40:19.0,0.253
15:40:20.0,0.25
15:40:21.0,0.251
15:40:22.0,0.237
15:40:23.0,0.253
15:40:24.0,0.25
15:40:25.0,0.231
