Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
15:40:58.0,0.0
15:40:59.0,0.241
15:41:00.0,4.397
15:41:01.0,0.251
15:41:02.0,0.25
15:41:03.0,0.251
15:41:04.0,0.247
15:41:05.0,0.44
15:41:06.0,0.24
15:41:07.0,0.251
15:41:08.0,0.251
15:41:09.0,0.251
15:41:10.0,0.249
15:41:11.0,0.251
15:41:12.0,0.25
15:41:13.0,0.229
15:41:14.0,71.572
15:41:15.0,1522.667
15:41:16.0,4777.643
15:41:17.0,6657.419
15:41:18.0,6870.916
15:41:19.0,7695.945
15:41:20.0,7519.031
15:41:21.0,7288.415
15:41:22.0,7751.082
15:41:23.0,6862.943
15:41:24.0,7089.349
15:41:25.0,6988.96
15:41:26.0,6931.228
15:41:27.0,7426.173
15:41:28.0,7148.253
15:41:29.0,7103.334
15:41:30.0,7196.525
15:41:31.0,7072.314
15:41:32.0,6602.663
15:41:33.0,6574.56
15:41:34.0,7051.651
15:41:35.0,7235.842
15:41:36.0,6824.944
15:41:37.0,7001.312
15:41:38.0,6245.981
15:41:39.0,6095.21
15:41:40.0,6305.143
15:41:41.0,4926.207
15:41:42.0,6469.853
15:41:43.0,4174.827
15:41:44.0,5969.519
15:41:45.0,3429.321
15:41:46.0,5289.421
15:41:47.0,2740.484
15:41:48.0,2694.449
15:41:49.0,3317.591
15:41:50.0,3654.391
15:41:51.0,4176.139
15:41:52.0,3550.288
15:41:53.0,4839.735
15:41:54.0,5193.517
15:41:55.0,5168.36
15:41:56.0,5823.683
15:41:57.0,4034.872
15:41:58.0,5026.331
15:41:59.0,4344.569
15:42:00.0,4216.826
15:42:01.0,4862.115
15:42:02.0,5438.256
15:42:03.0,4138.062
15:42:04.0,5484.196
15:42:05.0,4369.546
15:42:06.0,4356.217
15:42:07.0,4527.717
15:42:08.0,4624.88
15:42:09.0,4681.102
15:42:10.0,4484.041
15:42:11.0,3165.973
15:42:12.0,4454.723
15:42:13.0,4529.93
15:42:14.0,5308.239
15:42:15.0,3715.249
15:42:16.0,5293.748
15:42:17.0,5341.183
15:42:18.0,2937.683
15:42:19.0,5370.702
15:42:20.0,5454.632
15:42:21.0,3898.292
15:42:22.0,4561.248
15:42:23.0,4599.748
15:42:24.0,5476.537
15:42:25.0,3583.12
15:42:26.0,5157.305
15:42:27.0,4576.65
15:42:28.0,3880.324
15:42:29.0,5663.815
15:42:30.0,4285.432
15:42:31.0,3635.987
15:42:32.0,2712.072
15:42:33.0,3333.767
15:42:34.0,2628.502
15:42:35.0,3149.525
15:42:36.0,3243.199
15:42:37.0,3224.526
15:42:38.0,4259.905
15:42:39.0,4864.689
15:42:40.0,3744.883
15:42:41.0,6001.875
15:42:42.0,4835.962
15:42:43.0,3436.435
15:42:44.0,4153.484
15:42:45.0,4453.01
15:42:46.0,3339.977
15:42:47.0,4470.302
15:42:48.0,5889.621
15:42:49.0,5539.035
15:42:50.0,5159.678
15:42:51.0,4720.205
15:42:52.0,4220.824
15:42:53.0,4461.334
15:42:54.0,4018.112
15:42:55.0,4585.113
15:42:56.0,5647.564
15:42:57.0,4152.322
15:42:58.0,4563.403
15:42:59.0,5924.538
15:43:00.0,3420.613
15:43:01.0,5195.108
15:43:02.0,6715.145
15:43:03.0,3221.501
15:43:04.0,5223.032
15:43:05.0,5475.641
15:43:06.0,3295.908
15:43:07.0,5899.014
15:43:08.0,4916.694
15:43:09.0,3825.152
15:43:10.0,5895.377
15:43:11.0,5127.771
15:43:12.0,2449.931
15:43:13.0,4416.058
15:43:14.0,5541.022
15:43:15.0,4438.627
15:43:16.0,3350.322
15:43:17.0,3266.233
15:43:18.0,3755.611
15:43:19.0,1468.166
15:43:20.0,3250.573
15:43:21.0,3732.473
15:43:22.0,3243.663
15:43:23.0,5620.126
15:43:24.0,5639.67
15:43:25.0,3075.113
15:43:26.0,4723.158
15:43:27.0,3991.317
15:43:28.0,4167.81
15:43:29.0,5850.157
15:43:30.0,3946.541
15:43:31.0,5689.363
15:43:32.0,3366.346
15:43:33.0,4834.001
15:43:34.0,6328.712
15:43:35.0,2802.017
15:43:36.0,5068.669
15:43:37.0,5653.963
15:43:38.0,2972.192
15:43:39.0,5485.557
15:43:40.0,5599.032
15:43:41.0,3190.906
15:43:42.0,5868.442
15:43:43.0,5259.091
15:43:44.0,3699.221
15:43:45.0,5568.016
15:43:46.0,5222.366
15:43:47.0,2559.039
15:43:48.0,6522.657
15:43:49.0,4458.75
15:43:50.0,4834.619
15:43:51.0,4238.444
15:43:52.0,5721.503
15:43:53.0,5222.005
15:43:54.0,4095.817
15:43:55.0,3695.952
15:43:56.0,3717.936
15:43:57.0,4988.886
15:43:58.0,4749.626
15:43:59.0,2937.621
15:44:00.0,0.733
15:44:01.0,0.24
15:44:02.0,1.004
15:44:03.0,0.25
15:44:04.0,0.228
15:44:05.0,0.234
15:44:06.0,0.851
15:44:07.0,0.25
15:44:08.0,0.253
15:44:09.0,0.249
15:44:10.0,0.253
