Elapsed time,192.168.46.11 CPU user,192.168.46.12 CPU user,192.168.46.13 CPU user
10:06:37.0,0.212,,0.178
10:06:38.0,0.751,10.301,0.25
10:06:39.0,0.498,0.251,0.0
10:06:40.0,0.0,0.25,0.751
10:06:41.0,0.25,0.0,0.0
10:06:42.0,0.0,0.5,0.5
10:06:43.0,0.501,0.25,0.25
10:06:44.0,0.0,0.25,0.25
10:06:45.0,1.0,0.248,0.0
10:06:46.0,0.25,0.0,2.25
10:06:47.0,0.25,4.522,0.25
10:06:48.0,0.5,0.25,0.0
10:06:49.0,0.501,1.75,0.0
10:06:50.0,0.25,8.955,0.497
10:06:51.0,0.25,3.007,0.0
10:06:52.0,0.0,0.25,0.5
10:06:53.0,0.25,0.25,0.498
10:06:54.0,0.0,0.0,0.0
10:06:55.0,0.0,0.5,0.25
10:06:56.0,0.249,2.5,0.249
10:06:57.0,0.0,0.0,0.251
10:06:58.0,0.25,0.5,0.249
10:06:59.0,0.25,0.25,0.251
10:07:00.0,0.0,0.0,0.5
10:07:01.0,43.669,0.0,25.063
10:07:02.0,45.641,63.591,40.759
10:07:03.0,20.68,82.878,33.503
10:07:04.0,19.28,79.396,13.471
10:07:05.0,15.404,80.904,11.948
10:07:06.0,13.01,81.296,16.25
10:07:07.0,15.617,81.407,12.658
10:07:08.0,14.652,83.208,15.482
10:07:09.0,15.665,81.818,15.128
10:07:10.0,15.831,79.648,15.641
10:07:11.0,16.623,81.155,18.434
10:07:12.0,18.733,83.417,14.871
10:07:13.0,18.586,81.453,16.452
10:07:14.0,16.18,79.345,16.962
10:07:15.0,19.897,81.313,16.326
10:07:16.0,15.104,79.448,16.624
10:07:17.0,17.25,79.25,15.776
10:07:18.0,12.271,79.899,13.197
10:07:19.0,14.066,79.8,11.989
10:07:20.0,15.183,79.899,18.02
10:07:21.0,11.764,78.855,11.917
10:07:22.0,14.47,80.808,11.548
10:07:23.0,14.177,80.952,13.065
10:07:24.0,14.507,79.8,13.265
10:07:25.0,13.076,80.653,12.436
10:07:26.0,11.458,78.446,14.861
10:07:27.0,11.224,78.947,15.346
10:07:28.0,15.012,80.653,15.632
10:07:29.0,11.111,80.548,12.144
10:07:30.0,13.506,78.841,11.627
10:07:31.0,19.642,78.589,14.621
10:07:32.0,27.272,78.337,15.775
10:07:33.0,16.623,78.75,17.708
10:07:34.0,19.01,81.012,15.601
10:07:35.0,18.367,78.894,12.694
10:07:36.0,17.647,78.787,15.143
10:07:37.0,16.449,77.694,17.258
10:07:38.0,15.926,78.75,19.791
10:07:39.0,17.662,78.391,18.298
10:07:40.0,18.276,82.044,17.179
10:07:41.0,20.105,78.947,12.69
10:07:42.0,18.586,78.553,16.062
10:07:43.0,16.883,81.108,20.93
10:07:44.0,21.391,79.5,12.793
10:07:45.0,19.791,79.093,18.32
10:07:46.0,19.16,80.303,12.565
10:07:47.0,20.209,79.301,14.583
10:07:48.0,18.062,78.337,12.962
10:07:49.0,18.766,78.535,18.341
10:07:50.0,17.847,80.2,16.03
10:07:51.0,23.544,77.386,16.103
10:07:52.0,23.017,59.067,36.95
10:07:53.0,61.458,42.676,27.733
10:07:54.0,27.792,19.582,19.312
10:07:55.0,27.506,47.803,33.928
10:07:56.0,46.842,31.621,33.668
10:07:57.0,24.352,27.532,16.062
10:07:58.0,37.567,50.515,30.628
10:07:59.0,43.041,28.86,22.82
10:08:00.0,19.796,24.607,22.857
10:08:01.0,26.259,44.791,50.895
10:08:02.0,34.536,23.746,27.272
10:08:03.0,24.598,30.188,16.752
10:08:04.0,23.255,47.792,44.215
10:08:05.0,41.645,23.809,38.235
10:08:06.0,31.675,14.794,17.135
10:08:07.0,18.372,44.562,34.736
10:08:08.0,45.663,29.765,34.042
10:08:09.0,21.465,19.109,19.628
10:08:10.0,28.385,37.669,35.142
10:08:11.0,45.026,32.041,22.163
10:08:12.0,14.805,27.249,19.696
10:08:13.0,37.404,57.407,35.263
10:08:14.0,33.947,29.319,21.319
10:08:15.0,22.081,25.0,27.559
10:08:16.0,50.777,34.666,29.921
10:08:17.0,22.68,19.43,18.157
10:08:18.0,29.032,39.018,28.461
10:08:19.0,43.896,35.0,27.061
10:08:20.0,22.531,20.506,35.078
10:08:21.0,35.863,29.923,38.802
10:08:22.0,34.771,22.164,17.875
10:08:23.0,18.085,37.135,35.844
10:08:24.0,42.558,33.244,31.865
10:08:25.0,28.906,27.131,17.105
10:08:26.0,24.869,37.837,35.958
10:08:27.0,41.16,25.587,36.729
10:08:28.0,21.693,22.622,18.556
10:08:29.0,22.879,38.341,33.333
10:08:30.0,38.461,29.792,34.383
10:08:31.0,22.727,22.656,19.487
10:08:32.0,27.15,40.641,38.205
10:08:33.0,39.41,21.925,35.078
10:08:34.0,28.947,18.157,22.025
10:08:35.0,19.251,35.658,37.27
10:08:36.0,43.989,25.265,34.946
10:08:37.0,19.537,22.48,15.167
10:08:38.0,25.388,47.258,35.492
10:08:39.0,32.653,32.989,22.34
10:08:40.0,16.062,27.123,27.486
10:08:41.0,23.195,43.766,39.257
10:08:42.0,38.726,30.0,26.753
10:08:43.0,19.693,28.571,24.734
10:08:44.0,33.159,44.415,36.939
