Elapsed time,192.168.46.11 CPU user,192.168.46.12 CPU user,192.168.46.13 CPU user
12:37:46.0,8.47,,7.366
12:37:47.0,,12.614,
12:37:48.0,0.0,,0.0
12:37:49.0,0.0,0.25,0.25
12:37:50.0,0.0,0.751,0.25
12:37:51.0,0.0,8.229,0.25
12:37:52.0,0.25,0.502,0.25
12:37:53.0,0.25,0.25,0.25
12:37:54.0,0.251,0.25,0.25
12:37:55.0,0.0,0.25,0.0
12:37:56.0,0.0,0.0,0.498
12:37:57.0,6.75,0.251,1.5
12:37:58.0,1.496,8.27,0.25
12:37:59.0,0.0,25.75,0.0
12:38:00.0,0.0,1.507,0.0
12:38:01.0,0.25,3.007,0.0
12:38:02.0,0.248,0.5,0.25
12:38:03.0,0.0,0.753,0.0
12:38:04.0,0.501,0.755,0.0
12:38:05.0,0.0,0.0,0.25
12:38:06.0,0.0,0.25,0.249
12:38:07.0,0.0,0.0,0.0
12:38:08.0,0.0,0.5,0.0
12:38:09.0,0.501,0.0,0.0
12:38:10.0,0.0,0.251,0.5
12:38:11.0,0.498,0.0,0.0
12:38:12.0,35.839,0.25,13.602
12:38:13.0,85.642,11.616,87.121
12:38:14.0,86.41,92.23,89.168
12:38:15.0,87.817,89.058,92.462
12:38:16.0,91.581,92.518,86.616
12:38:17.0,92.269,95.511,93.638
12:38:18.0,93.45,96.231,93.483
12:38:19.0,91.206,95.25,94.191
12:38:20.0,91.939,96.75,93.718
12:38:21.0,92.171,94.974,92.481
12:38:22.0,92.874,95.488,95.488
12:38:23.0,92.802,95.511,91.206
12:38:24.0,93.25,94.25,93.198
12:38:25.0,87.373,94.75,95.238
12:38:26.0,88.25,95.465,95.5
12:38:27.0,88.804,93.734,94.444
12:38:28.0,89.223,93.643,94.5
12:38:29.0,88.413,94.315,93.954
12:38:30.0,88.636,95.75,95.76
12:38:31.0,89.34,94.221,93.984
12:38:32.0,92.366,96.0,94.696
12:38:33.0,92.695,93.467,93.25
12:38:34.0,91.729,95.5,93.969
12:38:35.0,92.091,95.781,93.702
