Elapsed time,192.168.46.11 CPU user,192.168.46.12 CPU user,192.168.46.13 CPU user
17:22:45.0,0.3,,0.24
17:22:46.0,0.0,20.724,0.0
17:22:47.0,0.501,0.75,0.25
17:22:48.0,0.0,2.005,0.0
17:22:49.0,0.0,0.746,0.0
17:22:50.0,0.0,0.248,0.25
17:22:51.0,0.0,2.01,0.0
17:22:52.0,0.251,23.88,0.25
17:22:53.0,0.0,21.25,0.0
17:22:54.0,0.501,18.295,0.753
17:22:55.0,11.45,3.5,15.736
17:22:56.0,14.948,81.06,26.992
17:22:57.0,35.602,85.309,39.845
17:22:58.0,35.509,88.279,48.461
17:22:59.0,42.783,84.886,71.641
17:23:00.0,70.074,81.794,70.603
17:23:01.0,70.927,82.835,55.867
17:23:02.0,69.849,80.506,37.984
17:23:03.0,67.331,82.307,40.75
17:23:04.0,60.301,72.04,56.443
17:23:05.0,43.041,62.79,34.438
17:23:06.0,47.557,33.776,39.528
17:23:07.0,60.759,28.125,37.007
17:23:08.0,44.908,36.708,49.61
17:23:09.0,61.038,35.789,33.0
17:23:10.0,45.646,30.548,34.114
17:23:11.0,45.918,24.81,29.921
17:23:12.0,39.107,31.552,41.326
17:23:13.0,47.68,32.01,48.947
17:23:14.0,51.57,31.969,34.455
17:23:15.0,42.564,31.733,47.368
17:23:16.0,42.67,20.911,51.443
17:23:17.0,48.469,31.619,47.692
17:23:18.0,68.939,28.799,46.819
17:23:19.0,55.415,25.125,30.666
17:23:20.0,41.207,29.787,55.297
17:23:21.0,42.784,23.809,30.389
17:23:22.0,50.0,29.487,33.161
17:23:23.0,38.86,28.219,32.741
17:23:24.0,45.219,23.834,33.591
17:23:25.0,39.893,30.208,30.569
17:23:26.0,41.315,31.151,42.708
17:23:27.0,52.604,27.613,35.483
17:23:28.0,56.396,70.801,35.218
17:23:29.0,49.36,29.123,34.196
17:23:30.0,40.575,22.774,30.263
17:23:31.0,45.103,29.198,32.085
17:23:32.0,44.36,22.879,35.949
17:23:33.0,42.257,66.406,32.299
17:23:34.0,39.74,48.969,36.04
17:23:35.0,44.125,27.077,51.688
17:23:36.0,61.718,26.53,32.142
17:23:37.0,39.726,30.67,28.571
17:23:38.0,42.408,20.263,33.248
17:23:39.0,40.31,47.948,36.0
17:23:40.0,41.602,40.966,33.838
17:23:41.0,36.675,30.107,33.753
17:23:42.0,43.489,21.917,32.994
17:23:43.0,39.847,30.913,42.131
17:23:44.0,52.02,32.307,31.865
17:23:45.0,50.781,32.216,30.867
17:23:46.0,38.108,29.923,26.4
17:23:47.0,44.155,46.997,42.746
17:23:48.0,42.931,27.777,30.226
17:23:49.0,47.927,30.927,30.73
17:23:50.0,41.961,30.848,28.461
17:23:51.0,39.74,26.992,39.895
17:23:52.0,51.041,31.83,38.775
17:23:53.0,56.926,32.315,31.398
17:23:54.0,44.041,24.289,28.684
17:23:55.0,40.74,57.922,30.548
17:23:56.0,38.978,25.916,33.952
17:23:57.0,41.191,26.439,27.659
17:23:58.0,40.682,21.994,35.824
17:23:59.0,43.298,26.005,31.733
17:24:00.0,41.645,17.486,38.775
17:24:01.0,47.15,28.822,44.132
17:24:02.0,70.175,25.619,30.526
17:24:03.0,42.673,25.706,32.051
17:24:04.0,39.895,40.533,31.733
17:24:05.0,41.558,54.143,28.997
17:24:06.0,41.025,22.879,31.948
17:24:07.0,38.461,28.999,36.061
17:24:08.0,41.038,24.936,38.082
17:24:09.0,37.017,24.802,39.48
17:24:10.0,38.167,27.154,56.812
17:24:11.0,57.25,24.257,44.05
17:24:12.0,41.145,28.232,36.41
17:24:13.0,41.494,21.635,38.383
17:24:14.0,36.923,35.75,36.269
17:24:15.0,36.898,37.564,36.559
17:24:16.0,37.922,19.21,40.616
17:24:17.0,41.891,26.493,60.253
17:24:18.0,63.775,22.047,60.714
17:24:19.0,61.832,33.502,78.385
17:24:20.0,78.371,30.026,40.476
17:24:21.0,54.123,27.532,25.196
17:24:22.0,37.336,32.307,31.632
17:24:23.0,37.886,47.244,32.397
17:24:24.0,36.898,30.708,32.151
17:24:25.0,37.333,29.292,27.368
17:24:26.0,36.559,30.649,27.445
17:24:27.0,37.795,32.432,36.775
17:24:28.0,43.958,31.758,40.575
17:24:29.0,53.385,27.532,29.87
17:24:30.0,37.209,33.419,25.263
17:24:31.0,37.931,43.391,30.287
17:24:32.0,38.481,37.398,30.666
17:24:33.0,36.031,30.412,24.137
17:24:34.0,37.434,25.721,31.216
17:24:35.0,38.157,31.07,33.591
17:24:36.0,37.726,32.48,40.533
17:24:37.0,49.738,34.177,28.989
17:24:38.0,37.434,23.243,24.345
17:24:39.0,33.333,31.134,33.583
17:24:40.0,34.501,40.591,30.423
17:24:41.0,36.718,42.278,32.031
17:24:42.0,36.883,33.589,26.329
17:24:43.0,38.817,25.265,33.333
17:24:44.0,35.0,31.367,45.052
17:24:45.0,48.205,31.818,36.363
17:24:46.0,42.968,28.989,31.794
17:24:47.0,36.432,24.074,29.736
17:24:48.0,35.789,33.593,24.128
17:24:49.0,31.496,47.208,28.756
17:24:50.0,33.595,40.31,27.419
17:24:51.0,36.692,36.962,23.592
17:24:52.0,38.659,31.853,31.443
17:24:53.0,38.501,31.662,43.734
17:24:54.0,52.072,28.092,39.13
17:24:55.0,43.864,34.102,40.816
17:24:56.0,39.949,31.315,27.272
17:24:57.0,37.179,29.287,32.307
17:24:58.0,36.787,47.395,29.708
17:24:59.0,37.922,25.198,33.417
17:25:00.0,37.566,32.041,27.319
17:25:01.0,41.025,29.765,30.628
17:25:02.0,38.56,25.129,39.074
17:25:03.0,40.425,31.266,41.131
17:25:04.0,58.291,28.799,31.725
17:25:05.0,34.933,24.806,25.459
17:25:06.0,40.346,45.953,30.079
17:25:07.0,38.547,52.392,31.443
17:25:08.0,36.997,52.03,24.193
17:25:09.0,42.077,52.956,30.126
17:25:10.0,43.142,48.831,29.473
17:25:11.0,41.239,37.795,32.808
17:25:12.0,42.318,24.678,41.432
17:25:13.0,56.806,27.123,27.339
17:25:14.0,39.005,22.606,27.937
17:25:15.0,42.025,42.708,30.025
17:25:16.0,41.509,38.501,22.933
17:25:17.0,42.487,28.607,32.266
17:25:18.0,38.441,26.121,32.731
17:25:19.0,40.053,24.218,32.114
17:25:20.0,41.994,21.22,42.159
17:25:21.0,49.473,47.557,33.333
17:25:22.0,53.435,50.0,26.246
17:25:23.0,38.933,52.307,33.333
17:25:24.0,38.378,65.897,31.662
17:25:25.0,39.893,64.285,32.467
17:25:26.0,44.987,48.329,27.368
17:25:27.0,41.361,30.334,30.748
17:25:28.0,39.74,45.073,31.216
17:25:29.0,40.944,28.72,41.269
17:25:30.0,56.533,22.68,29.708
17:25:31.0,37.967,29.187,30.867
17:25:32.0,40.314,21.907,25.333
17:25:33.0,38.933,37.823,30.606
17:25:34.0,40.157,40.106,31.168
17:25:35.0,39.095,30.026,24.87
17:25:36.0,40.102,29.896,32.642
17:25:37.0,41.326,30.831,49.479
17:25:38.0,57.397,30.628,32.291
17:25:39.0,44.881,26.246,28.051
17:25:40.0,40.779,33.168,29.35
17:25:41.0,36.979,31.592,23.577
17:25:42.0,40.259,47.727,28.198
17:25:43.0,37.203,35.218,29.973
17:25:44.0,37.948,27.807,27.386
17:25:45.0,38.02,34.413,33.582
17:25:46.0,36.745,29.222,45.931
17:25:47.0,50.397,34.491,32.828
17:25:48.0,44.415,25.906,37.055
17:25:49.0,36.434,30.909,31.315
17:25:50.0,38.775,31.675,28.72
17:25:51.0,34.464,47.34,29.658
17:25:52.0,33.591,32.151,33.157
17:25:53.0,35.248,30.927,31.382
17:25:54.0,37.096,30.478,31.853
17:25:55.0,25.376,27.513,4.834
17:25:56.0,0.0,6.766,0.0
17:25:57.0,0.25,0.0,0.0
17:25:58.0,0.0,0.251,0.25
17:25:59.0,0.251,0.25,0.0
17:26:00.0,0.249,0.0,0.0
17:26:01.0,0.0,0.0,0.25
