Elapsed time,192.168.46.11 CPU user,192.168.46.12 CPU user,192.168.46.13 CPU user
16:55:14.0,,31.365,14.331
16:55:15.0,11.594,,
16:55:16.0,1.262,1.745,1.5
16:55:17.0,18.159,4.761,7.925
16:55:18.0,1.5,0.753,0.0
16:55:19.0,0.25,1.24,1.259
16:55:20.0,1.518,0.503,0.25
16:55:21.0,0.0,1.763,2.01
16:55:22.0,2.0,0.502,0.0
16:55:23.0,0.0,1.503,1.259
16:55:24.0,1.253,0.25,0.249
16:55:25.0,0.249,4.5,1.745
16:55:26.0,1.262,7.462,0.251
16:55:27.0,0.251,1.015,1.75
16:55:28.0,1.0,2.015,0.25
16:55:29.0,0.0,0.5,1.253
16:55:30.0,1.259,3.482,0.253
16:55:31.0,0.505,0.0,1.503
16:55:32.0,73.684,49.874,40.05
16:55:33.0,82.543,84.039,84.788
16:55:34.0,84.711,90.452,79.441
16:55:35.0,83.25,89.195,87.719
16:55:36.0,84.924,90.5,88.413
16:55:37.0,89.949,89.25,86.034
16:55:38.0,86.75,89.195,86.432
16:55:39.0,87.25,92.731,82.706
16:55:40.0,89.698,89.75,86.75
16:55:41.0,87.81,93.216,82.75
16:55:42.0,87.688,91.022,86.397
16:55:43.0,88.972,89.949,86.0
16:55:44.0,87.719,88.778,81.954
16:55:45.0,85.0,90.024,84.75
16:55:46.0,87.25,92.75,87.5
16:55:47.0,86.934,90.25,87.25
16:55:48.0,87.969,91.25,87.185
16:55:49.0,89.195,91.77,88.972
16:55:50.0,88.337,92.25,87.185
16:55:51.0,85.138,91.206,88.25
16:55:52.0,85.175,90.977,84.825
16:55:53.0,87.531,92.019,86.466
16:55:54.0,84.382,91.228,86.75
16:55:55.0,88.471,91.521,89.027
16:55:56.0,85.785,91.044,87.969
16:55:57.0,85.536,91.666,87.25
16:55:58.0,86.18,90.841,84.13
16:55:59.0,85.75,91.5,88.471
16:56:00.0,83.208,93.25,88.75
16:56:01.0,88.471,92.211,86.901
16:56:02.0,85.175,91.271,86.069
16:56:03.0,85.25,91.979,89.526
16:56:04.0,84.848,91.206,88.25
16:56:05.0,90.703,89.0,87.25
16:56:06.0,92.019,88.944,87.688
16:56:07.0,91.77,87.5,84.556
16:56:08.0,89.223,90.954,86.649
16:56:09.0,88.916,91.457,86.75
16:56:10.0,86.901,90.428,88.029
16:56:11.0,88.471,90.024,85.929
16:56:12.0,87.969,88.471,88.442
16:56:13.0,88.25,90.476,91.478
16:56:14.0,87.594,91.206,90.225
16:56:15.0,88.471,89.974,89.5
16:56:16.0,85.964,91.959,90.176
16:56:17.0,84.382,91.228,88.5
16:56:18.0,90.726,92.768,87.969
16:56:19.0,92.0,89.223,88.86
16:56:20.0,85.427,90.225,87.281
16:56:21.0,85.894,91.0,88.916
16:56:22.0,87.185,90.25,89.974
16:56:23.0,86.0,91.708,89.447
16:56:24.0,86.466,89.168,87.969
16:56:25.0,88.442,91.228,91.77
16:56:26.0,84.039,89.775,89.0
16:56:27.0,85.279,89.25,87.969
16:56:28.0,84.538,88.22,84.848
16:56:29.0,83.919,89.974,86.533
16:56:30.0,89.168,89.168,85.074
16:56:31.0,90.201,89.223,87.939
16:56:32.0,84.962,89.724,84.924
16:56:33.0,87.064,92.019,88.19
16:56:34.0,87.468,87.75,87.969
16:56:35.0,86.104,90.647,90.726
16:56:36.0,88.161,91.338,88.161
16:56:37.0,87.405,90.773,89.724
16:56:38.0,87.841,91.521,88.693
16:56:39.0,84.289,89.924,89.223
16:56:40.0,86.397,89.974,89.724
16:56:41.0,91.228,88.944,86.138
