Elapsed time,192.168.46.11 CPU user,192.168.46.12 CPU user,192.168.46.13 CPU user
16:43:12.0,10.212,,18.792
16:43:13.0,0.0,24.676,3.797
16:43:14.0,13.216,8.955,12.911
16:43:15.0,0.75,10.669,1.732
16:43:16.0,1.745,0.251,2.992
16:43:17.0,0.253,1.507,1.754
16:43:18.0,1.25,5.25,1.496
16:43:19.0,0.25,0.251,1.5
16:43:20.0,1.5,2.506,3.015
16:43:21.0,0.0,1.503,1.758
16:43:22.0,1.25,1.985,1.728
16:43:23.0,0.0,2.056,1.75
16:43:24.0,1.772,0.497,2.233
16:43:25.0,0.249,3.266,1.507
16:43:26.0,1.002,5.764,1.763
16:43:27.0,0.25,17.821,1.736
16:43:28.0,1.518,3.98,1.507
16:43:29.0,0.753,1.511,21.717
16:43:30.0,56.359,28.678,83.541
16:43:31.0,86.18,88.0,86.75
16:43:32.0,79.85,90.75,90.476
16:43:33.0,88.029,92.269,89.25
16:43:34.0,83.709,91.435,89.447
16:43:35.0,90.201,87.0,92.23
16:43:36.0,87.75,89.75,91.75
16:43:37.0,87.969,92.731,92.0
16:43:38.0,87.281,92.555,87.531
16:43:39.0,89.724,92.0,91.206
16:43:40.0,90.452,90.476,91.271
16:43:41.0,90.68,93.017,91.5
16:43:42.0,91.022,91.25,91.979
16:43:43.0,88.5,91.271,90.25
16:43:44.0,91.228,92.039,92.481
16:43:45.0,89.027,94.206,92.019
16:43:46.0,92.25,91.77,89.195
16:43:47.0,91.206,91.521,92.75
16:43:48.0,91.228,92.191,91.435
16:43:49.0,91.228,93.017,92.039
16:43:50.0,91.022,91.687,94.25
16:43:51.0,88.19,93.0,91.25
16:43:52.0,91.478,93.75,92.481
16:43:53.0,91.022,93.0,92.713
16:43:54.0,90.726,93.548,92.5
16:43:55.0,91.959,92.695,93.034
16:43:56.0,91.75,93.198,92.731
16:43:57.0,92.518,92.731,92.676
16:43:58.0,91.75,92.518,93.034
16:43:59.0,87.531,93.75,91.666
16:44:00.0,91.435,92.481,93.017
16:44:01.0,90.75,92.731,92.518
16:44:02.0,90.0,92.75,91.5
16:44:03.0,88.442,93.984,92.982
16:44:04.0,90.25,92.23,92.481
16:44:05.0,90.5,92.786,93.233
16:44:06.0,91.75,93.283,92.481
16:44:07.0,91.77,91.729,92.25
16:44:08.0,91.708,92.982,92.75
16:44:09.0,90.796,91.521,91.687
16:44:10.0,92.191,92.481,93.052
16:44:11.0,90.25,92.0,90.977
16:44:12.0,90.726,92.695,91.666
16:44:13.0,88.0,94.044,92.537
16:44:14.0,92.481,92.481,90.977
16:44:15.0,90.452,94.472,90.274
16:44:16.0,92.731,91.271,93.216
16:44:17.0,92.786,92.518,94.736
16:44:18.0,92.25,94.25,92.269
16:44:19.0,92.23,91.478,93.266
16:44:20.0,92.695,93.718,91.228
16:44:21.0,91.729,92.768,92.191
16:44:22.0,91.478,82.044,80.299
16:44:23.0,89.027,89.698,86.18
16:44:24.0,89.473,89.276,89.303
16:44:25.0,91.25,80.904,80.856
16:44:26.0,91.183,89.081,92.518
16:44:27.0,85.213,91.206,72.361
16:44:28.0,81.909,77.192,92.0
16:44:29.0,90.547,91.0,91.5
16:44:30.0,76.07,89.724,72.04
16:44:31.0,83.333,79.145,91.271
16:44:32.0,91.066,93.0,91.206
16:44:33.0,83.0,76.441,87.5
16:44:34.0,91.979,86.5,89.33
16:44:35.0,82.0,93.0,70.822
16:44:36.0,65.413,88.19,77.721
16:44:37.0,25.25,88.25,88.944
16:44:38.0,25.0,76.691,86.6
16:44:39.0,25.062,89.473,88.19
16:44:40.0,25.0,93.548,89.949
16:44:41.0,25.0,92.0,91.478
