Elapsed time,192.168.46.11 Disks I/O unit=mb:readbytes:fs=/,192.168.46.12 Disks I/O unit=mb:readbytes:fs=/,192.168.46.13 Disks I/O unit=mb:readbytes:fs=/
10:47:36.0,0.0,,0.0
10:47:37.0,0.0,0.0,6.113
10:47:38.0,0.0,3.464,6.113
10:47:39.0,0.0,3.992,6.347
10:47:40.0,0.0,4.066,6.304
10:47:41.0,0.0,3.75,6.457
10:47:42.0,0.0,3.667,6.097
10:47:43.0,0.0,3.429,6.23
10:47:44.0,0.0,3.386,6.621
10:47:45.0,0.0,3.21,6.191
10:47:46.0,0.0,3.265,6.312
10:47:47.0,0.0,3.269,6.316
10:47:48.0,0.0,3.156,6.449
10:47:49.0,0.0,3.21,6.066
10:47:50.0,0.0,3.265,6.179
10:47:51.0,0.0,3.386,6.57
10:47:52.0,0.0,3.21,5.777
10:47:53.0,0.0,3.152,6.234
10:47:54.0,0.0,3.21,6.269
10:47:55.0,0.0,3.382,6.324
10:47:56.0,0.0,3.042,6.226
10:47:57.0,0.0,3.652,6.359
10:47:58.0,0.0,3.515,6.023
10:47:59.0,0.0,2.75,5.023
10:48:00.0,0.0,0.011,3.675
10:48:01.0,0.0,0.0,2.269
10:48:02.0,0.0,0.0,5.273
10:48:03.0,0.0,0.0,1.875
10:48:04.0,0.0,0.0,1.125
10:48:05.0,0.0,0.0,1.125
10:48:06.0,0.0,0.0,1.125
10:48:07.0,0.0,0.0,2.546
10:48:08.0,0.0,0.0,1.472
10:48:09.0,0.0,0.0,1.125
10:48:10.0,0.0,0.0,1.125
10:48:11.0,0.0,0.0,1.375
10:48:12.0,0.0,0.0,1.375
10:48:13.0,0.0,0.0,2.214
10:48:14.0,0.0,0.0,1.171
10:48:15.0,0.0,0.0,1.496
10:48:16.0,0.0,0.0,1.0
10:48:17.0,0.0,0.0,2.625
10:48:18.0,0.0,0.0,3.0
10:48:19.0,0.0,0.0,1.613
10:48:20.0,0.0,0.0,1.566
10:48:21.0,0.0,0.0,2.871
10:48:22.0,0.0,0.0,1.058
10:48:23.0,0.0,0.0,1.75
10:48:24.0,0.0,0.0,1.25
10:48:25.0,0.0,0.0,1.25
10:48:26.0,0.0,0.0,1.609
10:48:27.0,0.0,0.0,1.964
10:48:28.0,0.0,0.0,1.875
10:48:29.0,0.0,0.0,1.0
10:48:30.0,0.0,0.0,1.0
10:48:31.0,0.0,0.0,0.75
10:48:32.0,0.0,0.0,1.445
10:48:33.0,0.0,0.0,0.75
10:48:34.0,0.0,0.0,1.125
10:48:35.0,0.0,0.0,1.125
10:48:36.0,0.0,0.0,1.375
10:48:37.0,0.0,0.0,1.062
10:48:38.0,0.0,0.0,1.375
10:48:39.0,0.0,0.0,1.125
10:48:40.0,0.0,0.0,4.183
10:48:41.0,0.0,0.0,3.566
10:48:42.0,0.0,0.0,1.195
10:48:43.0,0.0,0.0,2.101
10:48:44.0,0.0,0.0,2.66
10:48:45.0,0.0,0.0,2.796
10:48:46.0,0.0,0.0,2.222
10:48:47.0,0.0,0.0,2.523
10:48:48.0,0.0,0.0,1.675
10:48:49.0,0.0,0.0,0.921
10:48:50.0,0.0,0.0,2.125
10:48:51.0,0.0,0.0,2.164
10:48:52.0,0.0,0.0,3.355
10:48:53.0,0.0,0.0,3.242
10:48:54.0,0.0,0.0,1.558
10:48:55.0,0.0,0.0,1.457
10:48:56.0,0.0,0.0,2.003
10:48:57.0,0.0,0.0,2.988
10:48:58.0,0.0,0.0,1.64
10:48:59.0,0.0,0.0,1.367
10:49:00.0,0.0,0.0,1.898
10:49:01.0,0.0,0.0,1.867
10:49:02.0,0.0,0.003,2.406
10:49:03.0,0.0,0.0,1.761
10:49:04.0,0.0,0.0,2.558
10:49:05.0,0.0,0.0,1.218
10:49:06.0,0.0,0.0,2.804
10:49:07.0,0.0,0.0,2.371
10:49:08.0,0.0,0.0,2.617
10:49:09.0,0.0,0.0,1.472
10:49:10.0,0.0,0.0,2.441
10:49:11.0,0.0,0.0,2.351
10:49:12.0,0.0,0.0,1.175
