Elapsed time,192.168.46.11 Disks I/O unit=mb:readbytes:fs=/,192.168.46.12 Disks I/O unit=mb:readbytes:fs=/,192.168.46.13 Disks I/O unit=mb:readbytes:fs=/
10:01:53.0,0.0,0.0,0.0
10:01:54.0,0.0,0.0,0.0
10:01:55.0,0.0,0.0,0.0
10:01:56.0,0.0,0.0,0.0
10:01:57.0,0.0,0.0,0.0
10:01:58.0,0.0,0.0,0.0
10:01:59.0,0.0,0.0,0.0
10:02:00.0,0.0,0.0,0.0
10:02:01.0,0.0,0.0,0.0
10:02:02.0,0.21,0.035,0.011
10:02:03.0,0.0,0.0,0.0
10:02:04.0,0.0,0.0,0.0
10:02:05.0,0.0,0.0,0.0
10:02:06.0,0.0,0.0,0.0
10:02:07.0,0.0,0.0,0.0
10:02:08.0,0.0,0.0,0.0
10:02:09.0,0.0,0.0,0.0
10:02:10.0,0.0,0.0,0.0
10:02:11.0,0.0,0.0,0.0
10:02:12.0,0.0,0.0,0.0
10:02:13.0,0.0,0.0,0.0
10:02:14.0,0.0,0.0,0.0
10:02:15.0,0.0,0.0,0.0
10:02:16.0,0.0,0.0,0.0
10:02:17.0,26.402,15.816,14.41
10:02:18.0,89.835,105.91,194.054
10:02:19.0,42.566,265.32,129.894
10:02:20.0,70.929,285.679,53.382
10:02:21.0,36.214,298.71,117.136
10:02:22.0,61.191,340.218,48.734
10:02:23.0,46.574,376.289,40.054
10:02:24.0,36.714,365.824,33.136
10:02:25.0,27.753,331.777,31.105
10:02:26.0,271.156,127.835,169.808
10:02:27.0,184.773,194.566,44.714
10:02:28.0,36.765,423.32,36.613
10:02:29.0,44.062,428.562,42.597
10:02:30.0,45.679,431.679,42.07
10:02:31.0,41.347,440.921,40.417
10:02:32.0,40.57,433.699,43.402
10:02:33.0,40.976,436.089,39.914
10:02:34.0,44.707,417.269,42.351
10:02:35.0,41.148,421.48,41.332
10:02:36.0,36.91,411.187,38.132
10:02:37.0,39.386,414.527,37.906
10:02:38.0,104.652,420.378,42.062
10:02:39.0,82.597,387.847,47.621
10:02:40.0,40.378,425.933,40.445
10:02:41.0,41.796,417.425,40.949
10:02:42.0,34.578,412.332,38.183
10:02:43.0,40.597,422.808,38.648
10:02:44.0,39.492,426.363,38.042
10:02:45.0,37.136,424.183,42.253
10:02:46.0,46.359,429.292,40.843
10:02:47.0,41.925,432.359,44.285
10:02:48.0,44.109,429.125,65.546
10:02:49.0,40.328,413.804,39.667
10:02:50.0,42.472,423.531,43.519
10:02:51.0,40.574,430.453,41.812
10:02:52.0,39.39,413.277,40.531
10:02:53.0,47.535,413.484,44.57
10:02:54.0,43.914,431.351,40.957
10:02:55.0,45.082,426.507,43.156
10:02:56.0,37.433,420.316,40.101
10:02:57.0,39.496,419.492,39.988
10:02:58.0,41.878,432.582,42.16
10:02:59.0,70.75,358.425,89.328
10:03:00.0,154.585,226.046,184.71
10:03:01.0,159.765,239.507,54.996
10:03:02.0,42.164,209.707,227.48
10:03:03.0,269.218,139.296,197.113
10:03:04.0,200.691,152.339,55.859
10:03:05.0,42.574,226.519,211.945
10:03:06.0,294.25,92.558,196.472
10:03:07.0,121.308,247.957,57.144
10:03:08.0,186.226,165.8,215.039
10:03:09.0,184.296,157.988,89.011
10:03:10.0,250.351,214.628,120.371
10:03:11.0,208.332,44.722,140.941
10:03:12.0,41.39,280.664,213.335
10:03:13.0,307.898,201.347,81.929
10:03:14.0,168.394,191.093,73.0
10:03:15.0,84.402,159.355,273.125
10:03:16.0,205.757,127.117,204.347
10:03:17.0,156.242,240.48,67.882
10:03:18.0,40.902,171.218,272.968
10:03:19.0,315.5,68.902,215.816
10:03:20.0,151.41,202.539,66.601
10:03:21.0,106.335,157.41,273.156
10:03:22.0,189.894,153.925,167.832
10:03:23.0,286.574,172.113,64.574
10:03:24.0,95.175,105.687,257.265
10:03:25.0,264.265,162.722,163.8
10:03:26.0,197.199,152.847,62.742
10:03:27.0,44.414,231.253,225.031
10:03:28.0,311.394,102.156,184.753
10:03:29.0,154.0,202.453,67.078
10:03:30.0,190.535,164.007,207.878
10:03:31.0,159.531,187.476,106.699
10:03:32.0,240.55,271.378,58.031
10:03:33.0,131.066,42.464,251.757
10:03:34.0,148.496,190.527,229.21
10:03:35.0,327.976,102.722,60.734
10:03:36.0,57.093,114.308,274.386
10:03:37.0,251.492,144.113,218.121
10:03:38.0,223.722,148.289,51.371
10:03:39.0,43.363,189.101,261.609
