Elapsed time,192.168.46.11 Disks I/O unit=mb:readbytes:fs=/,192.168.46.12 Disks I/O unit=mb:readbytes:fs=/,192.168.46.13 Disks I/O unit=mb:readbytes:fs=/
10:34:43.0,0.0,0.0,0.0
10:34:44.0,3.214,0.0,0.0
10:34:45.0,2.929,0.0,0.0
10:34:46.0,3.156,0.0,0.0
10:34:47.0,3.171,0.0,0.0
10:34:48.0,2.792,0.0,0.0
10:34:49.0,3.179,0.0,0.0
10:34:50.0,2.832,0.0,0.0
10:34:51.0,2.875,0.0,0.0
10:34:52.0,3.386,0.0,0.0
10:34:53.0,3.375,0.0,0.0
10:34:54.0,3.019,0.0,0.0
10:34:55.0,3.125,0.0,0.0
10:34:56.0,3.136,0.0,0.0
10:34:57.0,3.113,0.0,0.0
10:34:58.0,2.906,0.0,0.0
10:34:59.0,3.16,0.0,0.0
10:35:00.0,3.117,0.0,0.0
10:35:01.0,3.171,0.0,0.003
10:35:02.0,3.003,1.25,0.0
10:35:03.0,2.937,2.675,0.0
10:35:04.0,3.093,2.652,0.0
10:35:05.0,3.171,2.472,0.0
10:35:06.0,2.664,2.382,0.0
10:35:07.0,0.875,0.75,0.0
10:35:08.0,0.816,1.445,0.0
10:35:09.0,0.675,0.285,0.0
10:35:10.0,0.75,0.25,0.0
10:35:11.0,0.832,0.125,0.0
10:35:12.0,0.917,0.125,0.0
10:35:13.0,0.75,0.25,0.0
10:35:14.0,0.5,0.0,0.0
10:35:15.0,0.625,0.25,0.0
10:35:16.0,0.375,0.125,0.0
10:35:17.0,0.5,0.125,0.0
10:35:18.0,0.363,0.25,0.0
10:35:19.0,0.343,0.125,0.0
10:35:20.0,0.375,0.179,0.0
10:35:21.0,0.496,0.25,0.0
10:35:22.0,0.625,0.0,0.0
10:35:23.0,0.375,0.25,0.0
10:35:24.0,0.5,0.25,0.0
10:35:25.0,0.375,0.0,0.0
10:35:26.0,0.5,0.125,0.0
10:35:27.0,0.375,0.125,0.0
10:35:28.0,0.625,0.25,0.0
10:35:29.0,0.21,0.0,0.0
10:35:30.0,0.375,0.128,0.0
10:35:31.0,0.867,0.125,0.0
10:35:32.0,0.308,0.125,0.0
10:35:33.0,0.375,0.488,0.0
10:35:34.0,0.843,0.0,0.0
