Elapsed time,192.168.46.11 Disks I/O unit=mb:readbytes:fs=/,192.168.46.12 Disks I/O unit=mb:readbytes:fs=/,192.168.46.13 Disks I/O unit=mb:readbytes:fs=/
13:20:28.0,0.0,,0.0
13:20:29.0,0.0,0.0,0.0
13:20:30.0,0.0,0.0,0.0
13:20:31.0,0.0,0.0,0.0
13:20:32.0,0.0,0.0,0.0
13:20:33.0,0.0,0.0,0.0
13:20:34.0,0.0,0.0,0.0
13:20:35.0,0.035,0.0,0.0
13:20:36.0,0.0,0.0,0.035
13:20:37.0,0.0,0.035,0.0
13:20:38.0,0.0,0.0,0.0
13:20:39.0,0.0,0.0,0.0
13:20:40.0,0.0,0.0,0.0
13:20:41.0,0.0,0.0,0.0
13:20:42.0,0.0,0.0,0.007
13:20:43.0,0.0,0.0,0.0
13:20:44.0,0.0,0.0,0.0
13:20:45.0,0.0,0.0,0.0
13:20:46.0,0.0,0.0,0.0
13:20:47.0,0.0,0.0,0.0
13:20:48.0,0.0,0.0,0.0
13:20:49.0,0.0,0.0,0.0
13:20:50.0,0.0,0.0,0.0
13:20:51.0,0.0,0.0,0.0
13:20:52.0,0.0,0.0,0.0
13:20:53.0,0.0,0.0,0.0
13:20:54.0,0.0,0.0,0.0
13:20:55.0,0.0,0.0,0.0
13:20:56.0,0.0,0.0,0.0
13:20:57.0,0.0,0.0,0.0
13:20:58.0,0.0,0.0,0.0
13:20:59.0,0.0,0.0,0.0
13:21:00.0,0.0,0.0,0.0
13:21:01.0,0.0,0.0,0.0
13:21:02.0,0.0,0.0,0.0
13:21:03.0,0.0,0.003,0.0
13:21:04.0,0.0,0.0,0.0
13:21:05.0,0.0,0.0,0.0
13:21:06.0,0.226,0.0,0.0
13:21:07.0,0.0,0.0,0.0
13:21:08.0,0.0,0.0,0.0
13:21:09.0,0.0,0.0,0.0
13:21:10.0,0.0,0.0,0.0
13:21:11.0,0.0,0.0,0.0
13:21:12.0,0.0,0.0,0.0
13:21:13.0,0.0,0.0,0.0
13:21:14.0,0.0,0.0,0.0
13:21:15.0,0.0,0.0,0.0
13:21:16.0,0.0,0.0,0.0
13:21:17.0,0.0,0.0,0.0
13:21:18.0,0.0,0.0,0.0
13:21:19.0,0.0,0.0,0.0
13:21:20.0,0.0,0.0,0.0
13:21:21.0,0.0,0.0,0.0
13:21:22.0,0.0,0.0,0.0
13:21:23.0,0.0,0.0,0.0
13:21:24.0,0.0,0.0,0.0
13:21:25.0,0.0,0.0,0.0
13:21:26.0,0.0,0.0,0.0
13:21:27.0,0.0,0.0,0.0
13:21:28.0,0.0,0.0,0.0
13:21:29.0,0.0,0.0,0.0
13:21:30.0,0.0,0.0,0.0
13:21:31.0,0.0,0.0,0.0
13:21:32.0,0.0,0.0,0.0
13:21:33.0,0.0,0.0,0.0
13:21:34.0,0.0,0.0,0.0
13:21:35.0,0.0,0.0,0.0
13:21:36.0,0.0,0.0,0.0
13:21:37.0,0.0,0.0,0.003
13:21:38.0,0.0,0.0,0.0
13:21:39.0,0.0,0.0,0.0
13:21:40.0,0.0,0.0,0.0
13:21:41.0,0.0,0.0,0.0
13:21:42.0,0.0,0.0,0.0
13:21:43.0,0.0,0.0,0.0
13:21:44.0,0.0,0.0,0.0
13:21:45.0,0.0,0.0,0.0
13:21:46.0,0.0,0.0,0.0
13:21:47.0,0.0,0.0,0.0
13:21:48.0,0.0,0.0,0.0
13:21:49.0,0.0,0.0,0.007
13:21:50.0,0.0,0.0,0.0
13:21:51.0,0.0,0.0,0.0
13:21:52.0,0.0,0.0,0.003
13:21:53.0,0.0,0.0,0.0
13:21:54.0,0.003,0.0,0.0
13:21:55.0,0.0,0.0,0.0
13:21:56.0,0.0,0.0,0.0
13:21:57.0,0.0,0.0,0.0
13:21:58.0,0.0,0.0,0.0
13:21:59.0,0.0,0.0,0.0
13:22:00.0,0.0,0.0,0.0
13:22:01.0,0.25,0.0,0.003
13:22:02.0,0.5,0.0,0.0
13:22:03.0,0.75,0.0,0.0
13:22:04.0,0.625,0.0,0.0
13:22:05.0,0.5,0.0,0.335
13:22:06.0,1.46,0.0,1.75
13:22:07.0,2.375,0.0,2.25
13:22:08.0,2.25,0.0,2.25
13:22:09.0,2.0,0.0,2.5
13:22:10.0,1.875,0.0,2.75
13:22:11.0,2.375,0.0,2.0
13:22:12.0,1.875,0.0,2.375
13:22:13.0,2.0,0.0,2.625
13:22:14.0,2.375,0.0,2.503
13:22:15.0,1.875,0.0,2.25
13:22:16.0,1.875,0.0,3.75
13:22:17.0,2.625,0.0,2.625
13:22:18.0,2.375,0.0,2.875
13:22:19.0,1.625,0.0,1.5
13:22:20.0,2.625,0.0,2.25
13:22:21.0,1.625,0.0,3.25
13:22:22.0,1.75,0.0,1.503
13:22:23.0,2.0,0.0,0.628
13:22:24.0,1.375,0.0,0.5
13:22:25.0,2.625,0.0,0.625
13:22:26.0,3.0,0.0,0.75
13:22:27.0,2.125,0.0,0.625
13:22:28.0,2.0,2.917,0.75
13:22:29.0,1.75,0.0,0.375
13:22:30.0,2.25,0.0,0.5
13:22:31.0,1.375,0.003,0.753
13:22:32.0,1.75,0.0,0.5
13:22:33.0,0.621,0.0,0.5
13:22:34.0,0.625,0.0,0.625
13:22:35.0,0.375,0.0,0.5
13:22:36.0,0.375,0.0,0.5
