Elapsed time,192.168.46.11 Disks I/O unit=mb:readbytes:fs=/,192.168.46.12 Disks I/O unit=mb:readbytes:fs=/,192.168.46.13 Disks I/O unit=mb:readbytes:fs=/
12:21:12.0,0.0,0.0,0.0
12:21:13.0,0.425,0.035,0.191
12:21:14.0,0.0,0.0,0.0
12:21:15.0,0.0,0.0,0.0
12:21:16.0,0.0,0.0,0.0
12:21:17.0,0.0,0.0,0.0
12:21:18.0,0.0,0.0,0.0
12:21:19.0,0.0,0.0,0.0
12:21:20.0,0.0,0.0,0.0
12:21:21.0,0.0,0.0,0.0
12:21:22.0,0.0,0.0,0.0
12:21:23.0,0.0,0.0,0.0
12:21:24.0,0.0,0.0,0.0
12:21:25.0,0.0,0.0,0.0
12:21:26.0,0.0,0.0,0.0
12:21:27.0,0.0,0.0,0.0
12:21:28.0,98.917,20.636,38.429
12:21:29.0,123.429,123.921,116.98
12:21:30.0,57.402,313.164,48.144
12:21:31.0,82.066,266.039,233.429
12:21:32.0,39.601,355.835,64.316
12:21:33.0,32.171,347.57,30.312
12:21:34.0,37.062,387.98,40.703
12:21:35.0,34.945,371.242,35.292
12:21:36.0,35.578,398.097,36.011
12:21:37.0,38.257,424.648,39.644
12:21:38.0,37.714,427.363,35.464
12:21:39.0,40.75,421.683,35.832
12:21:40.0,35.304,383.843,36.824
12:21:41.0,40.57,384.878,40.57
12:21:42.0,34.23,372.48,36.523
12:21:43.0,36.933,378.421,37.808
12:21:44.0,35.968,370.273,34.875
12:21:45.0,37.335,399.992,36.429
12:21:46.0,44.007,408.843,43.617
12:21:47.0,36.894,407.839,38.875
12:21:48.0,33.531,402.671,36.976
12:21:49.0,179.82,393.507,52.941
12:21:50.0,97.835,185.832,142.519
12:21:51.0,38.957,366.496,64.421
12:21:52.0,153.492,341.015,39.195
12:21:53.0,62.863,277.66,138.347
12:21:54.0,148.089,312.429,89.683
12:21:55.0,114.277,278.507,43.511
12:21:56.0,35.625,259.832,204.496
12:21:57.0,212.671,227.773,103.312
12:21:58.0,97.48,264.304,41.0
12:21:59.0,48.539,374.476,116.496
12:22:00.0,38.64,369.472,58.023
12:22:01.0,187.617,357.187,39.121
12:22:02.0,82.269,216.246,131.171
12:22:03.0,194.312,223.332,111.359
12:22:04.0,88.843,204.011,153.062
12:22:05.0,292.839,111.628,153.558
12:22:06.0,137.16,168.531,80.238
12:22:07.0,197.257,251.496,88.519
12:22:08.0,97.722,126.171,221.847
12:22:09.0,288.437,111.148,165.542
12:22:10.0,131.429,211.039,40.628
12:22:11.0,60.511,251.808,211.359
12:22:12.0,271.164,55.988,184.73
12:22:13.0,145.757,226.398,38.187
12:22:14.0,47.277,179.382,287.757
12:22:15.0,141.289,168.128,185.894
12:22:16.0,242.921,165.214,100.734
12:22:17.0,90.503,188.187,142.75
12:22:18.0,251.007,226.367,99.687
12:22:19.0,197.238,141.515,56.324
12:22:20.0,45.988,196.207,267.562
12:22:21.0,258.632,96.515,165.933
12:22:22.0,146.542,179.226,160.285
12:22:23.0,218.25,105.164,147.937
12:22:24.0,99.906,251.32,129.511
12:22:25.0,275.656,129.242,150.179
12:22:26.0,89.394,183.96,119.589
12:22:27.0,259.707,182.488,130.41
12:22:28.0,176.132,168.64,47.054
12:22:29.0,43.886,193.804,264.031
12:22:30.0,247.542,93.769,197.972
12:22:31.0,113.113,252.875,43.519
12:22:32.0,66.207,215.757,243.882
12:22:33.0,130.042,171.75,171.875
12:22:34.0,239.875,206.289,90.777
12:22:35.0,90.132,159.242,167.964
12:22:36.0,318.48,204.328,83.55
12:22:37.0,143.527,107.789,140.996
12:22:38.0,219.015,159.664,176.636
12:22:39.0,101.14,105.941,218.015
12:22:40.0,279.945,207.386,72.828
12:22:41.0,100.89,138.933,183.785
12:22:42.0,301.636,136.21,138.64
12:22:43.0,141.765,112.39,140.527
12:22:44.0,245.816,271.921,54.363
12:22:45.0,110.304,43.625,262.32
12:22:46.0,196.976,108.695,158.839
12:22:47.0,109.476,182.656,201.636
12:22:48.0,89.011,198.359,181.898
12:22:49.0,276.921,232.027,37.906
12:22:50.0,153.839,70.218,213.496
12:22:51.0,36.843,219.835,207.628
12:22:52.0,327.289,222.3,50.062
12:22:53.0,105.628,54.101,238.878
12:22:54.0,242.41,60.91,244.714
12:22:55.0,119.39,241.292,37.917
12:22:56.0,47.078,205.5,256.125
12:22:57.0,138.433,151.984,185.449
12:22:58.0,150.187,211.355,152.035
12:22:59.0,86.253,196.265,147.871
12:23:00.0,268.261,235.335,85.96
12:23:01.0,165.843,46.789,170.257
12:23:02.0,106.324,251.546,181.171
12:23:03.0,355.527,127.046,38.109
12:23:04.0,90.39,94.925,234.046
12:23:05.0,237.132,157.406,148.574
12:23:06.0,134.265,77.117,226.429
12:23:07.0,228.0,203.8,91.523
12:23:08.0,135.632,101.316,213.898
12:23:09.0,40.988,232.984,182.289
12:23:10.0,343.351,211.351,45.328
12:23:11.0,94.074,155.429,143.445
12:23:12.0,252.195,191.726,136.851
12:23:13.0,153.128,140.285,110.339
12:23:14.0,239.761,149.511,177.421
12:23:15.0,143.628,209.511,58.324
12:23:16.0,44.175,194.507,267.554
12:23:17.0,241.148,121.41,182.437
12:23:18.0,126.945,203.875,86.449
12:23:19.0,278.183,184.449,129.359
12:23:20.0,140.824,186.222,60.617
12:23:21.0,94.468,201.832,242.308
12:23:22.0,201.453,116.3,167.433
12:23:23.0,85.937,200.496,203.703
12:23:24.0,113.515,187.542,184.507
12:23:25.0,179.183,314.851,46.164
12:23:26.0,159.488,73.632,219.851
12:23:27.0,148.578,143.914,148.289
12:23:28.0,61.484,241.882,204.55
12:23:29.0,273.347,100.875,155.699
12:23:30.0,154.355,128.683,151.167
12:23:31.0,255.371,132.472,156.628
12:23:32.0,140.722,106.89,195.648
12:23:33.0,146.089,148.21,180.472
12:23:34.0,117.292,331.89,59.906
12:23:35.0,125.621,41.066,313.343
12:23:36.0,84.16,203.707,157.992
12:23:37.0,252.605,245.152,100.558
12:23:38.0,142.589,206.667,56.316
12:23:39.0,54.433,191.902,246.546
12:23:40.0,237.316,134.519,186.316
12:23:41.0,137.828,221.972,44.199
12:23:42.0,58.378,158.562,292.472
12:23:43.0,182.898,99.625,194.753
12:23:44.0,162.042,241.347,106.335
12:23:45.0,66.882,184.468,212.437
12:23:46.0,295.671,209.968,78.656
12:23:47.0,116.703,166.539,117.8
12:23:48.0,282.625,224.605,57.175
12:23:49.0,109.929,40.703,268.121
12:23:50.0,218.179,86.886,237.691
12:23:51.0,176.308,192.312,40.898
12:23:52.0,44.476,220.164,239.222
12:23:53.0,315.308,74.382,198.722
12:23:54.0,127.527,219.785,37.98
12:23:55.0,63.015,205.914,256.531
12:23:56.0,200.265,43.652,226.886
12:23:57.0,109.523,311.82,40.878
12:23:58.0,55.062,167.273,273.894
12:23:59.0,214.882,109.332,166.097
12:24:00.0,91.632,228.683,137.074
12:24:01.0,231.98,126.906,201.753
12:24:02.0,205.214,123.996,72.921
12:24:03.0,61.023,171.07,266.699
12:24:04.0,156.316,186.875,167.07
12:24:05.0,165.128,155.746,139.878
12:24:06.0,114.757,175.285,180.75
12:24:07.0,216.66,311.933,41.484
12:24:08.0,119.468,95.183,206.609
12:24:09.0,171.25,46.941,288.66
12:24:10.0,71.902,348.515,40.218
12:24:11.0,149.511,179.042,202.121
12:24:12.0,87.546,190.062,153.417
12:24:13.0,47.285,228.464,36.867
12:24:14.0,0.0,3.332,0.14
12:24:15.0,0.0,0.0,0.0
12:24:16.0,0.0,0.0,0.0
12:24:17.0,0.0,0.0,0.0
12:24:18.0,0.32,0.0,0.0
12:24:19.0,0.0,0.0,0.0
12:24:20.0,0.0,0.027,0.0
12:24:21.0,0.0,0.0,0.0
12:24:22.0,0.117,0.0,0.0
12:24:23.0,0.0,0.0,0.0
12:24:24.0,0.0,0.0,0.0
