Elapsed time,192.168.46.11 Disks I/O unit=mb:readbytes:fs=/,192.168.46.12 Disks I/O unit=mb:readbytes:fs=/,192.168.46.13 Disks I/O unit=mb:readbytes:fs=/
09:29:30.0,0.0,0.0,0.0
09:29:31.0,0.0,0.0,0.0
09:29:32.0,0.0,0.0,0.0
09:29:33.0,0.0,0.0,0.0
09:29:34.0,0.035,0.0,0.0
09:29:35.0,0.0,0.035,0.035
09:29:36.0,0.0,0.0,0.0
09:29:37.0,0.0,0.0,0.0
09:29:38.0,0.0,0.0,0.0
09:29:39.0,0.0,0.0,0.0
09:29:40.0,0.0,0.0,0.0
09:29:41.0,0.0,0.0,0.0
09:29:42.0,0.0,0.0,0.0
09:29:43.0,0.0,0.0,0.117
09:29:44.0,0.0,0.0,0.0
09:29:45.0,0.0,0.0,0.0
09:29:46.0,0.0,0.0,0.0
09:29:47.0,0.0,0.0,0.0
09:29:48.0,0.0,0.0,0.0
09:29:49.0,0.0,0.0,0.0
09:29:50.0,0.0,0.0,0.0
09:29:51.0,0.003,0.0,0.015
09:29:52.0,0.0,0.093,0.0
09:29:53.0,0.0,0.0,0.0
09:29:54.0,0.0,0.0,0.0
09:29:55.0,0.0,0.0,0.0
09:29:56.0,0.0,0.0,0.0
09:29:57.0,0.0,0.0,0.0
09:29:58.0,0.0,0.0,0.0
09:29:59.0,0.0,0.0,0.0
09:30:00.0,0.0,0.0,0.0
09:30:01.0,0.0,0.0,0.0
09:30:02.0,0.0,0.0,0.0
09:30:03.0,0.0,0.0,0.0
09:30:04.0,0.226,0.0,0.0
09:30:05.0,0.0,0.0,0.0
09:30:06.0,0.0,0.0,0.0
09:30:07.0,0.0,0.0,0.0
09:30:08.0,4.046,0.0,0.0
09:30:09.0,0.414,0.0,0.0
09:30:10.0,0.0,0.0,0.0
09:30:11.0,0.0,0.0,0.0
09:30:12.0,0.0,0.003,0.0
09:30:13.0,0.0,0.0,0.0
09:30:14.0,0.0,0.0,0.0
09:30:15.0,0.0,0.0,0.0
09:30:16.0,0.0,0.0,0.0
09:30:17.0,0.0,0.0,0.0
09:30:18.0,0.0,0.0,0.0
09:30:19.0,0.003,0.0,0.0
09:30:20.0,1.125,0.0,0.0
09:30:21.0,0.625,0.0,0.003
