Elapsed time,192.168.46.11 Disks I/O unit=mb:readbytes:fs=/,192.168.46.12 Disks I/O unit=mb:readbytes:fs=/,192.168.46.13 Disks I/O unit=mb:readbytes:fs=/
09:11:29.0,0.0,0.0,0.0
09:11:30.0,0.136,0.0,0.0
09:11:31.0,0.0,0.035,0.011
09:11:32.0,0.0,0.0,0.0
09:11:33.0,0.0,0.0,0.0
09:11:34.0,0.0,0.0,0.0
09:11:35.0,0.0,0.0,0.0
09:11:36.0,0.0,0.0,0.0
09:11:37.0,0.0,0.0,0.0
09:11:38.0,0.0,0.0,0.0
09:11:39.0,0.0,0.0,0.0
09:11:40.0,0.0,0.0,0.0
09:11:41.0,0.0,0.0,0.0
09:11:42.0,0.0,0.0,0.0
09:11:43.0,0.0,0.0,0.0
09:11:44.0,0.0,0.0,0.0
09:11:45.0,0.0,0.0,0.0
09:11:46.0,0.0,0.0,0.0
09:11:47.0,5.175,0.0,0.0
09:11:48.0,122.609,55.585,115.136
09:11:49.0,64.515,277.511,194.64
09:11:50.0,159.378,406.941,40.003
09:11:51.0,75.675,440.453,341.085
09:11:52.0,48.425,458.949,165.562
09:11:53.0,203.55,434.941,123.5
09:11:54.0,128.234,454.89,41.316
09:11:55.0,61.199,324.488,305.031
09:11:56.0,63.625,420.351,153.453
09:11:57.0,197.906,462.484,61.347
09:11:58.0,62.457,445.292,260.128
09:11:59.0,197.75,465.39,82.75
09:12:00.0,206.96,256.14,242.609
09:12:01.0,44.949,394.289,91.992
09:12:02.0,190.429,383.281,300.175
09:12:03.0,415.417,81.46,205.019
09:12:04.0,68.023,410.164,57.558
09:12:05.0,219.609,403.519,263.355
09:12:06.0,368.515,82.332,167.324
09:12:07.0,48.335,412.253,108.828
09:12:08.0,216.367,441.457,81.363
09:12:09.0,456.878,171.179,203.238
09:12:10.0,80.914,315.613,109.789
09:12:11.0,185.214,316.062,397.57
09:12:12.0,448.691,117.773,173.554
09:12:13.0,169.765,363.878,59.011
09:12:14.0,116.902,223.515,375.14
09:12:15.0,379.535,79.515,282.425
09:12:16.0,60.25,448.718,103.906
09:12:17.0,174.562,325.222,371.468
09:12:18.0,427.089,58.382,207.0
09:12:19.0,59.097,365.695,189.765
09:12:20.0,220.105,277.96,409.183
09:12:21.0,411.238,171.214,83.242
09:12:22.0,61.128,299.394,285.371
09:12:23.0,384.394,249.617,180.742
09:12:24.0,91.761,170.738,354.855
09:12:25.0,299.175,319.476,220.144
09:12:26.0,449.097,141.476,132.531
09:12:27.0,75.003,244.554,217.906
09:12:28.0,229.613,294.101,395.164
09:12:29.0,437.73,84.253,169.242
09:12:30.0,71.589,306.437,214.839
09:12:31.0,205.191,295.406,384.671
09:12:32.0,421.261,62.539,214.0
09:12:33.0,67.917,371.484,216.335
09:12:34.0,196.324,192.824,432.582
09:12:35.0,450.195,198.945,108.968
09:12:36.0,65.195,104.582,369.695
09:12:37.0,279.796,330.765,250.128
09:12:38.0,432.832,196.207,49.515
09:12:39.0,62.953,155.269,376.972
09:12:40.0,246.46,390.933,230.328
09:12:41.0,449.828,187.679,131.0
09:12:42.0,70.539,122.425,380.968
09:12:43.0,311.503,463.078,74.734
09:12:44.0,380.191,162.621,211.449
09:12:45.0,59.207,241.738,237.433
09:12:46.0,411.761,236.402,192.73
09:12:47.0,85.156,196.406,353.398
09:12:48.0,258.468,197.242,354.371
09:12:49.0,459.046,156.785,109.578
09:12:50.0,71.832,115.14,360.699
09:12:51.0,243.222,300.363,236.675
09:12:52.0,416.375,248.828,115.058
09:12:53.0,73.742,52.238,417.464
09:12:54.0,269.324,394.273,189.976
09:12:55.0,395.894,235.789,114.535
09:12:56.0,102.73,54.914,427.144
09:12:57.0,207.316,369.812,183.05
09:12:58.0,129.285,291.605,296.042
09:12:59.0,412.218,51.523,230.511
09:13:00.0,59.625,370.914,199.57
09:13:01.0,189.183,253.882,428.769
09:13:02.0,451.492,118.316,155.351
09:13:03.0,60.031,121.453,368.847
09:13:04.0,187.281,284.281,292.566
09:13:05.0,442.925,277.664,105.257
09:13:06.0,114.183,60.152,400.742
09:13:07.0,158.421,360.101,180.386
09:13:08.0,416.277,309.351,100.171
09:13:09.0,100.769,52.132,412.589
09:13:10.0,188.617,389.863,168.554
09:13:11.0,367.238,314.277,148.441
09:13:12.0,109.027,62.746,413.898
09:13:13.0,115.21,394.152,174.023
09:13:14.0,419.48,294.855,172.246
09:13:15.0,142.007,61.757,387.265
09:13:16.0,207.968,328.101,187.019
09:13:17.0,222.519,292.035,273.406
09:13:18.0,436.589,53.847,177.597
09:13:19.0,194.437,375.5,129.851
09:13:20.0,131.734,339.113,261.203
09:13:21.0,438.277,111.98,196.699
09:13:22.0,169.277,372.355,106.792
09:13:23.0,143.964,224.0,358.628
09:13:24.0,381.093,65.617,261.113
09:13:25.0,55.363,379.941,189.667
09:13:26.0,196.781,394.167,322.542
09:13:27.0,419.503,60.406,182.464
09:13:28.0,69.875,393.988,92.886
09:13:29.0,175.699,271.675,415.867
09:13:30.0,366.871,58.363,249.257
09:13:31.0,117.054,361.601,181.265
09:13:32.0,363.0,284.925,238.199
09:13:33.0,317.019,60.269,257.972
09:13:34.0,59.617,296.914,243.441
09:13:35.0,432.175,306.386,153.386
09:13:36.0,92.371,58.671,364.406
09:13:37.0,235.746,401.289,186.582
09:13:38.0,450.097,252.253,108.031
09:13:39.0,80.57,60.531,394.82
09:13:40.0,292.367,407.812,164.636
09:13:41.0,463.589,197.457,85.75
09:13:42.0,96.863,61.109,395.144
09:13:43.0,250.32,397.671,194.21
09:13:44.0,321.796,325.378,55.953
09:13:45.0,117.617,130.636,385.535
09:13:46.0,213.027,236.011,245.246
09:13:47.0,381.039,324.449,120.777
09:13:48.0,120.855,57.785,417.246
09:13:49.0,236.109,350.894,162.292
09:13:50.0,308.492,258.347,199.886
09:13:51.0,203.55,64.011,411.792
09:13:52.0,227.492,363.195,106.003
09:13:53.0,161.503,211.468,304.378
09:13:54.0,246.398,235.468,249.859
09:13:55.0,448.363,197.16,181.714
09:13:56.0,67.214,56.949,402.445
09:13:57.0,279.679,406.328,158.234
09:13:58.0,458.882,185.039,124.781
09:13:59.0,84.0,66.867,393.289
09:14:00.0,214.734,417.531,207.472
09:14:01.0,453.449,191.519,151.578
09:14:02.0,69.847,58.414,379.917
09:14:03.0,292.027,395.257,178.765
09:14:04.0,453.468,188.968,54.394
09:14:05.0,95.378,52.921,365.218
09:14:06.0,256.406,401.238,168.582
09:14:07.0,424.91,244.671,93.656
09:14:08.0,70.878,57.296,415.519
09:14:09.0,216.394,412.398,193.214
09:14:10.0,456.175,226.835,139.91
09:14:11.0,91.265,55.312,399.078
09:14:12.0,202.128,380.73,226.964
09:14:13.0,459.746,177.82,185.964
09:14:14.0,92.105,57.742,369.917
09:14:15.0,280.035,395.218,163.039
09:14:16.0,452.792,228.699,82.792
09:14:17.0,85.933,56.121,393.902
09:14:18.0,299.882,390.812,170.964
09:14:19.0,448.425,195.003,116.871
09:14:20.0,73.195,55.921,396.394
09:14:21.0,270.953,402.917,180.714
09:14:22.0,463.296,187.414,111.207
09:14:23.0,109.91,60.82,378.093
09:14:24.0,262.765,388.968,170.746
09:14:25.0,458.636,215.062,82.988
09:14:26.0,94.953,58.109,377.73
09:14:27.0,268.972,378.824,185.41
09:14:28.0,452.48,223.988,81.964
09:14:29.0,125.0,58.98,363.984
09:14:30.0,266.167,398.8,183.816
09:14:31.0,11.417,164.519,24.664
09:14:32.0,0.0,0.093,0.0
09:14:33.0,0.0,0.0,0.0
09:14:34.0,0.0,0.0,0.0
09:14:35.0,0.0,0.0,0.0
09:14:36.0,0.0,0.0,0.0
09:14:37.0,0.0,0.0,0.0
09:14:38.0,0.0,0.0,0.0
