Elapsed time,192.168.46.11 Disks I/O unit=mb:readbytes:fs=/,192.168.46.12 Disks I/O unit=mb:readbytes:fs=/,192.168.46.13 Disks I/O unit=mb:readbytes:fs=/
16:01:18.0,0.0,,0.0
16:01:19.0,0.0,0.0,0.0
16:01:20.0,0.035,0.0,0.035
16:01:21.0,0.0,0.035,0.0
16:01:22.0,0.0,0.0,0.0
16:01:23.0,0.0,0.0,0.0
16:01:24.0,0.0,0.0,0.0
16:01:25.0,0.0,0.0,0.0
16:01:26.0,0.0,0.0,0.0
16:01:27.0,0.0,0.0,0.0
16:01:28.0,0.0,0.0,0.0
16:01:29.0,0.0,0.0,0.0
16:01:30.0,0.0,0.0,0.0
16:01:31.0,0.0,0.0,0.0
16:01:32.0,0.0,0.0,0.0
16:01:33.0,0.0,0.0,0.0
16:01:34.0,0.0,0.0,0.0
16:01:35.0,0.0,0.0,18.835
16:01:36.0,189.273,42.261,463.441
16:01:37.0,287.921,415.324,477.492
16:01:38.0,488.281,466.472,243.687
16:01:39.0,501.835,481.042,296.914
16:01:40.0,488.503,306.453,440.773
16:01:41.0,465.914,415.347,216.281
16:01:42.0,542.093,340.917,466.046
16:01:43.0,244.402,488.48,284.843
16:01:44.0,461.429,482.003,74.597
16:01:45.0,446.265,254.738,476.398
16:01:46.0,120.785,488.406,280.054
16:01:47.0,500.703,217.308,421.304
16:01:48.0,348.347,146.488,376.554
16:01:49.0,142.605,446.265,82.156
16:01:50.0,369.371,467.73,385.847
16:01:51.0,73.175,486.468,278.515
16:01:52.0,384.218,439.644,236.621
16:01:53.0,457.507,90.449,178.968
16:01:54.0,63.914,406.835,480.25
16:01:55.0,237.058,298.714,211.578
16:01:56.0,431.683,91.089,83.64
16:01:57.0,52.503,425.714,471.07
16:01:58.0,300.976,111.41,198.816
16:01:59.0,312.046,200.625,62.128
16:02:00.0,153.324,441.414,312.218
16:02:01.0,274.707,98.199,115.789
16:02:02.0,226.285,233.382,414.027
16:02:03.0,56.562,109.324,185.675
16:02:04.0,347.183,270.281,129.882
16:02:05.0,235.695,56.425,114.699
16:02:06.0,40.804,355.171,344.132
16:02:07.0,236.792,109.992,134.339
16:02:08.0,235.167,132.074,138.882
16:02:09.0,43.562,300.464,248.253
16:02:10.0,202.402,168.929,41.89
16:02:11.0,98.839,352.582,370.3
16:02:12.0,69.05,66.539,252.851
16:02:13.0,229.414,64.078,61.097
16:02:14.0,144.847,275.167,267.789
16:02:15.0,129.847,96.812,151.843
16:02:16.0,198.136,185.351,99.191
16:02:17.0,173.566,194.773,350.503
16:02:18.0,89.195,72.214,91.109
16:02:19.0,215.042,168.488,348.316
16:02:20.0,34.25,73.96,104.773
16:02:21.0,150.078,302.82,153.41
16:02:22.0,230.394,91.859,251.656
16:02:23.0,102.55,143.25,67.164
16:02:24.0,229.765,231.449,320.421
16:02:25.0,100.023,66.742,87.808
16:02:26.0,125.074,325.843,138.789
16:02:27.0,292.613,197.972,173.042
16:02:28.0,157.73,71.531,127.976
16:02:29.0,77.582,380.652,213.765
16:02:30.0,318.003,178.324,131.343
16:02:31.0,291.062,66.972,95.21
16:02:32.0,78.937,378.246,256.687
16:02:33.0,187.125,195.292,290.554
16:02:34.0,252.503,81.73,75.468
16:02:35.0,210.097,307.578,228.394
16:02:36.0,182.703,79.203,320.847
16:02:37.0,72.199,151.554,94.539
16:02:38.0,299.949,307.039,325.695
16:02:39.0,108.171,68.429,105.707
16:02:40.0,160.875,378.292,129.863
16:02:41.0,296.011,110.687,346.464
16:02:42.0,137.351,80.308,111.292
16:02:43.0,71.968,323.148,243.824
16:02:44.0,227.523,181.136,140.468
16:02:45.0,253.761,78.457,203.488
16:02:46.0,42.55,260.871,224.41
16:02:47.0,236.441,184.484,73.285
16:02:48.0,312.011,133.406,312.781
16:02:49.0,47.679,90.917,87.875
16:02:50.0,204.562,346.531,124.421
16:02:51.0,185.851,83.335,423.019
16:02:52.0,42.027,65.996,89.214
16:02:53.0,246.105,309.156,44.656
16:02:54.0,340.851,69.187,195.058
16:02:55.0,42.792,220.792,176.441
16:02:56.0,142.316,247.542,122.496
16:02:57.0,358.941,76.503,72.429
16:02:58.0,83.089,234.531,370.898
16:02:59.0,96.257,58.574,209.753
16:03:00.0,220.613,83.484,70.734
16:03:01.0,243.792,205.406,230.968
16:03:02.0,182.386,51.875,65.097
16:03:03.0,157.492,225.82,326.46
16:03:04.0,81.636,65.457,224.855
16:03:05.0,228.949,58.597,36.925
16:03:06.0,84.613,279.015,280.031
16:03:07.0,124.136,87.679,130.39
16:03:08.0,305.941,48.535,48.992
16:03:09.0,86.886,310.019,314.117
16:03:10.0,39.265,67.074,287.558
16:03:11.0,208.136,57.46,201.121
16:03:12.0,68.269,169.851,185.859
16:03:13.0,203.109,145.738,60.957
16:03:14.0,255.289,64.894,219.437
16:03:15.0,40.433,198.82,156.933
16:03:16.0,214.089,180.187,75.656
16:03:17.0,290.367,70.621,140.66
16:03:18.0,35.859,244.066,256.347
16:03:19.0,136.773,124.035,64.847
16:03:20.0,327.281,102.824,273.5
16:03:21.0,33.117,61.878,63.167
16:03:22.0,177.292,237.757,174.835
16:03:23.0,173.335,98.91,210.414
16:03:24.0,35.39,182.691,73.062
16:03:25.0,227.292,259.3,175.425
16:03:26.0,204.542,37.375,153.281
16:03:27.0,37.707,235.882,170.003
16:03:28.0,208.378,166.492,137.402
16:03:29.0,151.402,61.746,147.48
16:03:30.0,78.453,266.148,74.496
16:03:31.0,291.695,124.105,165.031
16:03:32.0,193.167,52.808,38.515
16:03:33.0,113.343,288.578,295.96
16:03:34.0,92.054,61.109,218.761
16:03:35.0,230.527,53.132,36.417
16:03:36.0,103.324,297.203,280.48
16:03:37.0,78.378,59.441,184.453
16:03:38.0,218.941,143.144,37.8
16:03:39.0,207.046,134.687,261.828
16:03:40.0,73.902,92.398,203.042
16:03:41.0,78.031,241.281,64.742
16:03:42.0,366.355,96.8,175.339
16:03:43.0,113.101,105.953,216.027
16:03:44.0,94.289,116.097,63.921
16:03:45.0,259.179,204.175,194.679
16:03:46.0,75.234,184.492,139.242
16:03:47.0,163.71,244.796,84.39
16:03:48.0,355.449,105.808,222.332
16:03:49.0,64.074,129.546,98.828
16:03:50.0,192.683,275.812,125.042
16:03:51.0,332.582,84.757,152.187
16:03:52.0,41.929,177.085,177.843
16:03:53.0,155.375,238.128,124.64
16:03:54.0,381.433,56.863,117.808
16:03:55.0,43.546,244.531,183.8
16:03:56.0,276.21,160.964,143.726
16:03:57.0,197.0,63.679,152.007
16:03:58.0,51.218,272.39,280.265
16:03:59.0,157.621,99.222,47.617
16:04:00.0,277.894,148.566,312.085
16:04:01.0,40.957,61.746,214.066
16:04:02.0,189.355,194.023,64.742
16:04:03.0,237.285,187.781,304.984
16:04:04.0,90.726,56.167,75.878
16:04:05.0,216.335,255.46,287.089
16:04:06.0,85.039,67.496,68.566
16:04:07.0,205.785,226.343,232.812
16:04:08.0,181.464,48.16,95.628
16:04:09.0,87.273,304.773,146.406
16:04:10.0,230.226,177.949,147.828
16:04:11.0,237.257,67.039,124.621
16:04:12.0,71.066,250.39,148.683
16:04:13.0,230.222,164.062,177.644
16:04:14.0,148.988,57.16,145.101
16:04:15.0,65.66,283.632,85.015
16:04:16.0,343.683,112.808,79.742
16:04:17.0,263.496,114.875,289.082
16:04:18.0,38.343,73.953,81.957
16:04:19.0,196.714,274.808,132.906
16:04:20.0,194.621,93.125,66.878
16:04:21.0,0.16,8.746,0.0
16:04:22.0,0.0,0.0,0.0
16:04:23.0,0.0,0.0,0.0
16:04:24.0,0.0,0.0,0.0
16:04:25.0,0.0,0.0,0.0
16:04:26.0,0.0,0.0,0.0
16:04:27.0,0.0,0.0,0.003
