Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
10:12:03.0,0.0,,0.0
10:12:04.0,0.0,0.0,0.0
10:12:05.0,0.269,0.0,0.0
10:12:06.0,0.0,0.0,0.0
10:12:07.0,0.0,0.0,0.066
10:12:08.0,0.0,0.0,0.062
10:12:09.0,0.0,0.078,0.0
10:12:10.0,0.054,0.0,0.0
10:12:11.0,0.0,0.0,0.015
10:12:12.0,0.0,0.0,0.0
10:12:13.0,0.0,0.0,0.0
10:12:14.0,0.0,0.0,0.0
10:12:15.0,0.0,0.0,0.0
10:12:16.0,1.675,0.0,3.722
10:12:17.0,0.0,0.074,0.0
10:12:18.0,0.0,0.0,0.062
10:12:19.0,0.062,0.074,0.0
10:12:20.0,0.054,0.0,0.0
10:12:21.0,0.0,0.0,0.0
10:12:22.0,0.0,0.0,0.0
10:12:23.0,0.0,0.0,0.0
10:12:24.0,0.0,0.0,0.0
10:12:25.0,0.082,1.585,0.0
10:12:26.0,0.0,0.0,0.0
10:12:27.0,0.0,0.078,0.062
10:12:28.0,0.0,0.0,0.062
10:12:29.0,0.0,0.07,0.0
10:12:30.0,0.062,0.0,0.0
10:12:31.0,4.859,0.0,0.0
10:12:32.0,0.0,0.0,6.183
10:12:33.0,0.0,0.0,0.0
10:12:34.0,0.0,0.082,0.0
10:12:35.0,9.621,10.503,0.0
10:12:36.0,0.0,0.0,0.0
10:12:37.0,0.0,0.0,0.082
10:12:38.0,0.0,0.0,0.066
10:12:39.0,0.0,0.093,0.0
10:12:40.0,0.082,0.0,0.0
10:12:41.0,0.0,0.0,26.101
10:12:42.0,19.191,21.539,0.0
10:12:43.0,0.0,0.0,0.0
10:12:44.0,0.0,0.0,0.0
10:12:45.0,0.0,0.0,0.0
10:12:46.0,0.0,0.0,0.082
10:12:47.0,0.082,0.078,0.0
10:12:48.0,0.0,0.0,0.066
10:12:49.0,0.0,0.011,0.0
