Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
09:01:03.0,,,0.0
09:01:04.0,0.0,,
09:01:05.0,0.0,0.0,0.0
09:01:06.0,0.0,0.0,2.722
09:01:07.0,0.0,0.0,0.0
09:01:08.0,0.0,2.042,0.0
09:01:09.0,0.058,0.0,0.0
09:01:10.0,0.054,0.0,0.0
09:01:11.0,0.0,0.066,0.062
09:01:12.0,1.582,0.0,0.0
09:01:13.0,0.0,0.003,0.0
09:01:14.0,0.0,0.0,0.0
09:01:15.0,44.003,0.0,41.781
09:01:16.0,6.25,0.0,6.347
09:01:17.0,0.0,18.023,0.0
09:01:18.0,0.0,0.101,0.0
09:01:19.0,0.0,14.5,0.0
09:01:20.0,5.066,0.0,20.91
09:01:21.0,27.261,0.011,11.511
09:01:22.0,0.0,0.0,0.0
09:01:23.0,0.0,0.015,0.0
09:01:24.0,0.0,0.0,0.0
09:01:25.0,10.843,32.957,0.171
09:01:26.0,54.062,0.0,64.55
09:01:27.0,0.0,0.0,0.0
09:01:28.0,0.0,0.0,0.0
09:01:29.0,36.0,0.0,63.5
09:01:30.0,71.089,31.582,43.527
09:01:31.0,32.054,0.011,32.089
09:01:32.0,0.0,0.0,0.0
09:01:33.0,0.0,0.003,0.0
09:01:34.0,0.144,0.0,0.0
09:01:35.0,27.71,32.007,22.414
09:01:36.0,31.945,0.0,37.527
09:01:37.0,0.0,0.0,0.0
09:01:38.0,0.0,0.0,0.0
09:01:39.0,0.0,0.0,0.0
09:01:40.0,0.066,32.117,0.0
09:01:41.0,32.328,0.011,33.91
09:01:42.0,25.007,0.0,95.062
09:01:43.0,132.207,2.699,62.207
09:01:44.0,0.0,0.0,0.0
09:01:45.0,0.0,32.042,0.0
09:01:46.0,31.98,0.093,32.269
09:01:47.0,29.226,17.128,26.175
09:01:48.0,0.0,3.73,0.0
09:01:49.0,0.0,0.0,0.0
09:01:50.0,0.187,32.292,0.0
09:01:51.0,59.269,0.144,59.496
09:01:52.0,0.0,22.863,0.042
09:01:53.0,0.0,0.007,0.0
09:01:54.0,0.0,0.0,0.0
09:01:55.0,0.0,32.085,0.0
09:01:56.0,32.117,0.0,32.105
09:01:57.0,0.027,72.164,0.027
09:01:58.0,0.125,0.296,0.0
09:01:59.0,30.359,25.246,24.453
09:02:00.0,0.015,79.515,6.05
09:02:01.0,117.937,0.148,117.96
09:02:02.0,0.109,0.0,0.117
09:02:03.0,0.0,46.031,0.0
09:02:04.0,0.0,0.0,0.0
09:02:05.0,0.0,31.949,0.0
09:02:06.0,32.078,26.664,32.035
09:02:07.0,0.031,0.0,0.031
09:02:08.0,29.394,0.0,0.16
09:02:09.0,6.289,0.0,35.453
09:02:10.0,0.05,74.347,0.0
09:02:11.0,0.0,0.011,18.472
09:02:12.0,32.312,0.0,13.492
09:02:13.0,0.0,0.0,0.0
09:02:14.0,0.0,22.597,0.0
09:02:15.0,0.0,19.949,0.0
09:02:16.0,0.0,16.011,0.0
09:02:17.0,32.257,0.0,35.296
09:02:18.0,0.148,1.855,0.164
09:02:19.0,32.433,0.0,32.386
