Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
11:01:03.0,0.0,0.0,0.0
11:01:04.0,0.003,0.0,0.003
11:01:05.0,0.0,0.0,0.101
11:01:06.0,0.0,0.0,0.0
11:01:07.0,0.0,0.171,0.0
11:01:08.0,0.0,0.0,0.062
11:01:09.0,0.074,0.0,0.0
11:01:10.0,0.0,0.0,0.0
11:01:11.0,0.0,0.0,0.0
11:01:12.0,0.058,0.074,0.0
11:01:13.0,0.0,0.0,0.0
11:01:14.0,0.0,0.0,0.0
11:01:15.0,0.0,0.0,0.0
11:01:16.0,0.0,0.074,0.0
11:01:17.0,0.0,0.0,0.066
11:01:18.0,0.0,0.0,0.062
11:01:19.0,0.054,0.0,0.0
11:01:20.0,0.0,0.0,1.714
11:01:21.0,0.0,0.0,0.0
11:01:22.0,0.054,0.074,0.0
11:01:23.0,0.0,1.664,0.0
11:01:24.0,1.539,0.0,0.003
11:01:25.0,0.0,0.0,1.128
11:01:26.0,0.0,0.066,0.0
11:01:27.0,1.058,0.0,0.0
11:01:28.0,0.0,0.0,0.085
11:01:29.0,0.0,0.0,0.0
11:01:30.0,0.0,0.0,0.015
11:01:31.0,0.0,10.003,0.0
11:01:32.0,0.085,0.0,0.0
11:01:33.0,0.0,0.0,0.07
11:01:34.0,0.0,0.0,22.738
11:01:35.0,0.0,0.0,0.0
11:01:36.0,0.0,0.082,0.0
11:01:37.0,31.207,0.0,9.242
11:01:38.0,0.0,22.351,0.066
11:01:39.0,0.0,0.0,0.0
11:01:40.0,0.0,0.0,0.0
11:01:41.0,0.0,0.0,0.0
11:01:42.0,0.089,0.0,0.0
11:01:43.0,0.0,0.074,0.066
11:01:44.0,32.281,0.0,0.0
11:01:45.0,0.0,32.695,32.453
11:01:46.0,0.0,0.011,0.0
11:01:47.0,0.0,0.0,0.0
11:01:48.0,0.0,0.0,0.066
11:01:49.0,0.058,0.0,0.0
11:01:50.0,0.0,0.0,0.0
11:01:51.0,32.039,32.039,32.085
11:01:52.0,0.011,0.0,0.0
11:01:53.0,0.0,0.007,0.0
11:01:54.0,0.0,0.0,0.0
11:01:55.0,0.007,0.0,3.695
11:01:56.0,0.0,0.082,0.066
11:01:57.0,31.917,32.296,32.257
11:01:58.0,0.0,3.808,0.011
11:01:59.0,0.0,0.0,0.0
11:02:00.0,3.707,0.0,0.007
11:02:01.0,0.0,0.0,0.0
11:02:02.0,15.281,0.078,0.0
11:02:03.0,17.546,31.781,31.781
11:02:04.0,0.148,0.0,0.113
11:02:05.0,0.0,0.097,0.0
11:02:06.0,0.0,0.019,0.0
11:02:07.0,0.0,0.0,0.0
11:02:08.0,26.605,0.0,26.281
11:02:09.0,31.375,32.582,32.421
11:02:10.0,0.0,0.0,0.0
11:02:11.0,0.0,0.0,0.0
11:02:12.0,0.019,0.0,0.0
11:02:13.0,27.289,0.0,0.0
11:02:14.0,32.425,0.085,27.41
11:02:15.0,0.253,31.468,32.027
11:02:16.0,0.125,0.019,0.0
11:02:17.0,0.0,0.0,0.101
11:02:18.0,0.0,0.0,0.07
11:02:19.0,0.0,11.316,0.0
11:02:20.0,31.429,14.976,32.41
11:02:21.0,32.73,32.164,0.0
11:02:22.0,0.011,0.0,32.914
11:02:23.0,0.0,0.007,0.0
11:02:24.0,0.0,0.0,0.0
11:02:25.0,0.167,0.0,0.093
11:02:26.0,32.429,12.625,31.554
11:02:27.0,0.0,46.945,0.0
11:02:28.0,0.0,0.093,0.066
11:02:29.0,0.0,0.0,0.0
11:02:30.0,0.0,0.0,1.691
11:02:31.0,0.062,0.0,35.355
11:02:32.0,32.05,32.082,32.839
11:02:33.0,0.0,14.73,0.0
11:02:34.0,35.273,19.871,0.0
11:02:35.0,1.792,0.0,0.113
11:02:36.0,0.0,0.015,0.0
11:02:37.0,14.867,0.0,0.0
11:02:38.0,17.273,32.062,31.847
11:02:39.0,0.0,0.0,0.0
11:02:40.0,28.789,35.488,0.105
11:02:41.0,0.0,0.113,28.589
11:02:42.0,0.015,0.0,0.0
11:02:43.0,0.0,0.0,0.0
11:02:44.0,31.828,32.433,32.843
11:02:45.0,0.093,0.0,0.093
11:02:46.0,9.109,28.41,9.414
11:02:47.0,0.296,0.0,0.0
11:02:48.0,0.0,0.0,0.07
11:02:49.0,0.0,9.328,0.101
11:02:50.0,32.296,32.089,31.085
11:02:51.0,0.0,0.0,0.0
11:02:52.0,0.019,0.0,0.0
11:02:53.0,0.0,0.113,0.0
11:02:54.0,0.0,0.0,0.0
11:02:55.0,0.121,0.097,0.179
11:02:56.0,0.0,0.015,0.0
11:02:57.0,0.0,62.683,62.199
11:02:58.0,0.089,0.093,0.101
11:02:59.0,0.0,0.117,0.109
11:03:00.0,23.71,0.0,0.007
11:03:01.0,0.0,0.0,0.0
11:03:02.0,9.804,0.0,0.0
11:03:03.0,0.0,0.0,0.0
11:03:04.0,0.0,0.089,0.078
11:03:05.0,0.113,0.0,2.871
11:03:06.0,30.55,27.265,0.0
11:03:07.0,0.0,21.808,33.335
11:03:08.0,0.113,34.128,10.48
11:03:09.0,32.121,0.0,0.222
11:03:10.0,2.761,0.0,0.0
11:03:11.0,0.0,0.0,0.0
11:03:12.0,8.589,0.0,0.0
11:03:13.0,0.0,0.207,31.324
11:03:14.0,0.0,0.121,0.113
11:03:15.0,13.722,0.0,0.113
11:03:16.0,64.078,15.578,32.875
11:03:17.0,0.0,21.761,0.175
11:03:18.0,0.109,0.113,8.457
11:03:19.0,0.0,0.0,0.0
11:03:20.0,17.183,0.0,22.234
11:03:21.0,0.0,27.707,24.05
11:03:22.0,31.855,0.0,8.093
11:03:23.0,0.0,32.953,0.0
11:03:24.0,0.0,0.0,0.0
11:03:25.0,27.679,0.0,0.0
11:03:26.0,0.0,0.015,0.0
11:03:27.0,0.0,0.0,32.316
11:03:28.0,32.148,0.105,1.14
11:03:29.0,0.0,17.222,0.0
11:03:30.0,0.035,14.429,0.113
11:03:31.0,0.0,0.0,0.0
11:03:32.0,5.179,0.0,0.0
11:03:33.0,0.0,0.035,102.46
11:03:34.0,32.136,11.382,0.167
11:03:35.0,0.0,64.886,0.042
11:03:36.0,0.0,32.468,0.0
11:03:37.0,0.0,0.0,0.0
11:03:38.0,0.0,0.109,0.109
11:03:39.0,0.074,0.0,31.828
11:03:40.0,0.105,0.0,1.738
11:03:41.0,32.277,0.085,0.0
11:03:42.0,0.027,73.175,0.0
11:03:43.0,0.0,1.941,0.0
11:03:44.0,0.0,0.109,0.078
11:03:45.0,77.789,0.0,48.257
11:03:46.0,0.0,0.031,32.855
11:03:47.0,31.945,0.0,0.0
11:03:48.0,0.105,32.542,0.246
11:03:49.0,0.0,0.0,0.0
11:03:50.0,48.281,0.0,26.273
11:03:51.0,0.0,0.0,32.386
11:03:52.0,0.113,0.0,0.0
11:03:53.0,32.089,0.191,0.0
11:03:54.0,0.0,31.957,0.0
11:03:55.0,0.007,0.0,0.0
11:03:56.0,0.0,32.347,0.082
11:03:57.0,0.0,0.179,0.0
11:03:58.0,0.113,0.0,0.0
11:03:59.0,0.0,0.0,0.0
11:04:00.0,0.089,0.0,0.011
11:04:01.0,0.0,0.0,0.0
11:04:02.0,0.0,0.132,0.097
11:04:03.0,0.074,0.0,0.0
11:04:04.0,0.0,64.566,31.218
11:04:05.0,0.003,29.519,0.308
11:04:06.0,24.492,0.062,0.0
11:04:07.0,9.015,0.0,42.156
11:04:08.0,41.5,0.347,4.148
11:04:09.0,0.195,0.0,7.816
11:04:10.0,0.0,0.0,7.269
11:04:11.0,0.0,0.128,32.144
11:04:12.0,0.0,62.582,0.0
11:04:13.0,52.347,0.16,33.023
11:04:14.0,0.0,0.0,33.89
11:04:15.0,33.218,4.195,2.949
11:04:16.0,4.609,0.042,26.027
11:04:17.0,112.691,0.0,0.0
11:04:18.0,0.0,15.0,0.0
11:04:19.0,0.0,50.91,0.0
11:04:20.0,3.179,0.0,79.566
