Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
09:56:47.0,0.0,0.0,0.0
09:56:48.0,0.0,0.0,0.0
09:56:49.0,0.0,0.078,2.578
09:56:50.0,0.054,0.0,0.0
09:56:51.0,0.0,0.0,0.0
09:56:52.0,0.0,0.0,0.125
09:56:53.0,1.593,0.0,0.0
09:56:54.0,0.0,0.097,0.0
09:56:55.0,0.0,1.667,0.0
09:56:56.0,0.0,0.0,0.0
09:56:57.0,0.0,0.0,0.0
09:56:58.0,0.058,0.0,0.0
09:56:59.0,0.0,0.078,0.0
09:57:00.0,0.054,0.0,0.0
09:57:01.0,0.0,0.0,0.0
09:57:02.0,0.0,0.0,0.128
09:57:03.0,0.0,0.0,0.0
09:57:04.0,0.0,0.0,1.589
09:57:05.0,0.0,0.0,0.0
09:57:06.0,0.0,0.074,0.0
09:57:07.0,0.0,0.0,0.085
09:57:08.0,1.589,0.0,0.0
09:57:09.0,0.0,0.062,0.0
09:57:10.0,0.058,0.0,0.0
09:57:11.0,0.0,0.0,0.0
09:57:12.0,0.0,0.0,0.066
09:57:13.0,0.0,0.0,0.0
09:57:14.0,0.0,0.0,0.0
09:57:15.0,0.0,1.542,0.0
09:57:16.0,0.0,0.082,0.0
09:57:17.0,0.0,0.0,0.003
09:57:18.0,0.054,0.0,0.0
09:57:19.0,0.0,0.078,0.0
09:57:20.0,0.054,0.0,0.0
09:57:21.0,0.0,0.0,0.0
09:57:22.0,0.0,0.0,0.128
09:57:23.0,0.0,0.0,0.0
09:57:24.0,0.0,0.0,0.0
09:57:25.0,0.0,0.0,0.0
09:57:26.0,0.0,0.074,0.0
09:57:27.0,0.0,0.0,0.273
09:57:28.0,0.054,0.0,0.0
09:57:29.0,0.0,0.062,0.0
09:57:30.0,0.054,0.0,0.0
09:57:31.0,0.0,0.0,0.0
09:57:32.0,0.0,0.0,0.066
09:57:33.0,0.0,0.0,0.0
09:57:34.0,0.0,0.0,0.007
09:57:35.0,0.0,0.0,0.0
09:57:36.0,0.0,0.074,0.0
09:57:37.0,0.0,0.0,0.003
09:57:38.0,1.593,0.0,0.0
09:57:39.0,0.0,0.074,1.644
09:57:40.0,0.058,0.0,0.0
09:57:41.0,0.0,0.0,0.0
09:57:42.0,0.0,0.0,0.062
09:57:43.0,0.0,0.0,0.0
09:57:44.0,0.0,0.0,0.0
09:57:45.0,0.0,0.007,0.0
09:57:46.0,0.0,0.078,0.0
09:57:47.0,0.0,0.0,0.003
09:57:48.0,0.054,0.0,0.0
09:57:49.0,0.0,0.074,0.0
09:57:50.0,0.054,2.699,0.0
09:57:51.0,0.0,0.0,0.0
09:57:52.0,0.0,0.0,0.066
09:57:53.0,0.0,0.0,0.058
09:57:54.0,0.0,0.0,2.625
09:57:55.0,0.0,0.074,0.0
09:57:56.0,0.0,0.0,0.0
09:57:57.0,0.0,0.0,0.0
09:57:58.0,0.054,0.0,0.0
09:57:59.0,0.0,0.074,0.066
09:58:00.0,0.054,0.0,0.0
09:58:01.0,0.0,0.0,0.0
09:58:02.0,0.0,0.0,0.0
09:58:03.0,0.0,0.0,0.062
09:58:04.0,0.0,0.0,0.0
09:58:05.0,0.0,0.0,0.0
09:58:06.0,0.0,0.074,0.0
09:58:07.0,0.0,0.0,0.0
09:58:08.0,0.062,0.0,0.0
09:58:09.0,0.0,0.074,0.0
09:58:10.0,0.058,0.0,0.0
09:58:11.0,0.0,0.0,0.0
09:58:12.0,0.0,0.0,0.062
09:58:13.0,2.597,0.0,0.062
09:58:14.0,0.0,0.0,0.0
09:58:15.0,0.0,0.0,0.0
09:58:16.0,0.0,0.941,0.0
09:58:17.0,0.0,0.0,0.0
09:58:18.0,0.054,0.0,0.0
09:58:19.0,0.0,0.074,0.0
09:58:20.0,0.054,0.0,0.0
09:58:21.0,0.0,0.746,0.0
09:58:22.0,0.0,0.0,0.062
09:58:23.0,0.0,0.0,0.062
09:58:24.0,0.0,0.0,0.007
09:58:25.0,0.0,0.0,0.0
09:58:26.0,0.0,0.074,0.0
09:58:27.0,0.0,0.0,0.0
09:58:28.0,0.054,0.0,0.0
09:58:29.0,0.0,0.074,1.64
09:58:30.0,0.054,0.0,0.0
09:58:31.0,0.0,1.605,0.0
09:58:32.0,0.0,0.0,0.0
09:58:33.0,1.539,0.0,0.062
09:58:34.0,0.0,0.0,0.0
09:58:35.0,0.0,0.0,0.0
09:58:36.0,0.0,0.078,0.0
09:58:37.0,0.0,0.0,0.0
09:58:38.0,0.058,0.0,0.0
09:58:39.0,0.0,0.074,0.0
09:58:40.0,0.054,0.0,0.0
09:58:41.0,0.0,0.0,0.0
09:58:42.0,0.0,0.0,0.062
09:58:43.0,0.0,0.0,0.062
09:58:44.0,0.0,0.0,0.0
09:58:45.0,0.0,0.0,0.0
09:58:46.0,0.0,0.074,0.0
09:58:47.0,0.0,0.0,0.0
09:58:48.0,1.589,0.0,0.0
09:58:49.0,0.0,0.074,1.519
09:58:50.0,0.058,0.0,0.0
09:58:51.0,0.0,0.0,0.0
09:58:52.0,0.0,0.0,0.066
09:58:53.0,0.0,0.0,0.062
09:58:54.0,0.0,0.0,0.0
09:58:55.0,0.0,0.0,0.0
09:58:56.0,0.0,0.074,0.0
09:58:57.0,0.0,0.0,0.0
09:58:58.0,0.054,0.0,0.0
09:58:59.0,0.0,0.066,0.0
09:59:00.0,0.054,0.0,0.0
09:59:01.0,0.0,0.007,0.0
09:59:02.0,0.0,0.0,0.062
09:59:03.0,2.605,0.0,0.062
09:59:04.0,0.0,0.0,2.644
09:59:05.0,0.0,0.0,0.0
09:59:06.0,0.0,2.691,0.0
09:59:07.0,0.0,0.0,0.0
09:59:08.0,0.062,0.0,0.0
09:59:09.0,0.0,0.074,0.0
09:59:10.0,0.058,0.0,0.066
09:59:11.0,0.0,0.07,0.0
09:59:12.0,0.0,0.0,0.0
09:59:13.0,0.0,0.0,0.062
09:59:14.0,0.0,0.0,0.0
09:59:15.0,0.265,0.0,0.0
09:59:16.0,0.0,0.074,0.0
09:59:17.0,0.0,0.0,0.0
09:59:18.0,0.0,0.0,0.0
09:59:19.0,0.0,0.074,0.0
09:59:20.0,0.058,0.0,0.0
09:59:21.0,0.0,0.0,0.0
09:59:22.0,0.0,0.0,0.062
09:59:23.0,0.0,0.0,0.062
09:59:24.0,1.554,0.0,1.574
09:59:25.0,0.078,0.0,0.0
09:59:26.0,0.0,1.617,0.0
09:59:27.0,0.0,0.0,0.0
09:59:28.0,0.0,0.0,0.0
09:59:29.0,0.0,0.074,0.0
09:59:30.0,0.058,0.0,0.066
09:59:31.0,0.0,0.0,0.0
09:59:32.0,0.0,0.0,0.0
09:59:33.0,0.0,0.0,0.062
09:59:34.0,0.0,0.0,0.0
09:59:35.0,0.003,0.0,0.0
09:59:36.0,0.0,0.074,0.0
