Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
14:39:47.0,0.0,0.0,0.0
14:39:48.0,0.082,0.0,0.0
14:39:49.0,0.003,0.0,0.0
14:39:50.0,3.085,0.0,0.0
14:39:51.0,0.0,4.785,0.0
14:39:52.0,0.0,0.0,0.082
14:39:53.0,0.0,0.0,0.003
14:39:54.0,0.0,0.0,0.0
14:39:55.0,29.765,13.566,32.062
14:39:56.0,0.0,16.285,0.0
14:39:57.0,0.0,0.0,0.078
14:39:58.0,0.0,0.0,0.0
14:39:59.0,0.019,0.0,0.0
14:40:00.0,31.996,26.542,32.218
14:40:01.0,0.0,5.132,0.0
14:40:02.0,0.0,0.0,0.0
14:40:03.0,0.0,0.0,0.0
14:40:04.0,0.0,0.0,0.0
14:40:05.0,32.171,0.0,0.015
14:40:06.0,0.0,32.285,32.531
14:40:07.0,0.0,0.0,0.0
14:40:08.0,0.0,0.0,0.078
14:40:09.0,0.0,0.0,0.0
14:40:10.0,30.023,0.0,2.863
14:40:11.0,2.148,32.031,31.605
14:40:12.0,0.0,0.0,0.0
14:40:13.0,0.0,0.0,0.0
14:40:14.0,2.777,0.0,0.0
14:40:15.0,0.0,0.0,0.0
14:40:16.0,31.996,32.101,32.152
14:40:17.0,0.0,0.0,0.0
14:40:18.0,0.0,0.0,0.078
14:40:19.0,0.0,0.0,0.0
14:40:20.0,0.074,0.0,0.0
14:40:21.0,32.164,32.39,32.171
14:40:22.0,18.578,19.835,16.3
14:40:23.0,1.285,0.0,3.585
14:40:24.0,0.066,0.0,0.0
14:40:25.0,0.0,0.0,0.066
14:40:26.0,32.187,32.292,32.175
14:40:27.0,17.871,17.898,17.902
14:40:28.0,4.355,4.343,4.375
14:40:29.0,0.007,0.0,0.0
14:40:30.0,0.078,0.0,0.0
14:40:31.0,31.968,32.941,31.98
