Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
12:06:24.0,0.0,,0.0
12:06:25.0,0.0,0.0,0.0
12:06:26.0,0.0,0.0,0.074
12:06:27.0,0.0,0.082,0.0
12:06:28.0,0.062,0.0,0.0
12:06:29.0,0.0,0.0,0.0
12:06:30.0,0.0,0.0,0.0
12:06:31.0,1.851,0.0,0.07
12:06:32.0,0.074,0.078,0.0
12:06:33.0,0.0,0.0,0.0
12:06:34.0,0.0,0.0,1.625
12:06:35.0,0.0,0.0,0.0
12:06:36.0,0.0,0.0,0.074
12:06:37.0,0.0,0.082,0.0
12:06:38.0,0.058,0.0,0.0
12:06:39.0,0.007,1.675,0.0
12:06:40.0,0.0,0.0,0.0
12:06:41.0,0.0,0.0,0.07
12:06:42.0,0.062,0.093,0.0
12:06:43.0,0.0,0.0,0.0
12:06:44.0,0.0,0.0,0.0
12:06:45.0,0.0,0.0,0.0
12:06:46.0,0.0,0.0,0.07
12:06:47.0,0.062,0.078,0.0
12:06:48.0,0.0,0.0,0.0
12:06:49.0,0.085,0.0,0.0
12:06:50.0,0.0,0.0,0.0
12:06:51.0,0.0,0.0,0.078
12:06:52.0,0.015,0.089,0.0
12:06:53.0,0.0,0.0,0.0
12:06:54.0,0.0,1.175,0.0
12:06:55.0,0.0,0.175,0.0
12:06:56.0,0.0,0.0,0.07
12:06:57.0,0.0,0.085,0.0
12:06:58.0,0.074,0.0,0.0
12:06:59.0,0.003,0.328,0.0
12:07:00.0,0.0,0.0,0.0
12:07:01.0,0.007,0.0,0.074
12:07:02.0,0.085,0.109,0.0
12:07:03.0,0.0,0.0,0.0
12:07:04.0,0.0,0.0,0.007
12:07:05.0,0.0,0.0,0.0
12:07:06.0,1.675,0.0,0.074
12:07:07.0,0.062,0.082,0.0
12:07:08.0,0.0,0.0,0.0
12:07:09.0,0.0,0.0,1.621
12:07:10.0,0.0,0.0,0.0
12:07:11.0,0.003,0.0,0.07
12:07:12.0,0.066,0.082,0.0
12:07:13.0,0.0,0.0,0.0
12:07:14.0,0.0,0.0,0.0
12:07:15.0,0.0,0.0,0.0
12:07:16.0,0.0,0.0,0.07
12:07:17.0,0.062,0.066,0.0
12:07:18.0,0.0,0.0,0.0
12:07:19.0,0.003,0.0,0.085
12:07:20.0,0.0,0.0,0.0
12:07:21.0,3.109,0.0,0.082
12:07:22.0,0.089,0.082,0.0
12:07:23.0,0.0,0.0,0.0
12:07:24.0,0.0,0.007,0.0
12:07:25.0,0.0,0.0,0.0
12:07:26.0,0.0,0.0,0.07
12:07:27.0,0.066,0.085,0.0
12:07:28.0,0.0,0.0,0.0
12:07:29.0,0.003,2.289,0.0
12:07:30.0,0.0,0.0,0.0
12:07:31.0,0.0,0.0,0.07
12:07:32.0,0.066,0.082,0.0
12:07:33.0,0.0,0.0,0.0
12:07:34.0,0.0,0.601,2.773
12:07:35.0,0.0,0.0,0.0
12:07:36.0,0.0,0.0,0.085
12:07:37.0,0.0,0.097,0.0
12:07:38.0,0.062,0.0,0.0
12:07:39.0,0.0,0.0,0.0
12:07:40.0,0.0,0.0,0.0
12:07:41.0,1.699,0.0,0.07
12:07:42.0,0.078,0.082,0.0
12:07:43.0,0.0,0.0,0.0
12:07:44.0,0.0,0.0,0.0
12:07:45.0,0.0,0.0,0.0
12:07:46.0,0.0,0.0,0.07
12:07:47.0,0.062,0.082,0.0
12:07:48.0,0.0,0.0,0.0
12:07:49.0,0.0,1.691,0.0
12:07:50.0,0.0,0.0,0.0
12:07:51.0,0.0,0.0,0.07
12:07:52.0,0.062,0.101,0.0
12:07:53.0,0.0,0.0,0.0
12:07:54.0,0.0,0.0,0.0
12:07:55.0,0.0,0.0,0.0
12:07:56.0,0.0,0.0,0.074
12:07:57.0,0.0,0.082,0.0
12:07:58.0,0.062,0.0,0.0
12:07:59.0,0.0,0.0,0.0
12:08:00.0,0.0,0.0,1.875
12:08:01.0,0.0,0.0,0.093
12:08:02.0,0.062,0.082,0.0
12:08:03.0,0.0,0.0,0.007
12:08:04.0,0.0,0.0,0.0
12:08:05.0,0.0,0.0,0.0
12:08:06.0,0.0,0.0,0.074
12:08:07.0,0.062,0.082,0.0
12:08:08.0,0.0,0.0,0.0
12:08:09.0,0.0,0.0,0.0
12:08:10.0,0.0,0.0,0.0
12:08:11.0,0.007,0.0,0.07
12:08:12.0,0.066,0.082,0.0
12:08:13.0,0.0,0.0,0.093
12:08:14.0,0.0,0.0,0.0
12:08:15.0,0.0,0.0,0.0
12:08:16.0,1.734,0.0,0.015
12:08:17.0,0.0,0.082,0.0
12:08:18.0,0.074,0.0,0.0
12:08:19.0,0.0,0.0,0.0
12:08:20.0,0.0,0.007,0.0
12:08:21.0,0.0,0.0,0.07
12:08:22.0,0.062,0.085,0.0
12:08:23.0,0.0,0.0,0.003
12:08:24.0,0.0,0.0,0.0
12:08:25.0,0.0,4.027,0.0
12:08:26.0,0.0,0.0,0.07
12:08:27.0,0.062,0.097,0.0
12:08:28.0,0.0,0.0,0.0
