Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
13:20:28.0,0.0,,0.0
13:20:29.0,0.136,0.0,0.0
13:20:30.0,1.726,0.07,0.0
13:20:31.0,0.0,0.0,0.0
13:20:32.0,0.0,0.0,0.0
13:20:33.0,0.0,2.195,0.0
13:20:34.0,0.0,0.0,0.078
13:20:35.0,0.074,0.0,1.746
13:20:36.0,0.0,0.078,0.0
13:20:37.0,0.0,0.0,0.078
13:20:38.0,0.0,0.214,0.0
13:20:39.0,0.066,0.0,0.0
13:20:40.0,0.0,0.0,1.046
13:20:41.0,0.0,0.0,0.0
13:20:42.0,0.0,0.179,0.0
13:20:43.0,0.0,0.058,0.0
13:20:44.0,0.0,0.0,0.003
13:20:45.0,0.0,0.0,0.179
13:20:46.0,0.0,0.085,0.0
13:20:47.0,0.0,0.0,0.074
13:20:48.0,0.0,0.007,0.0
13:20:49.0,0.132,0.0,0.0
13:20:50.0,0.0,0.0,0.015
13:20:51.0,0.0,0.429,0.0
13:20:52.0,0.0,0.0,0.0
13:20:53.0,0.0,0.0,0.0
13:20:54.0,0.0,0.0,7.644
13:20:55.0,0.082,0.0,0.0
13:20:56.0,16.214,0.101,0.0
13:20:57.0,0.0,0.0,0.089
13:20:58.0,0.0,0.0,0.0
13:20:59.0,0.085,0.0,0.0
13:21:00.0,15.855,0.0,24.582
13:21:01.0,0.0,32.304,0.0
13:21:02.0,0.0,0.0,0.0
13:21:03.0,0.0,0.0,0.0
13:21:04.0,0.0,0.0,0.0
13:21:05.0,2.933,0.0,0.078
13:21:06.0,0.0,0.085,0.0
13:21:07.0,32.64,0.0,32.199
13:21:08.0,0.0,35.246,0.0
13:21:09.0,0.074,0.0,0.0
13:21:10.0,0.0,0.0,2.785
13:21:11.0,0.0,0.0,0.0
13:21:12.0,0.0,0.0,0.078
13:21:13.0,31.867,0.101,32.191
13:21:14.0,0.0,0.0,0.0
13:21:15.0,0.0,32.113,0.0
13:21:16.0,0.0,0.015,0.0
13:21:17.0,0.0,0.0,0.078
13:21:18.0,0.074,0.082,0.0
13:21:19.0,32.097,0.0,32.027
13:21:20.0,0.0,0.0,0.187
13:21:21.0,0.0,31.964,0.0
13:21:22.0,0.0,0.0,0.0
13:21:23.0,0.0,0.0,0.0
13:21:24.0,0.074,0.0,0.093
