Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
12:54:40.0,0.0,,0.0
12:54:41.0,0.0,0.0,0.0
12:54:42.0,0.0,328.96,58.105
12:54:43.0,0.0,0.191,84.964
12:54:44.0,125.726,0.0,0.0
12:54:45.0,0.0,0.0,0.132
12:54:46.0,0.0,0.0,0.0
12:54:47.0,0.0,0.0,0.0
12:54:48.0,0.0,0.113,0.0
12:54:49.0,0.128,0.0,0.003
12:54:50.0,0.0,0.0,0.082
12:54:51.0,0.0,0.0,0.0
12:54:52.0,0.0,1.859,0.0
12:54:53.0,0.0,0.304,0.0
12:54:54.0,0.113,0.0,0.0
12:54:55.0,0.0,0.0,0.078
12:54:56.0,0.0,0.0,0.0
12:54:57.0,0.0,0.058,0.0
12:54:58.0,0.0,0.125,0.019
12:54:59.0,0.082,0.0,0.0
12:55:00.0,0.0,0.0,0.082
12:55:01.0,0.0,0.0,0.0
12:55:02.0,0.0,0.0,0.0
12:55:03.0,0.0,0.121,2.738
12:55:04.0,124.476,0.0,0.0
12:55:05.0,0.0,0.0,0.117
12:55:06.0,0.0,0.0,0.0
12:55:07.0,0.0,0.0,0.0
12:55:08.0,0.0,0.101,139.753
12:55:09.0,0.039,0.0,14.011
12:55:10.0,0.0,0.0,0.039
12:55:11.0,0.0,0.0,0.0
12:55:12.0,0.0,184.101,0.0
12:55:13.0,0.0,86.093,105.753
12:55:14.0,135.621,0.0,0.0
12:55:15.0,0.0,0.0,18.632
12:55:16.0,6.296,10.867,0.0
12:55:17.0,0.0,0.0,0.0
12:55:18.0,0.0,0.097,0.0
12:55:19.0,0.031,0.0,0.0
12:55:20.0,0.0,0.0,0.082
12:55:21.0,0.0,0.0,0.0
12:55:22.0,0.0,0.0,0.0
12:55:23.0,0.0,0.097,0.0
12:55:24.0,0.187,0.0,0.0
12:55:25.0,1.003,0.0,32.449
12:55:26.0,31.414,32.828,0.144
12:55:27.0,0.128,0.21,0.0
12:55:28.0,0.0,26.292,10.117
12:55:29.0,10.144,1.226,0.0
12:55:30.0,0.0,10.265,0.027
12:55:31.0,8.468,0.132,8.433
12:55:32.0,0.0,0.0,0.0
12:55:33.0,0.0,0.097,10.527
12:55:34.0,102.582,0.0,31.5
12:55:35.0,0.535,32.523,9.82
12:55:36.0,9.949,8.449,0.121
12:55:37.0,0.0,0.0,0.0
12:55:38.0,0.0,0.117,60.984
12:55:39.0,17.882,0.0,0.0
12:55:40.0,0.0,0.0,0.027
12:55:41.0,0.0,10.492,1.277
12:55:42.0,11.156,0.0,42.39
12:55:43.0,32.359,59.718,56.273
12:55:44.0,60.062,0.0,14.316
12:55:45.0,14.378,9.777,0.0
12:55:46.0,0.0,0.132,0.0
12:55:47.0,0.0,0.0,11.703
12:55:48.0,11.66,0.105,16.726
12:55:49.0,1.89,0.0,0.121
12:55:50.0,27.3,11.281,32.16
12:55:51.0,13.726,32.433,0.0
12:55:52.0,0.0,0.0,13.601
12:55:53.0,0.0,11.167,5.816
12:55:54.0,13.632,0.136,0.0
12:55:55.0,0.0,0.0,0.0
12:55:56.0,5.828,14.285,11.832
12:55:57.0,0.0,0.0,0.164
12:55:58.0,0.0,0.136,32.39
12:55:59.0,44.414,11.632,0.0
12:56:00.0,0.175,32.902,15.082
12:56:01.0,0.0,8.914,0.0
12:56:02.0,15.042,0.144,12.453
12:56:03.0,0.0,59.464,0.292
12:56:04.0,60.109,0.117,0.0
12:56:05.0,0.0,0.0,0.0
12:56:06.0,12.679,5.71,14.207
12:56:07.0,0.0,0.128,31.828
12:56:08.0,31.886,0.156,57.042
12:56:09.0,0.246,43.367,1.269
12:56:10.0,14.187,0.132,12.132
12:56:11.0,0.0,0.0,0.0
12:56:12.0,0.0,14.933,0.0
12:56:13.0,13.222,49.507,76.527
12:56:14.0,68.003,12.316,0.0
12:56:15.0,0.0,0.339,0.0
12:56:16.0,31.828,0.0,31.703
12:56:17.0,13.55,14.257,13.554
12:56:18.0,0.0,32.746,0.109
12:56:19.0,0.386,4.277,0.0
12:56:20.0,0.0,9.085,15.007
12:56:21.0,0.0,0.0,0.0
12:56:22.0,0.109,0.0,0.0
12:56:23.0,0.0,13.66,7.566
12:56:24.0,16.187,0.0,0.214
12:56:25.0,0.281,0.265,0.0
12:56:26.0,21.265,13.218,19.511
12:56:27.0,0.0,0.0,0.0
12:56:28.0,15.199,0.105,0.082
12:56:29.0,0.074,0.0,17.671
12:56:30.0,22.898,0.0,15.57
12:56:31.0,8.453,0.0,8.445
12:56:32.0,8.277,34.148,0.0
12:56:33.0,0.0,64.867,0.148
12:56:34.0,12.925,15.203,12.457
12:56:35.0,0.0,0.0,0.121
12:56:36.0,14.003,12.269,0.0
12:56:37.0,0.078,0.0,13.984
12:56:38.0,0.0,11.597,70.21
12:56:39.0,90.82,0.0,0.0
12:56:40.0,11.75,43.683,15.25
12:56:41.0,0.089,2.273,5.398
12:56:42.0,6.093,63.55,0.0
12:56:43.0,0.0,9.058,48.664
12:56:44.0,0.093,0.0,0.0
12:56:45.0,0.867,11.808,10.8
12:56:46.0,10.039,5.179,31.531
12:56:47.0,32.183,0.132,0.0
12:56:48.0,0.0,9.503,1.835
12:56:49.0,77.66,33.144,14.636
12:56:50.0,14.667,0.0,0.164
12:56:51.0,0.0,0.0,0.0
12:56:52.0,0.039,14.937,13.804
12:56:53.0,14.066,0.089,0.23
12:56:54.0,0.339,0.0,32.343
12:56:55.0,32.097,13.902,13.441
12:56:56.0,13.628,30.714,0.109
12:56:57.0,0.136,14.609,0.0
12:56:58.0,0.0,0.175,21.769
12:56:59.0,15.375,0.0,0.0
12:57:00.0,0.167,13.472,0.078
12:57:01.0,0.003,0.175,14.71
12:57:02.0,14.683,0.109,0.0
12:57:03.0,0.136,93.242,0.062
12:57:04.0,0.128,0.0,45.359
12:57:05.0,44.636,44.335,0.0
12:57:06.0,0.0,0.0,14.117
12:57:07.0,14.179,0.0,0.0
12:57:08.0,0.14,24.972,56.503
12:57:09.0,28.816,0.0,0.125
12:57:10.0,49.371,11.871,9.101
12:57:11.0,0.0,0.0,0.0
12:57:12.0,9.339,9.222,31.531
12:57:13.0,30.839,3.265,96.531
12:57:14.0,14.855,45.398,0.0
12:57:15.0,0.16,0.16,0.0
12:57:16.0,0.0,0.0,12.898
12:57:17.0,12.617,12.664,0.0
12:57:18.0,0.132,78.167,0.179
12:57:19.0,22.808,3.082,12.148
12:57:20.0,71.617,12.167,5.207
12:57:21.0,5.238,0.597,31.859
12:57:22.0,31.812,36.73,0.0
12:57:23.0,0.0,0.105,13.671
12:57:24.0,15.558,10.656,0.117
12:57:25.0,5.5,0.128,0.0
12:57:26.0,0.0,0.0,13.621
12:57:27.0,13.597,13.488,34.222
12:57:28.0,0.039,0.207,4.003
12:57:29.0,0.39,0.0,13.492
12:57:30.0,13.613,13.375,33.46
12:57:31.0,32.703,32.093,0.0
12:57:32.0,0.035,0.097,14.632
12:57:33.0,14.613,86.144,10.089
12:57:34.0,0.0,0.0,11.761
12:57:35.0,14.632,11.816,0.125
12:57:36.0,0.152,0.14,0.0
12:57:37.0,0.0,0.0,16.699
12:57:38.0,16.527,16.898,30.003
12:57:39.0,0.199,0.0,0.546
12:57:40.0,114.046,32.699,13.859
12:57:41.0,13.808,13.976,0.074
12:57:42.0,0.167,0.105,2.285
12:57:43.0,0.0,21.625,64.417
12:57:44.0,12.722,0.121,28.992
12:57:45.0,0.109,0.0,12.042
12:57:46.0,11.988,11.917,0.0
12:57:47.0,0.0,0.0,19.378
12:57:48.0,9.339,12.664,23.57
12:57:49.0,31.808,31.488,14.171
12:57:50.0,112.785,25.554,11.636
12:57:51.0,23.148,16.875,16.863
12:57:52.0,16.21,10.859,86.714
12:57:53.0,26.328,81.109,17.546
12:57:54.0,0.0,0.0,0.0
12:57:55.0,10.679,0.0,0.0
12:57:56.0,0.0,0.0,0.0
12:57:57.0,0.0,0.0,1.785
12:57:58.0,0.121,0.218,2.164
12:57:59.0,0.007,1.175,0.0
12:58:00.0,0.32,0.0,0.042
