Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
09:37:21.0,0.0,,0.0
09:37:22.0,0.0,0.0,0.0
09:37:23.0,0.074,0.0,0.085
09:37:24.0,0.0,0.082,0.0
09:37:25.0,1.613,0.0,0.0
09:37:26.0,0.0,1.757,0.0
09:37:27.0,0.0,0.0,0.07
09:37:28.0,0.074,0.0,0.0
09:37:29.0,0.0,0.0,0.0
09:37:30.0,0.05,0.0,0.0
09:37:31.0,0.0,0.082,0.0
09:37:32.0,0.0,0.0,0.0
09:37:33.0,0.074,0.0,2.769
09:37:34.0,0.0,0.078,0.0
09:37:35.0,237.664,0.0,0.0
09:37:36.0,0.0,0.0,0.0
09:37:37.0,0.0,0.0,0.144
09:37:38.0,0.101,0.0,0.0
09:37:39.0,0.0,0.457,0.0
09:37:40.0,0.0,0.0,0.0
09:37:41.0,0.0,0.0,0.0
09:37:42.0,5.871,0.0,0.0
09:37:43.0,0.023,0.0,0.082
09:37:44.0,0.0,0.085,0.0
09:37:45.0,0.042,0.0,0.0
09:37:46.0,0.0,0.0,19.242
09:37:47.0,0.0,0.0,0.078
09:37:48.0,0.085,0.0,0.0
09:37:49.0,0.0,23.484,0.0
09:37:50.0,26.433,2.371,12.664
09:37:51.0,0.0,5.851,0.0
09:37:52.0,0.0,0.0,0.0
09:37:53.0,0.039,0.0,0.0
09:37:54.0,0.0,0.085,0.0
09:37:55.0,0.007,0.0,0.078
09:37:56.0,0.0,0.007,0.0
09:37:57.0,0.0,0.0,0.078
09:37:58.0,0.078,0.0,0.0
09:37:59.0,0.0,0.089,9.91
09:38:00.0,34.91,0.0,22.542
09:38:01.0,0.113,35.968,0.0
09:38:02.0,0.0,0.0,10.078
09:38:03.0,0.031,0.179,8.3
09:38:04.0,9.976,0.023,0.121
09:38:05.0,91.867,0.0,10.437
09:38:06.0,8.496,0.128,0.0
09:38:07.0,0.0,0.0,9.875
09:38:08.0,0.0,0.0,34.109
09:38:09.0,42.863,10.41,11.23
09:38:10.0,0.0,31.433,11.046
09:38:11.0,0.0,0.41,0.0
09:38:12.0,9.894,0.0,0.117
09:38:13.0,0.035,0.0,14.406
09:38:14.0,11.269,0.093,0.0
09:38:15.0,0.16,0.0,11.449
09:38:16.0,11.914,8.285,32.226
09:38:17.0,31.234,31.687,9.058
09:38:18.0,0.0,0.0,0.0
09:38:19.0,0.0,0.0,13.382
09:38:20.0,14.433,10.531,0.117
09:38:21.0,0.0,0.0,5.757
09:38:22.0,0.0,0.0,0.0
09:38:23.0,11.617,9.914,31.261
09:38:24.0,31.945,0.144,12.515
09:38:25.0,9.304,11.015,0.101
09:38:26.0,0.0,32.593,0.003
09:38:27.0,0.0,0.0,15.175
09:38:28.0,13.585,11.144,0.0
09:38:29.0,0.0,0.117,0.0
09:38:30.0,5.863,14.125,12.398
09:38:31.0,0.0,0.117,0.117
09:38:32.0,0.0,11.48,31.957
09:38:33.0,32.265,0.199,14.207
09:38:34.0,11.789,41.91,0.0
09:38:35.0,64.445,0.0,13.222
09:38:36.0,0.0,15.183,0.214
09:38:37.0,0.0,0.0,0.093
09:38:38.0,15.019,14.832,0.109
09:38:39.0,0.0,30.792,13.531
09:38:40.0,5.457,0.152,32.371
09:38:41.0,32.222,12.234,0.0
09:38:42.0,12.566,31.816,0.0
09:38:43.0,0.027,0.0,16.609
09:38:44.0,0.0,6.214,0.0
09:38:45.0,51.144,8.882,0.0
09:38:46.0,0.167,0.117,15.07
09:38:47.0,0.0,12.464,0.097
09:38:48.0,13.218,0.183,0.277
09:38:49.0,32.031,13.265,0.0
09:38:50.0,7.359,32.484,0.0
09:38:51.0,14.05,0.07,0.0
09:38:52.0,0.0,13.195,31.82
09:38:53.0,1.332,0.203,12.105
09:38:54.0,0.0,1.898,0.191
09:38:55.0,0.214,13.402,8.226
09:38:56.0,0.0,0.148,0.128
09:38:57.0,0.0,0.0,41.8
09:38:58.0,0.125,0.0,13.332
09:38:59.0,17.214,13.535,0.0
09:39:00.0,13.55,29.492,32.511
09:39:01.0,0.078,2.14,14.074
09:39:02.0,14.75,15.089,0.0
09:39:03.0,6.332,0.175,11.933
09:39:04.0,14.988,5.035,0.0
09:39:05.0,35.796,0.0,5.289
09:39:06.0,4.679,0.109,39.16
09:39:07.0,7.687,0.0,3.996
09:39:08.0,8.21,0.0,10.917
09:39:09.0,0.167,0.0,0.0
09:39:10.0,2.8,12.328,32.503
09:39:11.0,12.507,21.375,0.0
09:39:12.0,31.667,8.378,14.863
09:39:13.0,5.738,0.0,0.093
09:39:14.0,10.328,13.039,0.0
09:39:15.0,8.167,15.0,14.046
09:39:16.0,0.0,37.707,0.0
09:39:17.0,11.816,14.046,20.57
09:39:18.0,0.0,0.0,2.039
09:39:19.0,5.339,11.808,31.394
09:39:20.0,0.046,0.0,13.207
09:39:21.0,43.425,5.39,0.164
09:39:22.0,0.136,32.175,14.57
09:39:23.0,0.054,10.816,33.136
09:39:24.0,14.765,0.167,0.0
09:39:25.0,38.21,0.0,11.664
09:39:26.0,11.882,14.937,0.14
