Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
17:31:42.0,0.0,,0.0
17:31:43.0,0.062,0.0,0.0
17:31:44.0,0.261,0.0,0.0
17:31:45.0,0.0,0.0,0.0
17:31:46.0,0.0,0.519,0.0
17:31:47.0,0.0,87.332,0.074
17:31:48.0,0.0,0.0,0.015
17:31:49.0,2.828,0.0,0.0
17:31:50.0,0.0,0.0,0.078
17:31:51.0,6.097,0.312,5.98
17:31:52.0,0.0,4.488,0.0
17:31:53.0,0.0,0.0,0.0
17:31:54.0,0.0,0.0,0.0
17:31:55.0,0.0,0.0,0.0
17:31:56.0,32.457,28.609,32.457
17:31:57.0,0.015,2.769,0.175
17:31:58.0,25.832,0.0,25.804
17:31:59.0,0.0,0.0,0.0
17:32:00.0,0.0,0.0,0.019
17:32:01.0,32.246,0.082,0.0
17:32:02.0,0.0,32.136,32.066
17:32:03.0,0.0,0.0,2.597
17:32:04.0,0.0,0.0,0.0
17:32:05.0,0.0,0.0,0.164
17:32:06.0,63.414,0.097,31.195
17:32:07.0,0.015,118.707,32.054
17:32:08.0,0.0,69.273,0.0
17:32:09.0,0.0,0.0,0.0
17:32:10.0,0.0,0.0,51.589
17:32:11.0,83.554,0.0,0.0
17:32:12.0,0.0,31.847,32.808
17:32:13.0,0.0,0.0,0.0
17:32:14.0,0.0,0.0,0.109
17:32:15.0,27.593,0.0,27.351
17:32:16.0,18.578,0.164,0.0
17:32:17.0,13.566,32.058,31.5
17:32:18.0,0.0,0.0,0.257
17:32:19.0,0.007,0.0,0.0
17:32:20.0,0.0,0.0,0.019
17:32:21.0,0.0,0.375,0.0
17:32:22.0,32.062,32.109,32.261
17:32:23.0,23.246,17.367,27.492
17:32:24.0,6.238,3.753,0.0
17:32:25.0,0.0,0.0,0.0
17:32:26.0,0.0,0.015,0.0
17:32:27.0,32.156,32.25,66.117
17:32:28.0,34.074,0.0,0.031
17:32:29.0,0.062,22.996,0.0
17:32:30.0,0.0,0.0,0.039
17:32:31.0,0.0,1.671,0.113
17:32:32.0,61.289,32.125,67.484
17:32:33.0,6.445,0.0,0.132
17:32:34.0,0.0,0.0,0.0
17:32:35.0,0.0,59.39,0.0
17:32:36.0,0.0,25.265,0.0
17:32:37.0,31.921,31.867,32.152
17:32:38.0,0.0,0.0,1.574
17:32:39.0,0.035,0.0,0.0
17:32:40.0,0.0,0.0,0.031
17:32:41.0,0.0,60.601,0.121
17:32:42.0,32.253,31.082,59.191
17:32:43.0,27.195,14.32,0.171
17:32:44.0,0.171,13.91,105.558
17:32:45.0,105.812,0.0,0.0
17:32:46.0,0.0,0.019,0.0
17:32:47.0,32.328,1.0,20.078
17:32:48.0,0.0,86.011,12.16
17:32:49.0,0.062,0.0,0.0
17:32:50.0,0.183,0.0,24.324
17:32:51.0,30.269,24.757,6.023
17:32:52.0,32.578,5.929,0.0
17:32:53.0,0.0,32.378,32.554
17:32:54.0,0.011,0.0,0.0
17:32:55.0,0.0,0.0,0.0
17:32:56.0,0.0,55.46,0.0
17:32:57.0,31.421,0.0,0.0
17:32:58.0,0.0,32.199,32.289
17:32:59.0,3.503,0.0,22.164
17:33:00.0,22.167,25.773,5.496
17:33:01.0,5.339,4.593,3.0
17:33:02.0,119.726,0.0,84.468
17:33:03.0,0.0,31.832,32.066
17:33:04.0,0.042,0.0,0.0
17:33:05.0,0.0,0.0,0.0
17:33:06.0,0.0,3.132,0.0
17:33:07.0,0.093,0.0,0.171
17:33:08.0,58.511,32.226,64.281
17:33:09.0,6.132,0.0,0.0
17:33:10.0,0.0,26.078,0.062
17:33:11.0,0.0,5.753,0.0
17:33:12.0,0.0,90.265,0.0
17:33:13.0,125.519,32.042,128.421
17:33:14.0,0.054,0.0,0.0
17:33:15.0,0.0,0.0,0.0
17:33:16.0,0.0,0.078,0.117
17:33:17.0,24.753,0.0,30.066
17:33:18.0,37.535,32.199,32.296
17:33:19.0,0.117,24.683,0.0
17:33:20.0,0.0,5.914,0.019
17:33:21.0,0.0,0.222,0.0
17:33:22.0,0.0,0.0,62.195
17:33:23.0,94.253,32.113,32.082
17:33:24.0,0.222,0.0,0.0
17:33:25.0,0.128,0.0,27.73
17:33:26.0,27.64,0.21,0.003
17:33:27.0,0.07,0.0,0.0
17:33:28.0,32.421,56.253,32.347
17:33:29.0,0.0,6.027,0.0
17:33:30.0,0.0,0.0,0.015
17:33:31.0,0.0,0.304,0.0
17:33:32.0,0.0,0.0,0.0
17:33:33.0,31.902,31.773,32.394
17:33:34.0,3.339,0.46,21.98
17:33:35.0,27.125,0.0,5.308
17:33:36.0,0.203,0.062,0.0
17:33:37.0,0.019,0.109,0.0
17:33:38.0,31.91,27.972,0.046
17:33:39.0,0.078,32.066,32.16
17:33:40.0,0.0,0.0,0.019
17:33:41.0,0.0,2.843,0.0
17:33:42.0,0.0,0.0,0.187
17:33:43.0,56.558,0.0,30.449
17:33:44.0,6.238,32.171,32.277
17:33:45.0,0.0,0.0,0.0
17:33:46.0,0.0,28.269,88.863
17:33:47.0,89.054,0.0,0.0
17:33:48.0,31.796,0.0,2.632
17:33:49.0,0.039,32.187,32.187
17:33:50.0,0.0,0.0,66.683
17:33:51.0,66.832,0.074,0.117
17:33:52.0,25.824,0.0,31.976
17:33:53.0,36.378,0.0,0.222
17:33:54.0,2.285,56.66,32.089
17:33:55.0,0.0,5.386,0.0
17:33:56.0,0.0,0.023,0.0
17:33:57.0,0.031,0.0,67.23
17:33:58.0,29.5,0.0,0.382
17:33:59.0,69.894,32.191,31.996
17:34:00.0,0.0,0.0,0.015
17:34:01.0,0.14,0.05,30.21
17:34:02.0,30.175,0.117,0.0
17:34:03.0,0.0,27.585,0.0
17:34:04.0,33.585,31.953,32.375
17:34:05.0,0.0,0.0,0.0
17:34:06.0,0.0,16.0,0.0
17:34:07.0,0.031,123.742,0.0
17:34:08.0,0.0,0.0,0.117
17:34:09.0,33.882,32.464,31.882
17:34:10.0,0.125,0.0,32.066
17:34:11.0,32.128,0.25,0.0
17:34:12.0,0.0,25.878,0.0
17:34:13.0,0.0,6.308,0.039
17:34:14.0,32.238,31.953,32.14
17:34:15.0,0.0,0.0,0.0
17:34:16.0,0.0,38.871,0.0
17:34:17.0,0.039,3.199,0.0
17:34:18.0,0.0,0.0,0.265
17:34:19.0,32.312,32.164,56.218
17:34:20.0,23.882,0.0,0.019
17:34:21.0,0.0,0.132,0.0
17:34:22.0,0.0,30.566,0.0
17:34:23.0,0.0,0.0,100.804
17:34:24.0,129.367,0.0,6.503
17:34:25.0,0.0,32.121,25.632
17:34:26.0,0.0,0.0,0.125
17:34:27.0,0.156,0.046,26.941
17:34:28.0,26.953,0.0,0.222
17:34:29.0,32.605,0.0,0.0
17:34:30.0,0.0,32.296,31.992
17:34:31.0,0.0,27.05,0.0
17:34:32.0,0.0,0.0,0.0
17:34:33.0,0.0,0.0,0.285
17:34:34.0,32.023,0.0,0.179
17:34:35.0,0.117,32.105,62.312
17:34:36.0,30.316,0.0,0.0
17:34:37.0,0.023,0.05,0.0
17:34:38.0,87.101,0.187,130.632
17:34:39.0,37.648,30.308,19.96
17:34:40.0,59.171,32.082,32.265
17:34:41.0,0.0,0.0,0.0
17:34:42.0,0.0,240.972,0.0
17:34:43.0,0.0,0.0,0.105
17:34:44.0,6.792,0.0,25.953
17:34:45.0,59.644,32.488,38.054
17:34:46.0,0.0,0.0,0.0
17:34:47.0,0.05,0.417,0.0
17:34:48.0,0.0,31.585,0.007
17:34:49.0,0.023,0.0,0.0
17:34:50.0,0.0,31.843,0.093
17:34:51.0,0.0,0.0,0.0
17:34:52.0,0.078,60.601,0.0
17:34:53.0,0.0,24.32,0.328
17:34:54.0,3.632,0.0,0.0
17:34:55.0,27.878,0.0,31.636
17:34:56.0,0.0,0.0,0.0
17:34:57.0,0.011,0.027,0.0
17:34:58.0,0.0,0.0,1.554
