Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
16:55:14.0,,0.0,0.0
16:55:15.0,0.0,,
16:55:16.0,0.14,0.003,0.085
16:55:17.0,0.0,0.093,0.0
16:55:18.0,0.0,0.0,0.0
16:55:19.0,0.0,0.023,0.144
16:55:20.0,0.07,0.0,0.0
16:55:21.0,131.437,0.05,0.093
16:55:22.0,0.0,0.0,0.0
16:55:23.0,0.0,0.0,0.0
16:55:24.0,0.0,0.105,0.003
16:55:25.0,0.101,0.0,0.003
16:55:26.0,0.0,0.0,0.078
16:55:27.0,0.0,0.0,0.0
16:55:28.0,0.0,0.0,0.0
16:55:29.0,0.0,0.093,126.464
16:55:30.0,0.078,0.0,0.0
16:55:31.0,126.574,146.121,0.121
16:55:32.0,0.0,106.058,0.0
16:55:33.0,0.0,0.0,0.0
16:55:34.0,0.0,0.0,130.421
16:55:35.0,0.109,0.0,4.777
16:55:36.0,8.425,0.0,0.035
16:55:37.0,0.0,0.117,0.0
16:55:38.0,0.0,0.0,0.0
16:55:39.0,8.828,0.027,0.0
16:55:40.0,0.035,0.0,0.0
16:55:41.0,2.578,0.0,0.082
16:55:42.0,0.0,28.027,0.0
16:55:43.0,0.0,0.0,0.0
16:55:44.0,14.8,0.0,27.273
16:55:45.0,0.0,6.902,0.0
16:55:46.0,0.0,0.0,0.023
16:55:47.0,0.0,0.0,0.0
16:55:48.0,0.0,0.0,0.0
16:55:49.0,0.089,0.093,0.0
16:55:50.0,0.023,0.0,0.0
16:55:51.0,72.644,0.0,0.082
16:55:52.0,0.0,0.007,0.0
16:55:53.0,0.0,0.0,0.0
16:55:54.0,32.382,2.105,32.667
16:55:55.0,0.0,30.335,0.0
16:55:56.0,0.0,0.0,0.023
16:55:57.0,0.0,0.07,0.0
16:55:58.0,0.0,0.0,0.0
16:55:59.0,0.066,0.109,43.023
16:56:00.0,0.019,0.0,0.0
