Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
16:25:15.0,0.0,0.0,0.0
16:25:16.0,0.0,0.082,0.0
16:25:17.0,0.0,0.074,0.156
16:25:18.0,0.058,0.0,0.0
16:25:19.0,0.0,0.0,0.0
16:25:20.0,0.0,0.0,0.0
16:25:21.0,0.058,0.0,0.0
16:25:22.0,0.0,0.0,0.0
16:25:23.0,0.0,0.0,0.0
16:25:24.0,0.0,1.675,0.0
16:25:25.0,1.71,0.0,0.0
16:25:26.0,0.0,0.078,0.0
16:25:27.0,0.07,0.074,0.132
16:25:28.0,0.0,0.0,0.0
16:25:29.0,0.0,0.0,0.0
16:25:30.0,0.0,0.0,0.0
16:25:31.0,0.058,0.0,0.0
16:25:32.0,0.0,0.101,0.238
16:25:33.0,0.0,0.0,0.0
16:25:34.0,0.0,0.0,0.0
16:25:35.0,0.0,0.0,0.0
16:25:36.0,9.285,0.0,0.0
16:25:37.0,0.0,0.097,0.089
16:25:38.0,0.0,0.0,0.0
16:25:39.0,0.0,0.0,0.0
16:25:40.0,0.0,0.0,0.0
16:25:41.0,0.085,0.0,0.0
16:25:42.0,0.0,23.816,25.457
16:25:43.0,0.0,0.0,0.0
16:25:44.0,23.019,8.132,6.445
16:25:45.0,0.0,0.0,0.015
16:25:46.0,0.0,0.0,0.0
16:25:47.0,0.0,0.082,0.0
16:25:48.0,0.0,0.0,0.078
16:25:49.0,0.082,0.0,0.0
16:25:50.0,0.0,0.0,1.703
16:25:51.0,0.015,0.0,0.0
16:25:52.0,0.0,0.082,0.0
16:25:53.0,0.0,0.0,0.085
16:25:54.0,32.488,32.511,32.273
16:25:55.0,0.042,0.0,0.0
16:25:56.0,0.07,0.117,0.117
16:25:57.0,0.0,0.089,0.0
16:25:58.0,0.0,0.0,0.082
16:25:59.0,0.0,1.703,0.0
16:26:00.0,0.0,0.0,0.0
16:26:01.0,1.75,0.0,0.0
16:26:02.0,0.0,0.089,0.0
16:26:03.0,32.117,0.0,8.878
16:26:04.0,0.0,32.417,32.058
16:26:05.0,8.882,0.0,0.0
16:26:06.0,0.089,0.0,0.0
16:26:07.0,0.0,0.109,0.0
16:26:08.0,0.0,8.785,8.359
16:26:09.0,0.0,0.121,0.105
16:26:10.0,0.082,0.0,0.0
16:26:11.0,8.332,0.0,0.0
16:26:12.0,32.351,13.746,0.0
16:26:13.0,0.0,18.054,32.394
16:26:14.0,0.0,0.0,0.0
16:26:15.0,0.0,0.0,11.796
16:26:16.0,0.0,8.445,0.0
16:26:17.0,11.675,0.023,0.0
16:26:18.0,0.117,11.699,0.078
16:26:19.0,0.0,0.0,0.0
16:26:20.0,9.875,9.691,9.835
16:26:21.0,0.289,0.207,0.0
16:26:22.0,43.289,42.695,0.0
16:26:23.0,0.121,0.683,43.585
16:26:24.0,0.0,0.007,0.0
16:26:25.0,11.187,11.035,2.953
16:26:26.0,0.019,0.117,11.05
16:26:27.0,14.234,0.089,0.117
16:26:28.0,0.0,14.183,14.285
16:26:29.0,0.0,0.011,0.0
16:26:30.0,11.621,11.566,11.558
16:26:31.0,32.109,9.488,0.0
16:26:32.0,8.96,31.511,41.101
16:26:33.0,0.0,0.117,0.0
