Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
15:23:56.0,,0.0,0.0
15:23:57.0,0.0,,
15:23:58.0,0.0,0.707,0.0
15:23:59.0,0.0,0.0,0.0
15:24:00.0,0.0,0.003,0.0
15:24:01.0,1.597,0.0,1.636
15:24:02.0,0.0,0.113,0.097
15:24:03.0,0.078,0.214,0.007
15:24:04.0,0.0,0.0,0.0
15:24:05.0,0.0,0.0,0.0
15:24:06.0,0.164,0.0,0.0
15:24:07.0,22.835,0.164,0.089
15:24:08.0,0.0,0.23,0.0
15:24:09.0,0.0,0.0,0.0
15:24:10.0,25.273,21.113,25.148
15:24:11.0,0.0,11.222,0.0
15:24:12.0,33.093,0.0,0.0
15:24:13.0,0.0,12.484,0.0
15:24:14.0,0.16,0.156,27.265
15:24:15.0,59.253,0.0,32.207
15:24:16.0,0.0,19.828,0.0
15:24:17.0,0.015,0.0,0.074
15:24:18.0,0.0,0.0,0.0
15:24:19.0,0.0,0.0,0.0
15:24:20.0,32.078,0.0,32.152
15:24:21.0,0.0,31.785,0.0
15:24:22.0,0.109,0.503,24.683
15:24:23.0,30.664,3.039,6.109
15:24:24.0,0.0,0.113,0.0
15:24:25.0,32.148,0.0,31.507
15:24:26.0,0.0,2.0,0.632
15:24:27.0,0.019,30.054,0.078
15:24:28.0,0.0,0.007,0.0
15:24:29.0,0.0,0.0,0.0
15:24:30.0,32.152,0.0,0.0
15:24:31.0,0.132,0.0,32.089
15:24:32.0,28.976,32.144,35.351
15:24:33.0,6.351,0.203,0.0
15:24:34.0,0.0,0.082,58.5
15:24:35.0,127.871,0.0,37.0
15:24:36.0,2.898,0.0,35.066
15:24:37.0,0.019,32.257,0.093
15:24:38.0,0.0,20.031,0.0
15:24:39.0,0.0,0.0,63.132
15:24:40.0,31.351,0.0,0.039
15:24:41.0,63.945,0.0,32.41
15:24:42.0,27.691,32.238,31.738
15:24:43.0,4.238,17.25,0.0
15:24:44.0,0.0,4.343,0.0
15:24:45.0,0.0,0.0,0.0
15:24:46.0,32.656,0.0,31.984
15:24:47.0,0.042,32.062,0.109
15:24:48.0,0.0,0.011,64.441
15:24:49.0,64.558,73.003,0.0
15:24:50.0,0.0,20.519,0.0
15:24:51.0,32.207,5.039,60.265
15:24:52.0,28.101,32.136,0.0
15:24:53.0,0.0,0.0,0.0
15:24:54.0,0.0,0.027,0.0
15:24:55.0,0.0,0.0,0.0
15:24:56.0,32.042,0.0,32.054
15:24:57.0,0.027,54.042,0.089
15:24:58.0,0.0,6.921,0.0
15:24:59.0,2.769,0.0,23.859
15:25:00.0,21.136,0.0,0.0
15:25:01.0,32.14,140.648,32.23
15:25:02.0,0.0,32.312,0.0
15:25:03.0,0.0,0.0,0.0
15:25:04.0,0.0,0.027,0.0
15:25:05.0,0.0,25.57,0.0
15:25:06.0,31.988,6.484,32.355
15:25:07.0,22.593,31.957,28.23
15:25:08.0,5.781,0.382,0.0
15:25:09.0,0.0,0.0,0.0
15:25:10.0,0.0,0.0,0.0
15:25:11.0,34.183,0.0,34.312
15:25:12.0,0.0,32.195,0.0
15:25:13.0,0.0,65.453,0.0
15:25:14.0,0.0,0.167,0.0
15:25:15.0,0.148,30.562,24.558
15:25:16.0,63.183,0.0,38.671
15:25:17.0,0.023,31.75,0.082
15:25:18.0,85.742,0.839,85.859
15:25:19.0,0.222,0.0,0.0
15:25:20.0,0.0,0.0,0.0
15:25:21.0,32.367,0.0,32.269
15:25:22.0,0.0,102.363,65.839
15:25:23.0,0.0,20.031,0.0
15:25:24.0,65.859,0.183,0.101
15:25:25.0,28.253,30.359,34.136
15:25:26.0,38.101,0.0,23.082
15:25:27.0,0.015,0.0,9.093
15:25:28.0,0.0,32.292,0.0
15:25:29.0,0.0,0.0,0.0
15:25:30.0,0.0,0.0,0.0
15:25:31.0,32.308,0.0,0.046
15:25:32.0,0.0,0.0,32.261
15:25:33.0,0.0,58.222,0.0
15:25:34.0,0.0,6.039,0.179
15:25:35.0,31.48,0.0,31.261
15:25:36.0,31.917,0.0,0.007
15:25:37.0,0.015,0.0,31.984
15:25:38.0,0.0,32.222,0.0
15:25:39.0,0.0,0.0,0.0
15:25:40.0,0.0,0.0,0.0
15:25:41.0,0.027,0.0,0.027
15:25:42.0,32.253,25.226,32.417
15:25:43.0,0.0,103.296,0.175
15:25:44.0,23.339,48.066,28.707
15:25:45.0,5.523,0.0,0.0
15:25:46.0,3.007,0.0,3.121
15:25:47.0,32.019,0.0,31.863
15:25:48.0,0.0,32.191,0.0
15:25:49.0,0.0,0.0,0.0
15:25:50.0,0.0,0.0,0.0
15:25:51.0,0.093,0.796,0.07
15:25:52.0,40.363,27.91,56.289
15:25:53.0,15.914,55.66,0.0
15:25:54.0,0.0,95.414,0.0
15:25:55.0,0.0,0.0,0.0
15:25:56.0,87.753,0.0,87.582
15:25:57.0,32.109,0.0,32.187
15:25:58.0,0.0,32.187,0.0
15:25:59.0,0.0,0.261,0.109
15:26:00.0,0.171,29.472,28.046
15:26:01.0,28.035,0.0,0.007
15:26:02.0,32.371,0.0,32.035
15:26:03.0,0.0,32.113,0.0
15:26:04.0,0.0,0.058,0.0
15:26:05.0,0.0,0.0,0.0
15:26:06.0,0.054,0.0,0.054
