Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
16:20:22.0,0.0,0.0,0.0
16:20:23.0,0.0,0.0,0.0
16:20:24.0,0.0,0.0,0.0
16:20:25.0,0.0,0.0,0.0
16:20:26.0,0.0,0.078,0.0
16:20:27.0,0.0,0.0,0.07
16:20:28.0,0.058,0.0,0.0
16:20:29.0,0.0,0.0,2.691
16:20:30.0,0.0,0.0,0.07
16:20:31.0,0.054,0.078,0.0
16:20:32.0,0.0,0.0,0.0
16:20:33.0,0.0,2.753,0.0
16:20:34.0,0.0,0.0,0.0
16:20:35.0,0.0,0.0,0.0
16:20:36.0,0.0,0.097,0.0
16:20:37.0,0.0,0.0,0.066
16:20:38.0,0.054,0.0,0.0
16:20:39.0,0.0,0.0,0.0
16:20:40.0,0.0,0.0,0.066
16:20:41.0,0.058,0.089,0.0
16:20:42.0,0.0,0.0,0.0
16:20:43.0,0.0,0.0,0.0
16:20:44.0,0.0,0.0,0.0
16:20:45.0,0.015,0.0,0.0
16:20:46.0,0.0,0.078,0.07
16:20:47.0,0.0,0.0,0.0
16:20:48.0,0.062,0.0,0.0
16:20:49.0,0.0,0.0,0.0
16:20:50.0,2.574,0.0,0.07
16:20:51.0,0.058,0.078,0.0
16:20:52.0,0.0,0.0,0.0
16:20:53.0,0.0,0.0,0.0
16:20:54.0,0.0,0.0,0.0
16:20:55.0,0.0,0.0,0.0
16:20:56.0,0.0,0.082,0.0
16:20:57.0,0.058,0.0,0.07
16:20:58.0,0.0,0.0,0.0
16:20:59.0,0.0,0.0,0.007
16:21:00.0,0.0,0.0,0.074
16:21:01.0,0.058,0.074,0.0
16:21:02.0,0.0,0.0,0.0
16:21:03.0,0.0,0.007,0.0
16:21:04.0,0.0,0.0,1.57
16:21:05.0,0.0,0.0,0.07
16:21:06.0,0.0,0.082,0.0
16:21:07.0,0.058,0.0,0.0
16:21:08.0,0.0,1.738,0.0
16:21:09.0,0.0,0.0,0.0
16:21:10.0,1.554,0.0,0.07
16:21:11.0,0.074,0.109,0.0
16:21:12.0,0.0,0.0,0.0
16:21:13.0,0.0,0.007,0.0
16:21:14.0,0.0,0.0,0.046
16:21:15.0,0.0,0.0,0.093
16:21:16.0,0.0,0.078,0.0
16:21:17.0,0.058,0.0,0.0
16:21:18.0,0.0,0.0,0.0
16:21:19.0,0.0,0.0,0.0
16:21:20.0,0.0,0.0,0.07
16:21:21.0,0.058,0.097,0.0
16:21:22.0,0.0,0.0,0.0
16:21:23.0,0.0,0.0,0.0
16:21:24.0,0.0,0.0,1.621
16:21:25.0,0.0,0.0,0.0
16:21:26.0,0.0,0.0,0.101
16:21:27.0,0.058,0.078,0.0
16:21:28.0,0.0,0.0,0.0
16:21:29.0,0.0,0.0,0.0
16:21:30.0,0.0,0.0,0.07
16:21:31.0,0.058,0.078,0.0
16:21:32.0,0.0,0.0,0.0
16:21:33.0,0.0,0.007,0.0
