Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
09:45:39.0,0.0,0.0,0.0
09:45:40.0,0.774,1.172,1.643
09:45:41.0,1.225,3.429,0.75
09:45:42.0,1.244,1.05,3.382
09:45:43.0,2.967,0.791,1.634
09:45:44.0,1.635,1.197,0.79
09:45:45.0,1.191,1.172,0.816
09:45:46.0,1.223,3.049,1.642
09:45:47.0,4.188,1.141,4.026
09:45:48.0,3.387,1.156,1.214
09:45:49.0,1.191,1.172,0.816
09:45:50.0,1.203,1.156,1.214
09:45:51.0,1.225,3.049,1.641
09:45:52.0,1.178,1.284,3.009
09:45:53.0,2.943,1.156,1.213
09:45:54.0,1.203,1.538,0.797
09:45:55.0,1.631,1.156,1.214
09:45:56.0,1.202,2.655,1.642
09:45:57.0,0.75,0.654,3.375
09:45:58.0,3.545,1.538,0.75
09:45:59.0,1.63,1.156,1.214
09:46:00.0,1.202,0.778,1.641
09:46:01.0,1.607,2.518,1.208
09:46:02.0,201.173,68.46,50.63
09:46:03.0,669.864,868.385,925.92
09:46:04.0,811.169,1596.497,1433.474
09:46:05.0,621.682,2064.936,1434.416
09:46:06.0,802.511,1691.55,666.388
09:46:07.0,1216.013,1307.343,610.096
09:46:08.0,1703.13,2069.869,1142.816
09:46:09.0,1090.253,860.501,2135.833
09:46:10.0,744.332,792.954,1597.053
09:46:11.0,1015.191,1182.982,909.683
09:46:12.0,1382.578,866.565,1822.341
09:46:13.0,1783.104,1639.583,1630.09
09:46:14.0,1211.464,1049.548,1042.56
09:46:15.0,1940.199,1568.431,3510.492
09:46:16.0,1924.041,1023.562,2332.978
09:46:17.0,1055.147,1447.566,934.089
09:46:18.0,1711.4,1666.956,2364.982
09:46:19.0,2228.881,1255.208,1980.029
09:46:20.0,1828.648,1937.577,1071.647
09:46:21.0,1868.226,1572.415,2082.91
09:46:22.0,2213.543,1979.602,2012.893
09:46:23.0,1207.127,1824.294,1718.487
