Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
08:55:28.0,0.0,,0.0
08:55:29.0,2.514,0.0,0.797
08:55:30.0,1.642,1.126,1.213
08:55:31.0,1.608,0.791,3.555
08:55:32.0,1.236,2.909,1.196
08:55:33.0,0.79,1.563,0.797
08:55:34.0,3.962,1.126,1.191
08:55:35.0,1.179,1.185,1.202
08:55:36.0,0.797,1.534,3.442
08:55:37.0,388.549,8.058,4134.212
08:55:38.0,6175.245,4797.76,8815.855
08:55:39.0,9632.25,7772.405,8470.113
08:55:40.0,8726.119,8113.395,8192.123
08:55:41.0,7929.149,8426.148,8011.116
08:55:42.0,8095.648,8372.215,8497.637
08:55:43.0,7722.796,8938.583,8552.532
08:55:44.0,7950.536,8537.704,8289.132
08:55:45.0,7950.044,8513.396,9132.583
08:55:46.0,7562.043,8630.803,8978.694
08:55:47.0,8088.135,8230.078,9413.696
08:55:48.0,7632.716,8434.754,9105.102
08:55:49.0,7787.297,8646.585,8870.324
08:55:50.0,8505.686,8501.787,8589.034
08:55:51.0,8201.841,8256.591,8639.796
08:55:52.0,8536.638,8541.172,8460.868
08:55:53.0,8503.676,8185.171,9003.34
08:55:54.0,8373.286,8306.349,9096.234
08:55:55.0,8299.985,8340.183,9228.03
08:55:56.0,8484.132,8217.018,9401.75
08:55:57.0,8367.621,8333.376,9165.869
08:55:58.0,8253.685,8400.698,9338.027
08:55:59.0,8380.44,8368.433,8801.702
08:56:00.0,8661.247,8432.502,8542.404
08:56:01.0,8420.658,8447.457,8596.686
08:56:02.0,8337.892,8788.948,8613.061
08:56:03.0,8379.027,8664.141,8495.25
08:56:04.0,8342.399,8678.92,8806.458
08:56:05.0,8318.792,8841.625,8441.328
08:56:06.0,8522.865,8684.142,8457.502
08:56:07.0,8291.166,8703.353,8065.907
08:56:08.0,9598.195,8144.822,8031.395
08:56:09.0,9568.137,7890.733,8016.2
08:56:10.0,9261.976,7915.295,8483.762
08:56:11.0,9233.711,7976.512,8070.387
08:56:12.0,9400.75,7919.413,8247.174
08:56:13.0,9429.335,7997.588,8209.632
08:56:14.0,9610.307,7984.893,8319.674
08:56:15.0,9359.745,8062.718,8354.846
08:56:16.0,9270.069,8127.189,9077.892
08:56:17.0,8903.507,7954.114,9139.472
08:56:18.0,8838.328,8262.849,8977.825
08:56:19.0,8684.059,8049.221,9321.696
08:56:20.0,8655.569,8005.02,9573.34
08:56:21.0,8553.351,8016.564,9409.488
08:56:22.0,8605.06,7884.275,9420.368
08:56:23.0,8581.209,7920.93,9242.494
08:56:24.0,8620.5,8242.05,8889.344
08:56:25.0,8988.636,7865.001,8163.457
08:56:26.0,9681.117,7754.867,8538.277
08:56:27.0,9472.294,7771.061,8562.289
08:56:28.0,9387.055,7787.683,8529.71
08:56:29.0,9474.813,7836.308,8666.293
08:56:30.0,9316.064,7781.966,8656.036
08:56:31.0,9596.125,7760.772,8459.587
08:56:32.0,9433.387,7837.046,8655.075
08:56:33.0,9599.173,7841.732,8544.89
08:56:34.0,9532.715,7816.984,8561.239
08:56:35.0,9596.935,7773.06,8788.192
08:56:36.0,9193.537,7847.644,9390.857
08:56:37.0,8448.266,7915.595,9395.616
08:56:38.0,8912.674,7934.302,9586.517
08:56:39.0,8760.184,8006.34,9345.387
08:56:40.0,8839.178,7960.624,9615.003
08:56:41.0,8578.498,7968.415,9620.164
08:56:42.0,8662.489,7948.877,9842.932
08:56:43.0,8893.748,7752.423,9660.857
08:56:44.0,8866.078,8071.5,9233.053
08:56:45.0,9125.84,7750.228,9216.572
08:56:46.0,8999.573,7602.121,9112.829
08:56:47.0,9363.061,7769.008,8411.226
08:56:48.0,9765.32,7709.534,8493.049
08:56:49.0,9747.292,7711.448,8520.619
08:56:50.0,9783.583,7723.316,8467.622
08:56:51.0,9779.77,7680.391,8553.725
08:56:52.0,9354.458,7694.835,9899.939
08:56:53.0,8797.626,7765.612,9915.432
08:56:54.0,8702.102,7673.466,9555.561
08:56:55.0,8769.405,7956.99,9818.808
08:56:56.0,8531.956,7793.872,9886.583
08:56:57.0,8818.841,7714.143,9716.051
08:56:58.0,8696.249,7947.268,9870.137
08:56:59.0,8677.8,7861.216,9627.543
08:57:00.0,8753.592,7829.59,9919.549
08:57:01.0,8632.986,7880.469,9816.872
08:57:02.0,8796.299,7781.834,9453.621
08:57:03.0,9110.325,7878.073,9287.655
08:57:04.0,8561.4,7925.665,9624.82
08:57:05.0,8486.61,8268.518,9344.671
08:57:06.0,8441.405,8154.829,9637.958
08:57:07.0,8414.448,8147.685,9596.292
08:57:08.0,8357.518,8161.791,9656.826
08:57:09.0,8519.548,8185.805,9529.839
08:57:10.0,8508.478,8205.524,9535.187
08:57:11.0,8589.21,8014.515,9454.934
08:57:12.0,8512.615,8363.143,9459.515
08:57:13.0,8461.71,8205.504,9595.495
08:57:14.0,8670.585,7959.262,9440.246
08:57:15.0,8479.919,8326.361,9531.058
08:57:16.0,8486.399,8208.185,9439.747
08:57:17.0,8648.017,8093.175,8926.35
08:57:18.0,8963.122,8028.156,8937.21
08:57:19.0,8939.717,8186.343,8898.895
08:57:20.0,8863.202,8147.455,8787.614
08:57:21.0,9136.808,8037.877,9054.797
08:57:22.0,8989.625,8174.498,8802.037
08:57:23.0,9040.021,8044.21,8870.541
08:57:24.0,8921.962,8093.773,8748.434
08:57:25.0,8983.962,8037.325,8850.525
08:57:26.0,8938.517,8048.43,8798.108
08:57:27.0,9034.218,8082.41,8958.516
08:57:28.0,8947.54,8032.14,8989.728
08:57:29.0,8928.452,8224.309,8682.377
08:57:30.0,9194.413,8059.495,8631.209
08:57:31.0,9356.213,7851.239,8505.766
08:57:32.0,9383.731,7977.269,8499.278
08:57:33.0,9253.817,8084.219,8392.848
08:57:34.0,9548.625,8005.658,8441.47
08:57:35.0,9520.705,8050.115,8532.204
08:57:36.0,9549.788,8044.396,8419.114
08:57:37.0,9423.407,8003.903,8310.828
08:57:38.0,9418.949,8045.212,8362.375
08:57:39.0,9336.278,7987.037,8381.758
08:57:40.0,9301.37,8009.269,8310.394
08:57:41.0,9439.281,7990.212,8478.176
08:57:42.0,9499.346,7999.617,8338.974
08:57:43.0,9514.031,7980.0,8442.566
08:57:44.0,9411.046,7935.952,8423.518
08:57:45.0,9528.25,7989.677,8375.996
08:57:46.0,9389.801,7941.022,8346.454
08:57:47.0,9491.665,7857.542,8350.644
08:57:48.0,9299.197,8104.291,8228.987
08:57:49.0,9359.063,7953.674,8630.424
08:57:50.0,9224.534,7934.222,8262.065
08:57:51.0,9423.237,7967.358,8492.357
08:57:52.0,9492.884,8015.67,8550.612
08:57:53.0,9460.262,8055.045,8478.576
08:57:54.0,9580.818,7999.188,8536.865
08:57:55.0,9441.605,7988.644,8430.399
08:57:56.0,9536.473,8019.538,8334.362
08:57:57.0,9352.974,7953.134,8572.183
08:57:58.0,8742.47,8102.943,9203.586
08:57:59.0,8535.183,8077.344,9129.679
08:58:00.0,8609.918,8179.784,9390.846
08:58:01.0,8527.708,8255.001,9375.353
08:58:02.0,8547.021,8201.465,9242.965
08:58:03.0,8301.399,8347.19,9162.03
