Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
10:27:20.0,0.0,,0.0
10:27:21.0,1.186,0.0,3.107
10:27:22.0,0.796,2.925,1.201
10:27:23.0,2.943,155.807,0.797
10:27:24.0,0.796,39.58,1.201
10:27:25.0,0.797,1.55,1.201
10:27:26.0,1.585,1.687,2.606
10:27:27.0,1.201,2.759,1.309
10:27:28.0,6.652,1.521,1.077
10:27:29.0,0.791,1.322,2.13
10:27:30.0,1.189,1.519,1.202
10:27:31.0,1.572,1.309,3.08
10:27:32.0,1.173,2.974,1.19
10:27:33.0,2.958,1.202,0.797
10:27:34.0,0.797,1.536,1.264
10:27:35.0,1.586,1.613,0.801
10:27:36.0,1.584,1.17,2.847
10:27:37.0,1.172,2.472,1.756
10:27:38.0,2.928,0.927,1.215
10:27:39.0,1.173,1.172,1.189
10:27:40.0,0.791,1.093,1.645
10:27:41.0,1.19,1.292,2.806
10:27:42.0,1.572,2.776,0.814
10:27:43.0,116.894,1.225,1.225
10:27:44.0,1819.763,1.278,1044.002
10:27:45.0,3444.575,1177.607,2510.508
10:27:46.0,3786.311,2998.82,3322.268
10:27:47.0,4407.253,3450.928,3535.275
10:27:48.0,4424.221,3881.376,3695.949
10:27:49.0,4782.087,4313.06,4042.806
10:27:50.0,4666.943,4440.86,4082.337
10:27:51.0,4962.132,4368.34,4255.11
10:27:52.0,5308.937,4474.513,4312.987
10:27:53.0,5521.99,4048.0,4376.895
10:27:54.0,5037.73,4495.737,4367.493
10:27:55.0,4668.06,3823.485,4234.663
10:27:56.0,5079.862,3957.932,4078.023
10:27:57.0,4928.546,4549.236,4122.279
10:27:58.0,4779.102,3930.912,4108.584
10:27:59.0,4601.946,4817.389,4320.423
10:28:00.0,5194.368,4012.205,4185.793
10:28:01.0,5026.678,4233.582,3911.041
10:28:02.0,5078.375,4133.763,4619.332
10:28:03.0,5161.839,4524.008,4654.389
10:28:04.0,5673.916,4816.911,4576.493
10:28:05.0,5149.285,4019.402,4749.98
10:28:06.0,5213.905,4577.309,4314.985
10:28:07.0,5088.222,4377.625,4037.92
10:28:08.0,5196.554,5511.51,5388.192
10:28:09.0,5474.218,7192.177,4958.024
10:28:10.0,5531.837,5001.204,4414.925
10:28:11.0,5772.504,5869.807,5035.547
10:28:12.0,5662.085,5394.814,5069.253
10:28:13.0,5029.504,4358.998,4746.125
10:28:14.0,5720.265,4666.086,4911.433
10:28:15.0,5020.754,4800.587,4479.946
10:28:16.0,5796.715,5169.431,4586.351
10:28:17.0,5859.444,4575.328,4936.523
10:28:18.0,5479.525,5563.654,4842.627
10:28:19.0,6067.494,5987.193,4779.489
10:28:20.0,5649.224,4632.368,4341.116
10:28:21.0,5228.128,5672.658,4743.833
10:28:22.0,5849.96,5900.167,4982.971
10:28:23.0,5597.053,4622.413,4434.331
10:28:24.0,5522.641,6178.91,4771.274
10:28:25.0,5772.751,5507.127,5227.518
10:28:26.0,5689.306,6569.984,5199.148
10:28:27.0,5917.2,6144.785,4869.067
10:28:28.0,5625.165,6682.796,5191.622
10:28:29.0,5832.354,7214.802,5482.14
10:28:30.0,6022.632,6067.804,5446.149
10:28:31.0,6113.36,4653.133,5361.075
10:28:32.0,6318.496,6589.974,5543.533
10:28:33.0,6214.875,6004.78,5315.551
10:28:34.0,5988.62,4706.988,5508.112
10:28:35.0,5914.632,6909.523,5293.246
10:28:36.0,5730.078,4850.533,5258.142
10:28:37.0,4482.381,5167.764,4994.362
10:28:38.0,5185.61,4893.127,4899.334
10:28:39.0,3707.728,4869.461,3355.48
10:28:40.0,4313.326,3254.923,4705.515
10:28:41.0,5103.54,4220.248,4557.348
10:28:42.0,2384.544,4196.455,2210.367
10:28:43.0,6397.449,2408.281,5478.865
10:28:44.0,5693.597,5324.615,5299.636
10:28:45.0,5641.727,5410.758,4473.135
10:28:46.0,5490.517,4585.666,5301.2
10:28:47.0,4887.222,5169.313,3804.152
10:28:48.0,5954.895,4148.095,4028.44
10:28:49.0,5529.554,6229.792,4528.931
10:28:50.0,5593.922,5654.083,5230.75
10:28:51.0,3929.517,6672.103,2381.151
10:28:52.0,5254.732,3566.183,851.983
10:28:53.0,4320.198,3785.974,2.195
10:28:54.0,3613.926,5388.196,0.615
10:28:55.0,3574.333,5180.403,0.692
10:28:56.0,4331.387,3968.973,2.935
10:28:57.0,4601.518,4264.685,3206.736
10:28:58.0,1298.6,5589.17,2040.401
10:28:59.0,106.546,4661.251,1091.628
10:29:00.0,0.829,4534.959,2311.171
10:29:01.0,0.753,5185.594,3336.136
10:29:02.0,2870.913,5488.208,2054.709
10:29:03.0,5699.119,4415.87,4602.603
10:29:04.0,6121.761,6107.853,3674.467
10:29:05.0,5402.195,6105.749,3032.003
10:29:06.0,4391.368,4238.379,4584.224
10:29:07.0,4386.75,1853.071,5795.795
10:29:08.0,3995.283,658.21,4968.871
10:29:09.0,4548.108,67.993,3976.211
10:29:10.0,5258.988,0.743,5674.635
10:29:11.0,4927.822,0.939,5086.671
10:29:12.0,6263.646,6216.084,5999.736
10:29:13.0,6307.664,6990.305,5957.057
10:29:14.0,5199.655,9226.767,5533.022
10:29:15.0,6436.004,5644.988,4874.601
10:29:16.0,6384.076,5712.216,5677.897
10:29:17.0,3598.364,6359.839,3437.916
10:29:18.0,6707.451,3730.874,5170.888
10:29:19.0,6864.539,5871.827,6028.929
10:29:20.0,4387.616,6123.748,3706.86
10:29:21.0,6873.37,4824.778,5866.705
10:29:22.0,5420.68,6617.568,5623.41
10:29:23.0,3629.831,5440.606,2458.333
10:29:24.0,6693.351,2488.425,5588.085
10:29:25.0,5961.211,6204.92,6524.665
10:29:26.0,5977.941,5291.653,5457.181
10:29:27.0,5698.946,5689.857,5978.72
10:29:28.0,3994.571,5149.351,2964.083
10:29:29.0,6777.83,2640.549,5284.146
10:29:30.0,5960.879,5672.344,6101.498
10:29:31.0,6524.567,7065.833,5016.391
10:29:32.0,6260.434,5321.019,4867.429
10:29:33.0,6978.487,5229.625,3204.087
10:29:34.0,7343.507,3175.875,5286.791
10:29:35.0,6102.691,6515.604,3816.751
10:29:36.0,7296.544,5885.933,4684.853
10:29:37.0,5523.623,6237.313,4712.86
10:29:38.0,3162.329,6338.942,2422.015
10:29:39.0,7331.301,2093.88,5215.728
10:29:40.0,6516.755,6450.427,4744.746
10:29:41.0,5898.041,6890.08,3592.716
10:29:42.0,4209.117,5390.422,524.384
10:29:43.0,6273.582,2541.504,541.91
10:29:44.0,5180.875,5899.825,0.683
10:29:45.0,3599.297,4943.484,1.042
10:29:46.0,6171.689,4285.547,155.685
10:29:47.0,2590.353,4260.243,3460.205
10:29:48.0,149.227,5233.627,2746.9
10:29:49.0,0.811,4986.648,1284.655
10:29:50.0,0.743,4126.864,2192.572
