Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
11:01:03.0,0.0,0.0,0.0
11:01:04.0,3.974,0.805,1.635
11:01:05.0,0.801,1.744,0.797
11:01:06.0,1.22,1.55,1.202
11:01:07.0,1.217,2.708,3.522
11:01:08.0,1.21,1.377,1.217
11:01:09.0,3.367,0.921,0.797
11:01:10.0,1.202,1.377,1.203
11:01:11.0,1.518,0.585,1.203
11:01:12.0,4.05,4.005,3.454
11:01:13.0,0.793,1.172,1.607
11:01:14.0,2.96,1.687,1.202
11:01:15.0,0.793,1.036,1.203
11:01:16.0,1.221,1.55,1.199
11:01:17.0,0.791,2.975,3.068
11:01:18.0,1.649,1.237,1.212
11:01:19.0,3.363,0.927,1.203
11:01:20.0,1.203,0.938,0.797
11:01:21.0,1.21,1.172,1.608
11:01:22.0,1.203,3.447,3.118
11:01:23.0,0.793,1.172,1.607
11:01:24.0,3.973,1.168,1.213
11:01:25.0,1.214,1.538,0.797
11:01:26.0,379.1,169.743,189.237
11:01:27.0,2161.425,1818.229,1788.711
11:01:28.0,2976.954,3507.019,2814.957
11:01:29.0,3921.784,4625.757,3636.519
11:01:30.0,4109.772,5388.564,4156.482
11:01:31.0,4366.486,5393.63,4549.497
11:01:32.0,4297.591,5598.8,4589.592
11:01:33.0,4536.873,4519.074,4660.284
11:01:34.0,4430.437,5474.329,4856.876
11:01:35.0,4655.492,5484.156,4559.899
11:01:36.0,4968.686,6535.778,5003.916
11:01:37.0,5235.067,5985.443,4948.715
11:01:38.0,4888.942,6815.86,5463.159
11:01:39.0,5003.211,5775.713,5303.58
11:01:40.0,5060.832,7658.277,5275.166
11:01:41.0,5034.144,7243.161,5208.628
11:01:42.0,4954.001,8235.559,5562.739
11:01:43.0,5631.736,6916.867,5893.051
11:01:44.0,4502.802,6921.502,6462.33
11:01:45.0,5098.283,7480.684,6933.377
11:01:46.0,4482.466,7204.04,7072.672
11:01:47.0,5188.872,7453.226,6739.582
11:01:48.0,5960.541,7485.885,6971.028
11:01:49.0,6146.534,7587.998,6765.911
11:01:50.0,6744.265,8595.695,7103.477
11:01:51.0,6088.369,7509.874,6071.628
11:01:52.0,6051.169,9031.044,6742.482
11:01:53.0,6139.865,7993.144,6857.169
11:01:54.0,6508.419,8457.703,7265.67
11:01:55.0,6217.391,7510.214,6676.636
11:01:56.0,6489.053,8945.067,6924.436
11:01:57.0,6843.67,7386.441,7047.126
11:01:58.0,6762.083,9095.455,7048.974
11:01:59.0,6422.823,8840.694,7692.344
11:02:00.0,7170.229,9626.171,7582.081
11:02:01.0,6989.069,9478.004,7599.891
11:02:02.0,6470.574,9044.387,6903.127
11:02:03.0,6640.671,8279.002,6390.348
11:02:04.0,6269.373,8425.886,6265.375
11:02:05.0,6877.507,7913.607,6336.243
11:02:06.0,6859.032,8534.408,6318.728
11:02:07.0,6728.47,9369.266,7345.499
11:02:08.0,6927.402,9495.636,7280.176
11:02:09.0,7251.093,8033.052,6964.92
11:02:10.0,6682.357,8803.009,6168.243
11:02:11.0,6391.336,9626.768,6804.115
11:02:12.0,7033.472,9123.664,7256.583
11:02:13.0,7307.187,9318.676,7027.109
11:02:14.0,7570.138,9221.286,7466.425
11:02:15.0,7164.873,9422.227,7498.333
11:02:16.0,6763.846,8934.762,7267.904
11:02:17.0,7481.26,9127.708,7523.355
11:02:18.0,6091.641,8800.407,7334.781
11:02:19.0,6778.19,9168.651,7470.959
11:02:20.0,7087.142,9509.947,7435.884
11:02:21.0,7021.067,9667.489,7028.32
11:02:22.0,7183.394,8761.444,6795.092
11:02:23.0,7299.414,9437.703,7929.583
11:02:24.0,6608.853,8603.411,7252.137
11:02:25.0,7528.097,9171.101,7195.667
11:02:26.0,6683.087,8677.067,7135.47
11:02:27.0,6701.533,9871.964,7303.009
11:02:28.0,7472.041,9212.119,7139.683
11:02:29.0,6254.592,9725.199,7321.253
11:02:30.0,6654.049,9172.097,7033.661
11:02:31.0,6644.035,9197.176,7563.291
11:02:32.0,7033.649,8782.954,7336.107
11:02:33.0,6647.066,8840.309,7478.532
11:02:34.0,7123.337,9506.249,7398.537
11:02:35.0,7076.323,8618.59,7780.475
11:02:36.0,7282.286,9353.218,7032.428
11:02:37.0,6820.438,9352.791,7395.119
11:02:38.0,6766.682,8728.845,6946.094
11:02:39.0,6247.588,9550.258,6813.661
11:02:40.0,6854.798,8990.438,7053.65
11:02:41.0,6805.051,8863.795,6765.319
11:02:42.0,6171.89,8931.737,7606.958
11:02:43.0,7436.956,9052.793,7128.916
11:02:44.0,6609.765,9721.709,6938.894
11:02:45.0,6883.843,8792.461,6853.755
11:02:46.0,6335.115,9308.334,7118.021
11:02:47.0,6933.663,9357.098,6682.42
11:02:48.0,6374.291,9168.979,7281.351
11:02:49.0,6482.289,8790.629,6698.238
11:02:50.0,6580.342,9840.666,7208.398
11:02:51.0,6668.497,8651.858,6970.893
11:02:52.0,6421.624,8943.746,6714.691
11:02:53.0,6713.123,9084.924,7023.344
11:02:54.0,1852.051,9181.677,7987.102
11:02:55.0,0.964,7122.896,7168.401
11:02:56.0,0.829,6924.31,6512.711
11:02:57.0,0.692,4449.762,4547.242
11:02:58.0,2.778,5114.515,5329.135
11:02:59.0,2289.766,5637.875,3953.266
11:03:00.0,5398.131,5130.094,825.653
11:03:01.0,5372.28,5705.376,331.729
11:03:02.0,7170.502,5925.108,60.219
11:03:03.0,6990.445,6139.376,0.615
11:03:04.0,5387.2,6567.729,5043.631
11:03:05.0,4920.735,6724.782,5796.207
11:03:06.0,6705.575,8290.61,5166.21
11:03:07.0,5520.662,8072.833,7204.09
11:03:08.0,5363.472,7628.508,6083.428
11:03:09.0,3936.947,1411.43,4046.884
11:03:10.0,4628.646,1.126,3861.87
11:03:11.0,3308.78,1.007,3369.986
11:03:12.0,3295.306,2.415,3559.286
11:03:13.0,5598.352,5448.539,6304.96
11:03:14.0,6399.833,8797.271,6568.901
11:03:15.0,6757.633,9269.8,6741.657
11:03:16.0,6551.034,9114.1,6659.734
11:03:17.0,7217.712,9300.134,6774.275
11:03:18.0,6766.454,8274.562,7705.174
11:03:19.0,6457.056,9407.682,6414.058
11:03:20.0,7013.209,7897.208,6773.469
11:03:21.0,6206.711,9071.115,7550.045
11:03:22.0,7176.023,9593.115,7137.081
11:03:23.0,6868.425,8283.786,6971.126
11:03:24.0,6686.133,9838.34,7169.039
11:03:25.0,7646.938,9295.031,7065.823
11:03:26.0,6876.221,9051.236,7809.258
11:03:27.0,6593.018,8942.567,7508.147
11:03:28.0,6668.466,9157.593,7114.753
11:03:29.0,6371.647,9044.303,6657.889
11:03:30.0,6802.298,8823.267,7487.947
11:03:31.0,6821.819,9136.996,7405.43
11:03:32.0,7078.864,9189.416,7057.039
11:03:33.0,6591.686,9091.979,7269.146
11:03:34.0,7005.998,9670.333,6879.117
11:03:35.0,6152.73,9102.101,6874.767
11:03:36.0,6738.281,10144.399,6658.635
11:03:37.0,6600.146,9280.595,7321.323
11:03:38.0,7173.178,8887.295,7936.099
11:03:39.0,7012.745,9331.14,6634.174
11:03:40.0,6896.292,8886.995,6679.226
11:03:41.0,7138.715,8783.666,6296.627
11:03:42.0,6798.434,8951.577,7351.312
11:03:43.0,6984.417,8738.917,6173.583
11:03:44.0,6369.329,9060.872,6762.417
11:03:45.0,6873.42,9069.48,6818.957
11:03:46.0,6591.741,9218.717,7319.753
11:03:47.0,6868.414,9360.441,6863.703
11:03:48.0,6195.7,8654.773,6308.797
11:03:49.0,6976.133,8512.387,6488.442
11:03:50.0,6471.462,9526.593,6785.764
11:03:51.0,6772.332,8912.299,7202.376
11:03:52.0,7502.583,9451.843,6245.58
11:03:53.0,6485.747,9149.383,7183.118
11:03:54.0,7005.625,9318.723,6766.316
11:03:55.0,6642.385,8695.93,7214.298
11:03:56.0,6861.044,9211.706,6295.905
11:03:57.0,6808.499,7269.726,3726.941
11:03:58.0,4433.366,6613.17,1094.121
11:03:59.0,554.925,3630.194,0.683
11:04:00.0,0.615,2728.442,0.828
11:04:01.0,0.759,2870.302,0.478
11:04:02.0,0.546,2516.946,2.569
11:04:03.0,2.287,2933.606,0.692
11:04:04.0,266.567,5221.514,3092.885
11:04:05.0,171.488,5215.359,8988.041
11:04:06.0,5757.825,8656.8,6159.072
11:04:07.0,7538.694,7237.605,7216.285
11:04:08.0,6007.678,8461.188,7080.61
11:04:09.0,6580.69,8840.759,7400.626
11:04:10.0,7654.689,8448.841,7184.034
11:04:11.0,6800.172,9717.992,7189.827
11:04:12.0,2386.071,5580.041,3641.649
11:04:13.0,986.326,283.068,1.234
11:04:14.0,989.747,294.5,1.65
11:04:15.0,986.958,295.642,1.202
11:04:16.0,1152.658,654.159,0.774
11:04:17.0,1234.004,1247.397,3.0
11:04:18.0,1235.367,1236.784,1.217
11:04:19.0,378.395,1458.966,1584.406
11:04:20.0,301.434,1282.073,970.5
