Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
13:08:21.0,,0.0,0.0
13:08:22.0,0.0,,
13:08:23.0,1.606,1.103,1.885
13:08:24.0,2.538,189.112,1.219
13:08:25.0,1.607,0.791,1.172
13:08:26.0,1.643,1.173,1.456
13:08:27.0,1.608,3.111,2.9
13:08:28.0,1.226,1.553,1.538
13:08:29.0,3.687,0.722,1.755
13:08:30.0,4.552,1.643,1.085
13:08:31.0,1.643,1.172,1.456
13:08:32.0,1.208,2.531,3.858
13:08:33.0,1.242,1.173,1.348
13:08:34.0,3.346,0.804,0.981
13:08:35.0,1.232,1.235,1.924
13:08:36.0,1.633,1.141,0.778
13:08:37.0,1.305,3.111,3.871
13:08:38.0,1.55,1.439,1.187
13:08:39.0,3.962,1.187,1.456
13:08:40.0,1.608,0.791,1.172
13:08:41.0,1.65,0.803,1.186
13:08:42.0,1.62,3.858,2.831
13:08:43.0,1.22,1.168,1.172
13:08:44.0,4.039,1.616,1.897
13:08:45.0,712.458,368.658,400.521
13:08:46.0,2698.328,2315.418,2669.56
13:08:47.0,3913.03,2955.136,3071.54
13:08:48.0,4128.173,3871.795,4370.247
13:08:49.0,5569.097,5352.604,5714.071
13:08:50.0,5614.191,5259.276,5754.608
13:08:51.0,5644.793,5156.458,5633.275
13:08:52.0,5909.964,5289.837,6090.477
13:08:53.0,6170.368,5537.852,6037.618
13:08:54.0,5973.353,5855.055,6293.813
13:08:55.0,5718.78,5352.147,5776.835
13:08:56.0,6064.373,5527.697,5583.468
13:08:57.0,5908.007,5692.575,5930.03
13:08:58.0,5713.846,5515.575,5434.035
13:08:59.0,5841.16,5705.14,6239.967
13:09:00.0,6859.956,6175.963,6893.459
13:09:01.0,7105.787,6662.011,7338.89
13:09:02.0,6902.585,6346.73,6622.378
13:09:03.0,6851.228,6459.498,7365.871
13:09:04.0,7809.102,7251.668,7847.55
13:09:05.0,7590.606,7223.875,7159.445
13:09:06.0,7285.272,6973.205,7757.583
13:09:07.0,8458.93,7218.542,7699.553
13:09:08.0,7750.906,7649.978,7990.495
13:09:09.0,8258.947,6977.639,7772.933
13:09:10.0,7938.154,6989.78,7865.712
13:09:11.0,8002.584,7050.852,7904.395
13:09:12.0,8070.536,7076.652,7846.06
13:09:13.0,8581.836,7703.089,8485.71
13:09:14.0,8688.57,7359.218,8489.802
13:09:15.0,8181.202,7296.488,8412.227
13:09:16.0,8945.358,7421.523,8877.94
13:09:17.0,8333.593,7757.017,8353.454
13:09:18.0,8636.162,8061.836,8694.084
13:09:19.0,7833.235,7376.156,8950.014
13:09:20.0,8496.203,8125.327,8288.417
13:09:21.0,8847.303,8254.558,8521.656
13:09:22.0,8740.898,8119.297,8655.86
13:09:23.0,8905.631,8195.076,9016.219
13:09:24.0,9164.969,8494.333,8959.769
13:09:25.0,8164.02,8771.98,9231.179
13:09:26.0,7892.168,7916.664,7677.854
13:09:27.0,8519.359,8164.748,8239.197
13:09:28.0,8397.215,7962.191,8198.249
13:09:29.0,8054.632,8210.535,8332.136
13:09:30.0,9153.707,8590.334,9234.478
13:09:31.0,9041.265,8667.123,8835.875
13:09:32.0,8364.732,8883.49,8343.902
13:09:33.0,8446.321,8343.843,8492.171
13:09:34.0,8359.034,8712.367,8655.87
13:09:35.0,8293.527,8126.061,7515.085
13:09:36.0,8611.916,8189.372,8403.718
13:09:37.0,8471.629,8496.834,8557.252
13:09:38.0,8917.717,8762.648,8798.501
13:09:39.0,9122.476,8732.629,9102.368
13:09:40.0,9062.926,8567.87,8962.715
13:09:41.0,8868.225,8614.32,8879.552
13:09:42.0,8728.465,8251.101,8727.26
13:09:43.0,8496.187,8880.254,8616.392
13:09:44.0,8714.258,8786.5,8645.483
13:09:45.0,8702.565,8306.616,7988.081
13:09:46.0,9290.426,8720.401,9306.715
13:09:47.0,8661.171,8617.996,8513.301
13:09:48.0,8942.164,8895.577,8729.548
13:09:49.0,8458.116,8780.739,9001.483
13:09:50.0,8678.557,8642.871,8728.142
13:09:51.0,9062.93,8321.546,8614.383
13:09:52.0,8547.123,8605.116,8210.277
13:09:53.0,8784.3,8804.2,9261.151
13:09:54.0,8728.422,8664.782,8973.573
13:09:55.0,9001.608,9010.723,9065.048
13:09:56.0,9180.886,9299.213,9022.745
13:09:57.0,8771.293,8968.511,8844.912
13:09:58.0,8642.854,8723.422,8665.628
13:09:59.0,9595.497,8764.314,8902.374
13:10:00.0,8439.309,9054.139,9153.765
13:10:01.0,8637.591,8677.547,9152.399
13:10:02.0,8667.127,9000.039,8535.081
13:10:03.0,8567.472,8640.458,8696.785
13:10:04.0,8739.831,8543.187,8687.86
13:10:05.0,9535.769,9402.761,9445.911
13:10:06.0,8497.883,8618.227,8540.785
13:10:07.0,8906.242,8831.847,9198.142
13:10:08.0,8640.273,8939.605,8660.81
13:10:09.0,8989.136,8698.619,8893.305
13:10:10.0,8893.56,9207.511,9374.308
13:10:11.0,8927.83,8872.647,9072.985
13:10:12.0,9009.868,8993.665,8896.115
13:10:13.0,8944.568,8639.377,8791.583
13:10:14.0,8784.602,8780.568,8754.295
13:10:15.0,8469.909,8073.87,7931.976
13:10:16.0,8807.908,8727.631,8870.919
13:10:17.0,8240.226,8793.594,8677.925
13:10:18.0,7996.758,8370.24,7854.507
13:10:19.0,8601.818,8895.732,8919.253
13:10:20.0,9220.784,8868.195,8528.199
13:10:21.0,8603.017,8941.01,8811.62
13:10:22.0,9026.081,8815.896,9011.456
13:10:23.0,8931.127,8651.208,8398.279
13:10:24.0,8160.674,8601.637,8974.465
13:10:25.0,8888.092,8624.274,8595.424
13:10:26.0,8611.61,9039.379,8836.673
13:10:27.0,8025.915,8470.598,8414.766
13:10:28.0,8554.377,8401.114,8996.084
13:10:29.0,9014.161,8859.516,8525.806
13:10:30.0,7975.263,8760.969,8376.835
13:10:31.0,8742.253,8835.166,9163.694
13:10:32.0,8782.08,8464.852,8314.816
13:10:33.0,8165.372,8540.955,8506.981
13:10:34.0,8423.732,8673.754,8852.327
13:10:35.0,8827.112,8906.094,8972.564
13:10:36.0,9116.993,8705.262,9444.483
13:10:37.0,8626.812,8882.166,8668.628
13:10:38.0,8679.724,8403.153,8509.866
13:10:39.0,8580.91,9316.057,8947.791
13:10:40.0,8623.182,8289.626,8608.122
13:10:41.0,7932.998,8675.697,8979.862
13:10:42.0,8504.41,8275.669,8334.536
13:10:43.0,8481.452,8489.528,8320.131
13:10:44.0,8403.507,8272.355,8318.718
13:10:45.0,8170.179,8332.395,8717.301
13:10:46.0,8725.932,8114.775,8271.678
