Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
14:44:21.0,0.0,0.0,0.0
14:44:22.0,1.625,0.791,1.411
14:44:23.0,3.955,1.156,433.063
14:44:24.0,1.218,1.156,1.207
14:44:25.0,1.619,1.521,1.319
14:44:26.0,1.621,3.476,3.629
14:44:27.0,1.635,1.156,1.02
14:44:28.0,3.969,1.156,0.797
14:44:29.0,248.463,1.603,2.073
14:44:30.0,4943.306,3861.422,3746.394
14:44:31.0,7157.948,7352.738,9085.899
14:44:32.0,7129.793,8014.309,8821.902
14:44:33.0,6632.31,7949.082,9209.717
14:44:34.0,6832.361,8271.115,9306.306
14:44:35.0,6177.05,8130.272,9513.608
14:44:36.0,6098.901,8099.055,9079.24
14:44:37.0,6557.29,8230.892,8550.278
14:44:38.0,6494.187,8253.129,8573.324
14:44:39.0,6691.965,8352.775,8587.371
14:44:40.0,6882.838,8739.31,8512.574
14:44:41.0,6865.76,8674.86,8708.121
14:44:42.0,7096.518,8620.428,8417.152
14:44:43.0,7221.072,8670.241,8249.108
14:44:44.0,7588.932,8440.901,7914.726
14:44:45.0,7579.88,8500.775,8015.245
14:44:46.0,7495.676,8381.561,8065.777
14:44:47.0,7615.993,8640.242,8020.188
14:44:48.0,7591.875,8499.573,8140.494
14:44:49.0,7881.02,8389.223,8046.753
14:44:50.0,8046.337,8275.877,8009.916
14:44:51.0,7850.213,8491.18,8200.632
14:44:52.0,7759.503,8263.327,8099.857
14:44:53.0,7605.939,8301.394,7810.507
14:44:54.0,7735.844,8040.489,7728.522
14:44:55.0,7530.401,7912.277,7677.472
14:44:56.0,7826.552,8060.942,7838.208
14:44:57.0,7737.139,8044.236,7938.557
14:44:58.0,7931.611,8023.98,8030.688
14:44:59.0,8012.883,8065.449,7973.756
14:45:00.0,8140.418,7962.333,7758.181
14:45:01.0,8198.015,7990.326,7614.287
14:45:02.0,8053.181,7783.53,7501.792
14:45:03.0,8288.507,8065.349,7534.559
14:45:04.0,8182.239,8076.794,7604.873
14:45:05.0,7559.346,7953.289,8169.943
14:45:06.0,7744.303,7921.273,8261.156
14:45:07.0,7688.878,7793.466,7992.406
14:45:08.0,7442.55,8046.832,8282.37
14:45:09.0,7488.841,7883.139,8069.641
14:45:10.0,7582.152,7900.216,7975.811
14:45:11.0,7481.248,7841.92,7814.177
14:45:12.0,7770.505,8011.424,8128.171
14:45:13.0,7613.356,7929.506,8055.444
14:45:14.0,7636.589,7968.575,8417.747
14:45:15.0,7573.101,7936.643,8205.072
14:45:16.0,7641.804,7981.722,8324.685
14:45:17.0,7539.458,7951.75,8281.183
14:45:18.0,7811.294,8016.3,8202.837
14:45:19.0,7664.282,7828.512,8479.538
14:45:20.0,7482.14,8068.77,8113.25
14:45:21.0,7394.378,7863.499,8007.336
14:45:22.0,7583.086,7982.953,8312.556
