Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
12:46:44.0,,,0.0
12:46:45.0,0.0,,
12:46:46.0,0.785,0.0,0.776
12:46:47.0,1.224,1.621,4.137
12:46:48.0,1.638,2.896,1.139
12:46:49.0,2.514,1.202,1.185
12:46:50.0,1.221,1.195,1.126
12:46:51.0,1.619,1.499,0.791
12:46:52.0,1.191,1.17,2.545
12:46:53.0,1.682,3.476,1.578
12:46:54.0,6.667,0.789,1.156
12:46:55.0,1.179,1.172,1.261
12:46:56.0,1.66,1.702,1.184
12:46:57.0,1.635,1.185,3.111
12:46:58.0,1.19,3.492,0.791
12:46:59.0,3.533,1.156,1.168
12:47:00.0,1.226,1.185,1.613
12:47:01.0,1.202,1.287,1.156
12:47:02.0,1.619,1.104,3.476
12:47:03.0,1.191,2.667,1.521
12:47:04.0,2.978,0.966,1.141
12:47:05.0,1.63,1.567,1.185
12:47:06.0,1.634,0.732,1.156
12:47:07.0,0.774,0.791,3.491
12:47:08.0,1.648,3.507,1.534
12:47:09.0,88.753,0.805,1.775
12:47:10.0,1541.539,1.485,944.45
12:47:11.0,3668.556,954.708,2782.726
12:47:12.0,4705.541,3100.287,3514.498
12:47:13.0,5414.93,4421.331,3957.403
12:47:14.0,5049.816,4689.33,4118.919
12:47:15.0,5385.109,5239.654,4094.631
12:47:16.0,5689.112,5075.947,4369.964
12:47:17.0,5449.27,5459.695,4678.707
12:47:18.0,5638.419,5812.604,4062.723
12:47:19.0,5518.005,5377.465,4343.667
12:47:20.0,5480.418,5486.405,4732.381
12:47:21.0,5642.36,5943.979,4121.885
12:47:22.0,5214.823,5175.174,4717.78
12:47:23.0,5964.795,6166.22,4641.168
12:47:24.0,6095.87,4991.768,4571.681
12:47:25.0,5827.869,5826.631,4707.279
12:47:26.0,6267.577,5675.867,5262.726
12:47:27.0,6481.851,6645.398,5296.091
12:47:28.0,6670.039,5977.379,5109.963
12:47:29.0,6303.075,6212.844,4992.579
12:47:30.0,5959.241,6052.541,4577.08
12:47:31.0,5912.297,5554.541,5242.685
12:47:32.0,6514.0,5978.482,5377.755
12:47:33.0,6654.158,5789.882,4913.811
12:47:34.0,6652.152,6251.591,5289.892
12:47:35.0,6449.555,6265.901,5095.081
12:47:36.0,6911.502,5955.909,5908.802
12:47:37.0,6655.199,7128.442,5099.28
12:47:38.0,7314.001,6225.979,5899.24
12:47:39.0,6977.216,6539.771,5964.445
12:47:40.0,6661.627,6470.918,5709.166
12:47:41.0,7474.781,7079.035,5914.528
12:47:42.0,6949.269,7317.253,5753.784
12:47:43.0,7089.489,6661.743,5630.162
12:47:44.0,6835.476,6848.044,5760.68
12:47:45.0,6635.282,6458.976,5772.55
12:47:46.0,7300.18,6811.426,6053.704
12:47:47.0,7150.507,6341.012,5337.846
12:47:48.0,6552.387,6559.359,5538.542
12:47:49.0,6802.666,6927.954,5096.281
12:47:50.0,7166.113,6895.234,5391.112
12:47:51.0,6709.712,6959.733,5060.397
12:47:52.0,7110.678,6796.492,5483.865
12:47:53.0,7194.154,7183.464,5176.258
12:47:54.0,6343.835,6809.57,6176.325
12:47:55.0,7147.695,5965.76,5399.278
12:47:56.0,6054.394,6746.616,5539.195
12:47:57.0,6312.409,6439.946,4907.184
12:47:58.0,6112.276,5352.405,5090.274
12:47:59.0,5816.498,5963.126,5297.765
12:48:00.0,6934.274,5140.969,5081.678
12:48:01.0,6909.629,5693.27,5251.886
12:48:02.0,5708.638,6847.509,4853.998
12:48:03.0,5520.195,6254.711,5019.075
12:48:04.0,6818.983,5176.745,5506.794
12:48:05.0,6343.704,5610.537,4979.988
12:48:06.0,6711.283,6313.769,5318.577
12:48:07.0,5907.945,6218.364,5381.608
12:48:08.0,5684.0,6444.358,5151.253
12:48:09.0,5899.058,5637.207,5095.75
12:48:10.0,6396.643,5223.973,5301.391
12:48:11.0,6077.521,5229.755,5475.498
12:48:12.0,6266.159,5636.456,4665.742
12:48:13.0,6431.569,5413.806,5468.113
12:48:14.0,5902.278,6383.47,5127.915
12:48:15.0,6173.086,5369.469,4722.399
