Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
12:21:12.0,0.0,0.0,0.0
12:21:13.0,7.473,2.019,1.741
12:21:14.0,1.178,0.859,1.585
12:21:15.0,1.212,1.156,1.19
12:21:16.0,1.178,2.394,3.924
12:21:17.0,1.645,0.942,1.206
12:21:18.0,3.687,1.179,1.251
12:21:19.0,1.551,1.384,1.078
12:21:20.0,1.633,1.156,0.793
12:21:21.0,1.212,3.841,3.098
12:21:22.0,1.634,1.156,0.793
12:21:23.0,2.954,1.536,0.778
12:21:24.0,1.179,0.927,1.604
12:21:25.0,1.199,0.654,1.6
12:21:26.0,1.627,3.423,3.341
12:21:27.0,1.232,1.535,0.761
12:21:28.0,380.706,513.789,159.342
12:21:29.0,1445.849,1949.084,1439.023
12:21:30.0,2120.529,1198.876,2018.228
12:21:31.0,2858.385,1474.438,1336.72
12:21:32.0,2330.885,1315.776,2224.589
12:21:33.0,1901.21,1122.307,1998.899
12:21:34.0,2481.569,1186.253,2561.183
12:21:35.0,2376.734,1165.223,2279.353
12:21:36.0,2659.328,1249.17,2704.464
12:21:37.0,2538.75,1293.191,2877.007
12:21:38.0,3041.013,1283.823,2831.608
12:21:39.0,2400.252,1301.051,3096.8
12:21:40.0,2418.041,1302.675,3041.02
12:21:41.0,2712.595,1218.909,2451.481
12:21:42.0,2211.92,1206.606,2500.318
12:21:43.0,2267.276,1269.041,2340.363
12:21:44.0,2131.884,1214.481,2280.41
12:21:45.0,2668.615,1261.526,2626.206
12:21:46.0,2220.196,1335.893,2474.21
12:21:47.0,2184.333,1289.021,2277.443
12:21:48.0,2400.154,1293.134,2247.519
12:21:49.0,2107.342,2063.722,2871.127
12:21:50.0,1569.219,1591.136,1766.251
12:21:51.0,2113.768,1333.126,2330.806
12:21:52.0,1860.428,1192.283,2064.676
12:21:53.0,2118.208,1080.477,928.633
12:21:54.0,1740.288,1596.825,1839.635
12:21:55.0,1711.697,1829.038,2559.352
12:21:56.0,3017.624,1005.879,1497.359
12:21:57.0,1675.571,911.869,1385.307
12:21:58.0,1837.637,1084.103,1993.035
12:21:59.0,2388.591,1342.939,1363.436
12:22:00.0,2778.549,1323.49,1056.922
12:22:01.0,1606.068,1553.653,1928.089
12:22:02.0,2435.445,1139.088,1351.231
12:22:03.0,1222.631,931.26,1958.747
12:22:04.0,2859.455,1256.196,2486.652
12:22:05.0,1559.393,2208.316,2504.925
12:22:06.0,3166.969,1648.823,1082.61
12:22:07.0,2046.21,1507.959,1680.494
12:22:08.0,1928.368,2298.701,2281.525
12:22:09.0,1254.124,2973.585,2143.192
12:22:10.0,1728.583,2616.162,1324.778
12:22:11.0,2120.097,1141.047,1107.932
12:22:12.0,1337.658,2185.622,2281.678
12:22:13.0,2141.926,1594.332,1990.567
12:22:14.0,2430.639,2002.172,1354.986
12:22:15.0,1618.197,1623.602,2285.837
12:22:16.0,1289.227,1597.378,1667.178
12:22:17.0,2606.872,1523.033,1422.671
12:22:18.0,1456.161,2035.277,2361.139
12:22:19.0,2076.651,1723.409,2288.618
12:22:20.0,2120.835,1554.998,1625.351
