Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
10:11:49.0,0.0,,0.0
10:11:50.0,1.19,0.0,1.733
10:11:51.0,4.564,1.276,1.527
10:11:52.0,1.126,3.505,3.504
10:11:53.0,1.186,1.446,1.871
10:11:54.0,3.476,1.071,1.753
10:11:55.0,1.583,0.556,1.276
10:11:56.0,1.555,1.126,0.797
10:11:57.0,1.602,3.25,3.64
10:11:58.0,1.126,1.422,1.601
10:11:59.0,3.905,1.022,1.572
10:12:00.0,0.761,1.429,1.464
10:12:01.0,1.583,0.817,1.527
10:12:02.0,1.126,2.652,3.921
10:12:03.0,1.584,0.749,1.722
10:12:04.0,3.875,1.103,1.207
10:12:05.0,1.19,1.185,285.32
10:12:06.0,866.835,223.815,1734.907
10:12:07.0,3280.162,2166.718,2716.104
10:12:08.0,4756.912,4172.727,2811.133
10:12:09.0,5045.192,4970.989,3421.743
10:12:10.0,5134.648,5335.277,3439.008
10:12:11.0,5787.441,5652.922,3230.968
10:12:12.0,5781.095,5722.188,3460.899
10:12:13.0,5435.389,6161.829,3733.708
10:12:14.0,6506.879,6253.937,4144.67
10:12:15.0,6945.455,6982.681,4307.468
10:12:16.0,6894.621,7167.325,4211.73
10:12:17.0,6602.242,6977.791,3724.483
10:12:18.0,6448.969,6541.883,4262.681
10:12:19.0,7016.111,7098.031,4895.679
10:12:20.0,7098.192,7748.267,5717.583
10:12:21.0,7718.321,7606.196,5358.586
10:12:22.0,8496.029,8062.487,5258.151
10:12:23.0,7598.686,8856.24,5813.267
10:12:24.0,8441.905,8179.227,5690.267
10:12:25.0,7792.616,8407.096,5710.272
10:12:26.0,8361.824,8722.302,5465.349
10:12:27.0,8880.31,8539.131,5517.63
10:12:28.0,8379.26,8535.25,5832.392
10:12:29.0,8889.278,8621.845,5714.296
10:12:30.0,9294.067,8637.589,6206.438
10:12:31.0,8856.228,9115.149,5794.47
10:12:32.0,10269.75,10054.683,5552.379
10:12:33.0,9594.194,9382.341,5891.083
10:12:34.0,9859.432,10195.933,5374.576
10:12:35.0,9455.26,9284.655,5800.776
10:12:36.0,10006.62,10038.863,5463.062
10:12:37.0,9164.367,8805.84,5384.455
10:12:38.0,9498.109,9694.066,5324.021
10:12:39.0,8937.75,9357.19,5783.388
10:12:40.0,8955.075,10118.278,4657.113
10:12:41.0,7542.439,7661.149,4856.587
10:12:42.0,8019.268,8878.475,4928.317
10:12:43.0,8854.546,9017.367,5224.198
10:12:44.0,9106.879,9663.864,5603.322
10:12:45.0,9952.672,9250.226,5396.068
10:12:46.0,10094.111,9646.714,5341.479
10:12:47.0,8925.707,10024.585,5087.057
10:12:48.0,8553.92,9130.433,5143.58
10:12:49.0,9863.742,9605.309,5579.589
10:12:50.0,8419.403,9585.581,5651.206
10:12:51.0,10138.232,9400.892,5635.81
10:12:52.0,9767.138,9509.298,5456.14
10:12:53.0,9323.659,10613.477,5525.283
10:12:54.0,9711.119,9790.734,5357.547
10:12:55.0,8781.258,8993.756,4828.576
10:12:56.0,8358.652,9718.963,5077.492
10:12:57.0,8421.705,8937.749,5049.124
