Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
09:29:30.0,0.0,0.0,0.0
09:29:31.0,1.583,1.248,1.337
09:29:32.0,1.587,3.367,2.73
09:29:33.0,3.905,1.244,1.336
09:29:34.0,3.919,1.493,1.019
09:29:35.0,1.616,1.656,1.626
09:29:36.0,1.609,1.223,0.761
09:29:37.0,1.572,3.893,3.472
09:29:38.0,3.312,1.642,1.171
09:29:39.0,1.201,0.682,1.511
09:29:40.0,0.774,1.298,1.231
09:29:41.0,1.601,1.584,0.732
09:29:42.0,1.145,3.276,3.505
09:29:43.0,3.933,1.001,1.384
09:29:44.0,1.587,0.774,1.428
09:29:45.0,1.573,1.246,1.126
09:29:46.0,1.202,0.657,1.55
09:29:47.0,1.201,2.913,3.528
09:29:48.0,2.942,1.172,1.85
09:29:49.0,1.145,0.791,1.208
09:29:50.0,1.597,1.325,1.55
09:29:51.0,323.442,1.76,34.647
09:29:52.0,1665.35,1198.341,1694.57
09:29:53.0,2578.147,2357.977,3360.06
09:29:54.0,3559.728,3199.156,4137.367
09:29:55.0,3830.783,3266.068,4897.616
09:29:56.0,3721.343,3626.782,5183.844
09:29:57.0,3772.595,3964.615,5090.013
09:29:58.0,3926.704,3650.683,5710.223
09:29:59.0,3994.577,4568.921,5520.115
09:30:00.0,3994.915,3738.255,5542.543
09:30:01.0,4001.966,3987.6,5364.692
09:30:02.0,4428.652,4197.52,5747.299
09:30:03.0,3798.221,3966.831,5717.622
09:30:04.0,4539.744,4536.269,5730.686
09:30:05.0,4214.29,4005.514,6175.593
09:30:06.0,4103.996,4129.109,5598.141
09:30:07.0,4256.027,4077.656,5277.804
09:30:08.0,4369.573,4173.533,5840.614
09:30:09.0,4758.761,4049.59,5566.489
09:30:10.0,4372.911,4485.466,6227.293
09:30:11.0,4380.452,4407.713,5894.369
09:30:12.0,4962.162,4286.123,5717.644
09:30:13.0,4359.874,3761.292,5822.035
09:30:14.0,5048.338,4238.898,5659.134
09:30:15.0,4484.409,4016.654,6222.302
09:30:16.0,5241.905,3903.345,6248.32
09:30:17.0,5579.131,4577.896,6613.094
09:30:18.0,5475.239,4832.0,6530.395
09:30:19.0,5255.641,4619.959,6822.935
09:30:20.0,5136.354,4498.611,6305.864
09:30:21.0,4692.422,4672.976,6122.953
09:30:22.0,5067.22,4847.134,6908.063
09:30:23.0,5658.338,5097.72,7075.221
09:30:24.0,5363.614,4952.571,6901.389
09:30:25.0,4832.035,5613.251,6648.356
09:30:26.0,5154.839,5087.526,6899.931
09:30:27.0,5492.701,5029.673,7133.344
09:30:28.0,5012.513,4897.443,6804.776
09:30:29.0,5598.946,5126.087,6616.616
09:30:30.0,5737.127,4422.034,6420.429
09:30:31.0,5234.004,4986.445,7262.101
09:30:32.0,5917.203,5425.009,7012.724
09:30:33.0,5498.277,4984.209,7399.829
09:30:34.0,5636.961,5662.0,7258.99
09:30:35.0,4968.308,5498.27,6532.615
09:30:36.0,5115.715,4886.736,6793.437
09:30:37.0,5298.213,5944.838,6762.869
09:30:38.0,5229.525,4842.448,6755.443
09:30:39.0,5041.608,5495.581,7017.996
09:30:40.0,5118.936,4961.081,6483.146
09:30:41.0,5684.415,5758.074,7063.166
09:30:42.0,4977.788,5057.766,6568.082
09:30:43.0,5206.866,5283.622,7082.046
09:30:44.0,4822.824,5394.759,6794.666
09:30:45.0,5057.035,4767.053,6604.633
09:30:46.0,5366.328,5117.455,6829.201
09:30:47.0,4963.257,5097.315,7068.278
09:30:48.0,4973.634,5929.687,6959.889
09:30:49.0,4725.675,5392.384,6248.468
09:30:50.0,5027.19,5098.878,6832.396
09:30:51.0,4758.954,4972.2,6867.226
09:30:52.0,5130.024,5403.894,6564.711
09:30:53.0,5132.06,5115.412,6038.795
09:30:54.0,4100.29,4520.118,6680.694
09:30:55.0,4721.465,4269.24,6413.261
09:30:56.0,4730.782,4645.795,6663.424
09:30:57.0,4237.235,3255.19,4904.433
09:30:58.0,5131.595,3157.374,5073.825
09:30:59.0,4226.417,4424.607,6538.075
09:31:00.0,4800.191,2966.592,4402.327
09:31:01.0,5304.426,2947.94,5452.482
09:31:02.0,2859.618,4529.427,4740.716
09:31:03.0,4768.341,3088.276,4689.916
09:31:04.0,4975.122,3977.095,5066.676
09:31:05.0,3527.88,4434.874,5233.732
09:31:06.0,4943.496,3819.279,5291.459
09:31:07.0,5218.519,5130.09,6233.55
09:31:08.0,3517.569,4341.264,5328.508
09:31:09.0,4264.5,4419.881,5060.712
09:31:10.0,4258.602,5342.66,6794.041
09:31:11.0,4402.648,3460.579,4284.267
09:31:12.0,3899.805,5173.207,6211.199
09:31:13.0,3743.054,5432.562,5868.772
09:31:14.0,4706.83,5572.507,6604.071
09:31:15.0,3513.48,4511.628,5139.775
09:31:16.0,4719.218,4334.226,5593.8
09:31:17.0,5176.083,5412.012,6821.001
09:31:18.0,3471.606,4354.054,4979.344
09:31:19.0,5154.001,4484.042,6471.794
09:31:20.0,4032.895,5202.119,6146.073
09:31:21.0,5156.391,3491.46,4710.265
09:31:22.0,5342.604,5017.634,6701.73
09:31:23.0,5208.576,5158.201,7232.297
09:31:24.0,3525.418,5358.877,6979.066
09:31:25.0,4246.412,2208.631,3641.793
09:31:26.0,5298.102,5357.7,6791.073
09:31:27.0,4719.211,5295.231,7310.416
