Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
17:22:45.0,0.0,,0.0
17:22:46.0,1.608,0.0,0.816
17:22:47.0,1.624,1.17,3.825
17:22:48.0,1.607,4.11,1.168
17:22:49.0,3.094,1.156,0.761
17:22:50.0,1.64,1.534,1.595
17:22:51.0,1.606,1.103,1.574
17:22:52.0,0.774,0.791,3.748
17:22:53.0,1.242,3.841,1.183
17:22:54.0,2.958,1.17,1.557
17:22:55.0,372.94,2.021,1670.15
17:22:56.0,2915.037,1648.025,6779.951
17:22:57.0,7824.823,6454.733,9076.694
17:22:58.0,8007.566,9996.813,9077.56
17:22:59.0,7884.01,9409.977,9191.492
17:23:00.0,7516.869,9187.89,9124.71
17:23:01.0,7923.435,8668.202,9211.213
17:23:02.0,7863.345,9068.526,9268.915
17:23:03.0,7915.24,8779.318,9625.596
17:23:04.0,7921.046,8316.13,9297.832
17:23:05.0,8811.939,8302.307,9268.55
17:23:06.0,8588.722,8216.619,9760.188
17:23:07.0,8069.796,8164.611,9604.112
17:23:08.0,8556.468,8197.589,9126.166
17:23:09.0,8777.846,8565.125,8955.04
17:23:10.0,8853.911,8363.321,9347.859
17:23:11.0,8879.289,8624.468,9010.972
17:23:12.0,9077.225,8448.017,9068.791
17:23:13.0,9112.288,8495.862,9032.943
17:23:14.0,8717.843,8495.547,9202.028
17:23:15.0,9160.213,8435.531,8796.969
17:23:16.0,9362.977,8513.423,8705.163
17:23:17.0,9551.094,8562.656,8655.181
17:23:18.0,9351.426,8489.438,8680.513
17:23:19.0,9391.937,8585.493,8757.625
17:23:20.0,9373.599,8431.601,8776.303
17:23:21.0,9389.501,8558.283,8697.833
17:23:22.0,9512.03,8478.389,8793.288
17:23:23.0,9464.563,8604.574,8877.485
17:23:24.0,9446.419,8678.291,8781.77
17:23:25.0,9429.483,8531.905,8943.057
17:23:26.0,9289.268,8472.509,8961.758
17:23:27.0,9152.63,8448.905,8930.372
17:23:28.0,9295.181,8429.308,8953.374
17:23:29.0,9217.518,8422.081,8991.41
17:23:30.0,9176.945,8514.108,8929.871
17:23:31.0,9178.578,8414.27,9052.523
17:23:32.0,9178.325,8484.355,8879.837
17:23:33.0,9146.463,8426.519,9008.918
17:23:34.0,9133.659,8509.666,8975.972
17:23:35.0,9129.858,8488.637,8995.008
17:23:36.0,9033.789,8459.089,8956.833
17:23:37.0,9345.951,8432.991,9005.687
17:23:38.0,9206.304,8515.092,8889.908
17:23:39.0,9112.955,8451.047,8930.725
17:23:40.0,9084.903,8678.928,8903.913
17:23:41.0,8943.674,8851.316,8780.96
17:23:42.0,9194.784,9008.387,8398.234
17:23:43.0,9453.863,8860.298,8634.721
17:23:44.0,9255.501,9120.692,8462.245
17:23:45.0,9559.359,8916.625,8505.567
