Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
09:22:36.0,0.0,,0.0
09:22:37.0,4.342,0.0,4.1
09:22:38.0,1.669,3.411,1.11
09:22:39.0,3.334,1.152,1.39
09:22:40.0,1.2,1.567,1.168
09:22:41.0,1.225,1.41,1.838
09:22:42.0,1.618,1.185,3.5
09:22:43.0,1.596,3.809,1.361
09:22:44.0,3.543,1.791,0.973
09:22:45.0,1.596,1.028,0.934
09:22:46.0,1.646,1.172,1.46
09:22:47.0,1.191,0.791,3.325
09:22:48.0,1.647,3.493,1.007
09:22:49.0,3.516,1.241,1.71
09:22:50.0,1.23,1.551,1.368
09:22:51.0,1.594,0.732,0.979
09:22:52.0,1.646,1.485,3.854
09:22:53.0,1.645,2.942,93.75
09:22:54.0,269.981,12.664,1160.139
09:22:55.0,2096.865,1795.846,2094.294
09:22:56.0,1382.509,2013.985,1542.494
09:22:57.0,1331.416,1274.129,1324.883
09:22:58.0,1486.141,1667.98,2273.64
09:22:59.0,1371.551,2288.153,1787.243
09:23:00.0,1271.957,1308.431,1251.309
09:23:01.0,2333.802,2458.939,2236.127
09:23:02.0,1356.293,2246.907,1819.556
09:23:03.0,1379.357,1046.303,1190.625
09:23:04.0,1569.48,2313.282,1631.184
09:23:05.0,1377.171,2648.898,1882.219
09:23:06.0,1268.589,1170.058,2258.955
09:23:07.0,1554.138,2639.727,2113.078
09:23:08.0,1827.604,1865.45,2080.511
09:23:09.0,1412.423,1974.471,1114.923
09:23:10.0,2138.403,3182.223,2434.402
09:23:11.0,1531.984,2372.154,2095.991
09:23:12.0,1124.397,1358.124,1160.237
09:23:13.0,1575.569,2498.027,1674.734
09:23:14.0,1420.056,2800.937,2420.361
09:23:15.0,1321.881,1718.196,1022.197
09:23:16.0,1459.139,2147.17,1686.614
09:23:17.0,1818.008,2007.104,1880.653
09:23:18.0,1231.102,1936.139,1063.5
09:23:19.0,1478.092,2502.007,1790.514
09:23:20.0,1809.909,2484.291,1894.355
09:23:21.0,1186.102,1159.569,2132.041
09:23:22.0,1399.806,1489.488,1669.983
09:23:23.0,1711.999,2366.401,2087.209
09:23:24.0,1198.435,1837.115,1426.198
09:23:25.0,1870.914,2646.051,1592.002
09:23:26.0,1478.214,2067.371,2442.023
09:23:27.0,995.678,1909.374,1354.183
09:23:28.0,1830.658,2587.682,1416.338
09:23:29.0,1726.126,1869.383,2168.882
09:23:30.0,1323.749,1813.448,1204.557
09:23:31.0,1723.5,2703.052,2113.069
09:23:32.0,1274.772,2581.719,2198.25
09:23:33.0,1542.189,2228.161,1437.323
09:23:34.0,1531.906,2347.747,2083.93
09:23:35.0,1465.818,2237.415,1130.887
09:23:36.0,1971.527,1540.482,1015.687
09:23:37.0,1366.137,2861.838,1962.797
09:23:38.0,1046.394,2964.242,2091.692
09:23:39.0,1511.765,2056.966,961.426
09:23:40.0,1870.608,3390.29,1890.463
09:23:41.0,1407.806,2107.953,2047.491
09:23:42.0,1625.096,1834.18,1233.045
09:23:43.0,1634.393,2737.884,1616.289
09:23:44.0,1544.695,1751.043,1706.319
09:23:45.0,1584.095,1542.299,1677.154
09:23:46.0,1724.241,2569.598,2128.98
09:23:47.0,1225.978,1961.458,2368.823
09:23:48.0,1556.534,1857.216,1329.78
09:23:49.0,1164.92,2314.357,1751.673
09:23:50.0,1940.864,2138.808,1894.707
09:23:51.0,1913.955,1868.844,1809.232
09:23:52.0,1340.793,2223.396,1476.694
09:23:53.0,1271.959,1991.053,2175.407
09:23:54.0,1713.719,1907.192,1315.356
09:23:55.0,1115.874,2494.589,1688.433
09:23:56.0,1841.465,2241.146,2061.892
09:23:57.0,1857.354,1647.842,1306.22
09:23:58.0,902.081,2977.859,2010.513
09:23:59.0,1662.941,1988.652,1950.53
09:24:00.0,1970.843,1654.251,1623.085
09:24:01.0,1322.991,2383.405,2042.452
09:24:02.0,2256.898,1929.114,2603.094
09:24:03.0,1539.324,1247.913,1612.69
09:24:04.0,1412.679,1980.599,1767.158
09:24:05.0,1202.189,2015.226,2095.942
09:24:06.0,1592.306,1426.445,1180.022
09:24:07.0,920.624,1962.396,2690.547
09:24:08.0,946.036,2290.332,2061.545
09:24:09.0,1747.828,1657.783,1257.982
09:24:10.0,1557.642,1877.165,2320.159
09:24:11.0,1409.47,2056.437,1640.454
09:24:12.0,1780.556,1658.462,1223.747
09:24:13.0,1660.327,1184.303,2163.334
09:24:14.0,852.097,1520.492,1251.314
09:24:15.0,1698.709,1861.05,964.915
09:24:16.0,1766.588,2449.986,2180.389
09:24:17.0,1028.106,2024.978,1367.913
09:24:18.0,1953.069,2469.066,1131.698
09:24:19.0,1262.788,2935.695,1738.154
09:24:20.0,1374.546,2771.38,2211.398
09:24:21.0,1612.283,2150.987,1121.359
09:24:22.0,1617.742,1354.786,2095.578
09:24:23.0,1282.229,1761.05,1345.679
09:24:24.0,1869.539,1843.229,1834.121
09:24:25.0,1562.837,2299.571,1905.033
09:24:26.0,1207.407,1356.262,1116.83
09:24:27.0,1736.285,2316.4,1560.502
09:24:28.0,1612.239,2675.468,2479.249
09:24:29.0,1383.132,1356.631,920.094
09:24:30.0,1684.2,2284.01,1574.326
09:24:31.0,2018.909,1905.496,2209.685
09:24:32.0,1083.615,1817.361,1384.754
09:24:33.0,1630.547,2590.304,1772.663
09:24:34.0,1598.462,2324.305,2072.665
09:24:35.0,1709.197,1847.895,1145.087
09:24:36.0,1804.814,2315.196,2255.657
09:24:37.0,1091.213,2058.621,1622.555
09:24:38.0,1634.272,1629.458,1685.794
09:24:39.0,1792.083,2856.889,1117.411
09:24:40.0,1486.026,1955.535,1752.661
09:24:41.0,1812.396,1542.704,1087.054
09:24:42.0,1863.173,2406.507,2310.462
09:24:43.0,1013.694,1935.886,1920.693
09:24:44.0,1509.006,2059.082,1146.377
09:24:45.0,1475.986,2976.698,2188.551
09:24:46.0,1165.411,2466.815,2102.847
09:24:47.0,2101.702,2005.494,994.143
09:24:48.0,1663.758,2202.597,1861.426
09:24:49.0,999.011,2013.633,2114.866
09:24:50.0,1645.468,1732.0,1285.699
09:24:51.0,1642.827,1964.923,2053.383
09:24:52.0,1103.649,2176.405,2296.585
09:24:53.0,1728.244,1855.721,1154.589
09:24:54.0,1747.497,2364.319,1697.502
09:24:55.0,1009.685,1845.87,2047.024
09:24:56.0,1846.301,1889.444,885.483
09:24:57.0,1765.051,3205.607,1388.599
09:24:58.0,1077.798,2052.391,1429.453
09:24:59.0,1862.074,1797.5,1087.865
09:25:00.0,1104.236,2707.386,1719.105
09:25:01.0,1663.116,2058.293,2256.22
09:25:02.0,1449.751,1684.36,1411.32
09:25:03.0,1324.299,2059.493,2143.148
09:25:04.0,1417.428,1820.651,1902.898
09:25:05.0,1567.118,1964.272,1029.855
09:25:06.0,1620.998,2968.642,2043.61
09:25:07.0,936.883,2295.998,1732.085
09:25:08.0,1297.977,1787.882,1062.568
09:25:09.0,2366.997,2262.01,1872.533
09:25:10.0,1472.683,2182.389,2015.29
09:25:11.0,1573.246,1821.096,1203.566
09:25:12.0,1127.719,2556.246,3257.144
09:25:13.0,919.781,2418.782,2425.166
09:25:14.0,1618.511,2028.096,1201.66
09:25:15.0,1512.99,2432.111,3147.02
09:25:16.0,1402.38,2487.795,1533.727
09:25:17.0,1975.965,2709.282,1249.656
09:25:18.0,1744.463,1902.99,2900.767
09:25:19.0,706.796,2852.326,2972.841
09:25:20.0,1378.127,1613.19,1254.175
09:25:21.0,1553.871,1744.019,2433.909
09:25:22.0,1627.482,2140.487,2310.432
09:25:23.0,1180.431,1704.498,1678.786
09:25:24.0,1562.382,2452.516,1737.823
09:25:25.0,978.205,1651.267,2491.732
09:25:26.0,1683.133,1553.486,1228.163
09:25:27.0,1998.375,2657.713,1755.796
09:25:28.0,1305.195,1428.882,1990.94
09:25:29.0,1714.791,1409.109,2066.074
09:25:30.0,1362.336,2263.411,1417.2
09:25:31.0,1465.638,2633.636,1276.263
09:25:32.0,1695.685,969.489,2519.423
09:25:33.0,1013.11,2134.458,1832.798
09:25:34.0,1748.656,1597.823,1212.674
