Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
15:10:51.0,,0.0,0.0
15:10:52.0,0.0,,
15:10:53.0,1.456,1.627,0.793
15:10:54.0,3.343,1.185,1.212
15:10:55.0,0.793,1.186,1.211
15:10:56.0,1.194,1.538,1.198
15:10:57.0,1.406,3.291,2.538
15:10:58.0,0.588,1.55,0.793
15:10:59.0,2.739,1.538,1.195
15:11:00.0,301.745,1.672,2.12
15:11:01.0,4764.905,4182.728,4597.728
15:11:02.0,6888.701,7866.284,10181.385
15:11:03.0,7633.249,8245.473,9768.817
15:11:04.0,6973.452,8450.426,9406.76
15:11:05.0,6849.234,8541.397,9358.531
15:11:06.0,6928.41,8337.747,9450.238
15:11:07.0,6874.63,8688.911,9511.233
15:11:08.0,7874.078,8446.284,9122.91
15:11:09.0,8590.565,8416.894,8944.833
15:11:10.0,9203.632,7747.198,8512.495
15:11:11.0,8897.667,8453.82,8982.29
15:11:12.0,8727.404,8122.747,8835.949
15:11:13.0,8879.739,8160.638,8793.024
15:11:14.0,8742.993,8269.559,8877.844
15:11:15.0,8677.606,8252.101,8847.086
15:11:16.0,8693.217,8287.456,8868.372
15:11:17.0,8955.124,8314.134,8663.394
15:11:18.0,9019.424,8431.921,8535.091
15:11:19.0,8970.133,8470.419,8161.489
15:11:20.0,8643.367,9011.79,8590.575
15:11:21.0,8592.223,8959.232,8126.539
15:11:22.0,8590.048,8990.443,8420.911
15:11:23.0,8679.127,9091.803,8298.191
15:11:24.0,8259.901,9150.471,8208.041
15:11:25.0,7918.913,9613.545,8010.842
15:11:26.0,8027.269,9765.069,7985.715
15:11:27.0,8545.141,9846.679,7810.098
15:11:28.0,8858.359,9086.757,8146.02
15:11:29.0,9037.174,9024.921,8044.848
15:11:30.0,8905.302,8980.065,8096.554
15:11:31.0,8923.01,9071.38,8029.733
15:11:32.0,8615.35,9086.419,8085.089
15:11:33.0,8847.487,8680.47,7860.671
15:11:34.0,8811.283,9254.402,8198.645
15:11:35.0,8933.988,9056.254,8060.134
15:11:36.0,8988.557,8864.685,8106.981
15:11:37.0,8934.176,8905.095,8270.14
15:11:38.0,8821.418,8846.525,8157.781
15:11:39.0,8853.037,8838.369,8239.957
15:11:40.0,8809.941,8835.928,8329.509
15:11:41.0,8648.63,8838.225,8409.54
15:11:42.0,8725.339,8841.959,8335.402
15:11:43.0,9020.629,8752.809,8002.16
15:11:44.0,9018.104,9064.727,8300.133
15:11:45.0,8903.139,8978.767,8141.684
15:11:46.0,8769.959,8762.737,7973.434
15:11:47.0,8844.804,9118.811,8490.336
15:11:48.0,8824.362,8774.718,8389.475
15:11:49.0,8769.378,8727.54,8435.63
15:11:50.0,8935.488,8500.457,8534.136
15:11:51.0,8863.332,8319.263,8658.577
15:11:52.0,8603.873,8277.666,8804.606
15:11:53.0,8558.495,8292.702,8874.614
15:11:54.0,8891.424,8509.777,8678.162
15:11:55.0,8761.636,8458.445,8763.041
15:11:56.0,8718.051,8534.28,8761.084
15:11:57.0,8721.468,8454.439,8662.14
15:11:58.0,8680.285,8559.069,8795.423
15:11:59.0,8707.843,8616.954,8804.982
15:12:00.0,8433.462,8351.282,9090.807
15:12:01.0,8638.147,8306.242,8879.479
15:12:02.0,8371.63,8256.744,8888.958
15:12:03.0,8660.691,8495.847,9076.543
15:12:04.0,8711.479,8387.779,8971.833
15:12:05.0,8629.662,8305.988,9013.518
15:12:06.0,8622.251,8318.863,8977.076
15:12:07.0,8717.765,8376.419,9009.305
15:12:08.0,8792.278,8321.041,8877.872
15:12:09.0,8554.673,8414.983,8728.025
15:12:10.0,8555.621,8536.501,8698.954
