Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
16:55:14.0,,0.0,0.0
16:55:15.0,0.0,,
16:55:16.0,1.402,1.582,1.218
16:55:17.0,3.66,3.596,3.847
16:55:18.0,1.198,1.185,1.218
16:55:19.0,3.329,1.16,0.796
16:55:20.0,1.203,1.216,1.212
16:55:21.0,1.197,1.55,0.797
16:55:22.0,1.201,3.367,3.195
16:55:23.0,1.172,0.761,1.607
16:55:24.0,2.531,1.202,1.618
16:55:25.0,1.601,0.774,1.201
16:55:26.0,1.179,1.568,0.797
16:55:27.0,1.609,2.514,2.938
16:55:28.0,0.797,1.691,1.203
16:55:29.0,2.959,1.048,1.212
16:55:30.0,0.804,1.186,1.619
16:55:31.0,1.206,1.156,1.245
16:55:32.0,1082.505,430.33,403.825
16:55:33.0,2958.602,2414.586,2076.742
16:55:34.0,3295.75,3519.387,2660.783
16:55:35.0,3539.749,4101.549,3366.104
16:55:36.0,3970.867,4614.808,3758.245
16:55:37.0,3836.152,4829.268,3762.93
16:55:38.0,3679.004,4638.104,3409.848
16:55:39.0,3915.38,4695.915,3601.338
16:55:40.0,4375.798,4610.015,3594.324
16:55:41.0,4830.032,5262.537,4020.211
16:55:42.0,4526.778,5130.943,3976.75
16:55:43.0,4752.583,4795.402,3831.967
16:55:44.0,4332.825,5337.273,3724.05
16:55:45.0,4591.16,5333.919,4183.853
16:55:46.0,4706.039,5147.142,4061.999
16:55:47.0,4327.967,5203.565,4066.451
16:55:48.0,4509.501,5702.085,4102.678
16:55:49.0,4963.399,4899.206,3729.065
16:55:50.0,4609.692,5070.884,3928.378
16:55:51.0,4944.238,5110.835,4195.637
16:55:52.0,5128.023,5690.841,4180.567
16:55:53.0,4890.297,5415.8,4144.146
16:55:54.0,4968.738,5534.288,4253.366
16:55:55.0,5153.123,5696.534,4431.416
16:55:56.0,5069.353,5900.142,4564.44
