Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
16:01:18.0,0.0,,0.0
16:01:19.0,3.409,0.0,0.816
16:01:20.0,4.796,1.143,1.292
16:01:21.0,1.203,2.065,1.229
16:01:22.0,1.191,0.791,3.375
16:01:23.0,1.237,2.532,1.256
16:01:24.0,3.387,1.209,1.19
16:01:25.0,1.21,1.172,0.86
16:01:26.0,1.635,1.189,0.797
16:01:27.0,1.218,1.156,3.555
16:01:28.0,1.219,3.518,1.635
16:01:29.0,2.974,0.791,1.236
16:01:30.0,1.236,1.185,1.197
16:01:31.0,1.221,1.567,1.203
16:01:32.0,1.209,1.172,2.541
16:01:33.0,1.228,3.262,1.228
16:01:34.0,3.094,1.172,1.647
16:01:35.0,1.237,0.791,18.819
16:01:36.0,221.774,43.88,696.954
16:01:37.0,689.158,1057.557,1484.466
16:01:38.0,1083.638,1103.464,1434.328
16:01:39.0,1123.933,1689.529,1450.583
16:01:40.0,1421.488,1169.79,1379.233
16:01:41.0,956.846,973.397,2147.189
16:01:42.0,763.312,1403.512,1513.458
16:01:43.0,1268.511,1222.126,1444.883
16:01:44.0,926.134,1178.184,1279.002
16:01:45.0,655.785,967.839,803.931
16:01:46.0,1786.509,1448.726,1618.227
16:01:47.0,879.3,1747.916,1459.969
16:01:48.0,1579.783,1634.909,801.807
16:01:49.0,1158.999,1363.307,1807.584
16:01:50.0,1449.04,2461.089,963.103
16:01:51.0,1432.217,1421.065,1688.321
16:01:52.0,931.568,1499.73,2193.395
16:01:53.0,2118.001,2234.903,2133.32
16:01:54.0,1619.239,1961.037,2453.601
16:01:55.0,730.885,2595.331,2674.784
16:01:56.0,1205.162,2114.443,1926.09
16:01:57.0,1605.435,1639.186,1085.516
16:01:58.0,926.19,2533.046,1663.731
16:01:59.0,1935.648,3358.703,2004.235
16:02:00.0,1496.503,1895.72,929.887
16:02:01.0,1589.3,1902.507,2210.064
16:02:02.0,1918.783,1696.085,1125.954
16:02:03.0,1676.5,1707.754,2721.829
16:02:04.0,1051.38,1221.9,2509.231
16:02:05.0,1914.899,1764.681,1728.57
16:02:06.0,1803.849,1468.892,1565.752
16:02:07.0,845.19,2554.929,1647.786
16:02:08.0,2073.392,2649.933,832.341
16:02:09.0,1389.5,1797.427,2069.125
16:02:10.0,772.37,2849.255,1898.45
16:02:11.0,1422.127,1430.163,1329.459
16:02:12.0,1484.832,2310.698,2105.099
16:02:13.0,1619.525,2332.17,2592.084
16:02:14.0,1413.379,1236.255,1083.53
16:02:15.0,1350.565,2122.062,2448.836
16:02:16.0,725.692,1323.623,1501.9
16:02:17.0,1913.327,1826.554,1203.485
16:02:18.0,1981.837,1731.523,1867.831
16:02:19.0,1236.343,657.149,1144.125
16:02:20.0,1242.794,1810.035,2418.041
16:02:21.0,672.919,1694.271,1952.831
16:02:22.0,2315.056,1540.706,1510.229
16:02:23.0,1647.531,1116.067,2428.978
16:02:24.0,1086.869,1157.32,1137.913
16:02:25.0,1916.29,1774.662,2415.141
16:02:26.0,1635.67,1246.96,2158.977
16:02:27.0,1587.862,1994.4,1900.825
16:02:28.0,1604.523,1728.648,1649.901
16:02:29.0,1695.616,1211.339,2232.951
16:02:30.0,932.812,2129.434,2942.477
16:02:31.0,1866.253,1755.28,1530.685
