Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
16:25:15.0,0.0,0.0,0.0
16:25:16.0,4.627,3.114,1.488
16:25:17.0,1.126,1.701,2.764
16:25:18.0,3.306,0.791,1.65
16:25:19.0,0.791,1.187,1.463
16:25:20.0,1.143,0.791,1.567
16:25:21.0,1.172,2.913,1.686
16:25:22.0,1.55,0.835,3.331
16:25:23.0,2.913,1.595,1.066
16:25:24.0,1.521,0.773,0.949
16:25:25.0,0.791,1.192,1.464
16:25:26.0,1.538,3.523,1.237
16:25:27.0,1.126,0.794,3.26
16:25:28.0,3.493,1.172,1.634
16:25:29.0,0.791,1.573,1.002
16:25:30.0,1.143,0.791,1.633
16:25:31.0,141.791,2.914,1.415
16:25:32.0,1649.462,843.257,769.503
16:25:33.0,2909.21,2264.294,1892.769
16:25:34.0,3941.885,2726.473,3207.135
16:25:35.0,4174.772,3333.908,3308.421
16:25:36.0,3724.941,2929.983,3086.97
16:25:37.0,4248.095,3034.178,2955.717
16:25:38.0,4874.557,3281.321,3623.342
16:25:39.0,4350.108,3456.015,3870.131
16:25:40.0,4417.402,3557.19,3563.404
16:25:41.0,5177.459,3690.344,4113.73
16:25:42.0,4737.27,3457.364,3828.059
16:25:43.0,4671.493,4095.317,4234.257
16:25:44.0,5232.517,3835.748,3961.939
16:25:45.0,5020.476,3565.391,3834.508
16:25:46.0,5179.394,4229.415,4284.104
16:25:47.0,5113.483,3674.765,3432.316
16:25:48.0,4772.852,4465.004,4225.904
16:25:49.0,4536.907,3904.989,3952.553
16:25:50.0,5755.116,4179.563,4069.487
16:25:51.0,5139.077,4402.681,3968.186
16:25:52.0,5110.455,4159.83,4159.881
16:25:53.0,5189.544,4557.539,4362.203
16:25:54.0,5179.567,3844.877,4112.385
16:25:55.0,5325.944,4265.387,4351.379
16:25:56.0,5102.913,3891.602,4334.538
16:25:57.0,5583.123,4405.148,4338.49
16:25:58.0,5218.979,4198.962,4524.473
16:25:59.0,5506.545,3504.557,4450.103
16:26:00.0,5255.865,4566.587,4400.55
16:26:01.0,5583.109,4154.898,4688.916
16:26:02.0,5431.924,4466.011,4673.778
16:26:03.0,5642.602,3513.066,4501.14
16:26:04.0,5481.183,4462.504,4325.062
16:26:05.0,6024.579,4267.23,4521.111
16:26:06.0,5503.588,4651.741,4685.497
16:26:07.0,5513.364,4101.716,4165.036
16:26:08.0,6253.741,4428.989,4464.152
16:26:09.0,5594.345,4239.68,5100.223
16:26:10.0,5604.083,4427.052,4549.541
16:26:11.0,5925.266,4690.224,4245.277
16:26:12.0,5600.244,4332.249,4507.113
16:26:13.0,5631.314,4661.567,4700.076
16:26:14.0,5398.933,4822.0,4379.917
16:26:15.0,5991.029,4258.92,3940.878
16:26:16.0,5034.76,4353.877,4751.993
16:26:17.0,5353.957,4714.342,4613.016
16:26:18.0,5237.214,3904.231,4737.053
16:26:19.0,4995.986,3396.112,4709.972
16:26:20.0,4150.141,3806.374,3469.215
16:26:21.0,6261.633,4008.353,4940.41
16:26:22.0,3007.738,2208.969,2839.022
16:26:23.0,5783.478,4375.93,4199.338
16:26:24.0,4514.432,4535.587,4823.976
16:26:25.0,5589.138,3293.236,3409.917
16:26:26.0,6595.225,4183.603,3884.448
16:26:27.0,3185.523,3349.292,4239.655
16:26:28.0,7045.093,3871.777,4674.729
16:26:29.0,5146.447,5277.18,5508.093
16:26:30.0,6316.375,3263.385,3765.08
16:26:31.0,7217.556,5411.027,5630.37
16:26:32.0,6018.56,4441.994,5607.136
16:26:33.0,5973.158,5396.891,5538.842
16:26:34.0,5214.54,3436.041,3418.924
