Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
10:47:36.0,0.0,,0.0
10:47:37.0,1.5,0.0,0.98
10:47:38.0,1.261,1.258,1.272
10:47:39.0,5.612,1.308,1.286
10:47:40.0,1.188,0.984,1.254
10:47:41.0,1.231,1.619,6.343
10:47:42.0,1.278,5.606,1.293
10:47:43.0,1.244,1.361,0.957
10:47:44.0,75.935,1.611,1.609
10:47:45.0,1.609,1.722,1.58
10:47:46.0,0.959,1.306,5.292
10:47:47.0,1.532,6.665,0.999
10:47:48.0,1.603,1.293,1.275
10:47:49.0,5.178,0.999,1.35
10:47:50.0,1.226,1.366,1.21
10:47:51.0,0.55,1.638,5.626
10:47:52.0,0.961,5.301,1.564
10:47:53.0,1.225,0.998,1.669
10:47:54.0,6.584,1.025,1.275
10:47:55.0,1.239,1.32,1.577
10:47:56.0,1.215,0.987,5.264
10:47:57.0,0.97,5.668,1.576
10:47:58.0,0.982,1.31,1.563
10:47:59.0,5.3,0.985,398.876
10:48:00.0,636.582,346.843,1686.509
10:48:01.0,2374.565,1035.632,3610.924
10:48:02.0,3289.896,1055.847,2856.107
10:48:03.0,4269.872,1929.644,4627.468
10:48:04.0,4105.635,1964.297,4210.586
10:48:05.0,4462.286,1895.495,4657.446
10:48:06.0,4213.215,1816.959,4430.759
10:48:07.0,4154.941,1873.198,4648.558
10:48:08.0,4695.718,2129.832,5120.602
10:48:09.0,4423.522,2060.129,4778.89
10:48:10.0,4745.627,1919.829,5147.354
10:48:11.0,4817.77,2212.413,4682.695
10:48:12.0,5172.645,2058.192,5013.824
10:48:13.0,5444.097,2020.674,5221.709
10:48:14.0,4662.352,2640.332,5334.007
10:48:15.0,5208.162,2057.726,5362.25
10:48:16.0,4240.975,2720.651,5347.368
10:48:17.0,5083.582,2982.208,4992.608
10:48:18.0,4817.315,2805.531,4677.568
10:48:19.0,5195.098,3021.257,5444.639
10:48:20.0,5594.75,2849.044,5838.839
10:48:21.0,5919.18,2391.14,5166.212
10:48:22.0,5495.404,2944.817,5330.413
10:48:23.0,6265.045,2687.916,4485.44
10:48:24.0,5743.239,2429.543,5105.019
10:48:25.0,4622.81,3157.443,5525.04
10:48:26.0,5267.689,2798.464,5692.198
10:48:27.0,4978.39,2878.032,6061.945
10:48:28.0,5927.45,3058.158,5830.292
10:48:29.0,6259.945,2814.085,5373.466
10:48:30.0,5652.072,2577.16,6718.96
10:48:31.0,6313.073,2818.643,5550.466
10:48:32.0,6522.189,2745.916,6272.21
10:48:33.0,7076.884,3090.758,6047.312
10:48:34.0,6001.138,3257.121,6100.546
10:48:35.0,6312.725,2873.025,6213.669
10:48:36.0,7075.91,3200.614,6613.945
10:48:37.0,7026.211,3016.011,6615.238
10:48:38.0,7394.978,3457.791,6873.081
10:48:39.0,6893.447,3067.743,6618.725
10:48:40.0,7113.139,3664.637,6819.567
10:48:41.0,6619.702,3274.671,7092.751
10:48:42.0,7180.89,2978.768,7206.53
10:48:43.0,6547.074,2399.734,7456.666
10:48:44.0,6238.031,2740.541,7717.927
10:48:45.0,6577.131,3035.236,6950.35
10:48:46.0,7308.461,2743.224,7113.392
10:48:47.0,7706.838,3054.375,6417.085
10:48:48.0,6844.956,3585.165,6629.172
10:48:49.0,7136.755,3726.715,6473.299
10:48:50.0,7750.548,3347.193,7605.02
10:48:51.0,7222.567,3074.655,7846.091
10:48:52.0,7016.198,3186.846,6949.229
10:48:53.0,6135.974,3396.706,6517.264
10:48:54.0,7396.009,3519.113,7181.368
10:48:55.0,7205.736,3183.751,6710.68
10:48:56.0,7226.126,3920.096,6540.834
10:48:57.0,7872.827,3412.968,6964.835
10:48:58.0,7110.31,4069.722,7824.064
10:48:59.0,7223.472,4254.078,6969.267
10:49:00.0,7058.88,3952.794,6888.864
10:49:01.0,7391.623,4234.406,6090.206
10:49:02.0,7305.783,3893.411,7656.065
10:49:03.0,6871.484,4238.636,6834.797
10:49:04.0,7081.909,3956.025,6653.484
10:49:05.0,6863.36,3872.349,7047.534
10:49:06.0,7553.104,4651.839,7279.615
10:49:07.0,7192.295,4121.232,7039.186
10:49:08.0,6656.325,4419.41,6727.908
10:49:09.0,7435.381,3987.797,7054.864
10:49:10.0,7151.416,4691.67,6882.01
10:49:11.0,6469.728,4593.067,6587.214
10:49:12.0,7491.241,4029.692,6694.702
10:49:13.0,7426.028,4217.778,6931.727
10:49:14.0,6454.801,4524.045,7036.71
10:49:15.0,6768.281,4387.303,5892.813
10:49:16.0,7055.263,4609.492,6050.067
10:49:17.0,7563.317,4062.572,7216.86
10:49:18.0,7119.165,4656.954,7025.299
10:49:19.0,6994.451,4221.242,6268.48
10:49:20.0,7463.653,4583.663,6661.693
10:49:21.0,7177.462,4571.489,7541.529
10:49:22.0,6818.282,4366.578,6992.628
10:49:23.0,6651.461,4376.07,6960.479
10:49:24.0,6609.613,4464.241,6188.947
10:49:25.0,,4511.652,
10:49:26.0,6148.088,,6506.245
10:49:27.0,6100.233,4082.181,7166.849
10:49:28.0,6078.653,4445.827,6858.381
10:49:29.0,7115.561,4662.123,6353.107
10:49:30.0,6502.622,4344.07,7287.433
10:49:31.0,6556.192,4795.028,6680.955
10:49:32.0,6900.263,4569.66,5847.208
10:49:33.0,7541.143,4749.1,7274.41
10:49:34.0,6785.002,4903.912,6714.068
10:49:35.0,7391.934,4145.166,6971.193
10:49:36.0,6748.674,4548.684,5828.174
10:49:37.0,7114.557,5173.069,7148.809
10:49:38.0,7470.445,4699.274,6495.024
10:49:39.0,7550.173,4591.531,6827.261
10:49:40.0,6847.057,4827.708,7231.215
10:49:41.0,6193.642,5219.483,6354.711
10:49:42.0,7656.303,4504.485,7106.785
10:49:43.0,7398.635,4458.962,7230.527
10:49:44.0,7187.217,4857.368,7014.872
10:49:45.0,6989.085,4429.246,6836.577
10:49:46.0,7588.226,4683.541,7220.891
10:49:47.0,7279.798,4389.879,7038.125
10:49:48.0,7303.904,5098.952,6813.075
10:49:49.0,7339.314,4603.551,7276.426
10:49:50.0,6917.675,4304.948,6580.183
10:49:51.0,7386.687,4824.252,6485.943
10:49:52.0,7167.174,4783.635,7190.919
10:49:53.0,6945.601,3914.091,6980.01
10:49:54.0,7012.728,4203.033,5888.573
10:49:55.0,7175.775,4302.821,6284.628
10:49:56.0,7262.658,4807.27,7421.482
10:49:57.0,6965.884,4237.505,7163.18
10:49:58.0,6815.625,4222.679,6958.828
10:49:59.0,4962.945,4509.393,4612.755
10:50:00.0,5.931,4108.989,2.207
10:50:01.0,0.694,1588.14,0.833
10:50:02.0,0.611,268.755,4.696
10:50:03.0,0.613,268.484,0.622
10:50:04.0,0.695,315.304,434.699
10:50:05.0,1002.778,936.544,467.882
10:50:06.0,4424.233,1569.776,6223.707
10:50:07.0,4849.321,5066.806,5110.061
10:50:08.0,6594.632,5807.382,5526.085
10:50:09.0,6519.142,4333.115,6599.375
10:50:10.0,6814.915,4187.635,6233.554
10:50:11.0,7355.151,4266.326,6827.95
10:50:12.0,6521.02,4276.238,6884.817
10:50:13.0,6872.714,4686.422,6525.124
10:50:14.0,6544.58,4315.418,5944.663
10:50:15.0,5116.1,2496.692,4387.391
10:50:16.0,3979.266,1.857,4193.771
10:50:17.0,4002.306,0.895,3037.472
10:50:18.0,2673.289,4.701,3141.399
10:50:19.0,3215.551,0.67,3415.456
10:50:20.0,3654.172,0.688,4082.828
10:50:21.0,4813.323,1264.898,7492.868
10:50:22.0,7979.023,2840.962,7527.349
10:50:23.0,6629.452,3703.103,7152.971
10:50:24.0,7101.462,3911.288,7487.266
10:50:25.0,6289.106,4648.752,6936.182
10:50:26.0,5884.965,4816.466,7049.843
10:50:27.0,6742.547,4538.594,7247.553
10:50:28.0,6855.91,4619.79,7537.402
10:50:29.0,6376.69,4358.092,7088.269
10:50:30.0,7614.291,4625.205,6999.695
10:50:31.0,7532.964,4628.31,7869.173
10:50:32.0,5729.719,4951.241,6710.93
10:50:33.0,3262.348,5518.696,5497.82
10:50:34.0,4535.932,5722.566,2015.095
10:50:35.0,8358.751,3726.634,3122.604
10:50:36.0,7672.44,2774.637,4437.259
10:50:37.0,7964.985,2432.948,6070.69
10:50:38.0,7464.193,3926.525,5905.348
10:50:39.0,7692.853,4673.933,6858.171
10:50:40.0,7802.281,4468.495,7458.034
10:50:41.0,8331.537,3364.312,7509.962
10:50:42.0,7206.688,4358.938,7022.272
10:50:43.0,7073.394,4306.078,5421.897
10:50:44.0,7282.338,5763.255,4635.169
10:50:45.0,8774.36,1145.79,4316.898
10:50:46.0,2071.928,2658.464,1209.93
10:50:47.0,991.428,1409.783,1229.86
10:50:48.0,989.496,1416.21,1233.711
10:50:49.0,989.437,1439.999,1224.937
10:50:50.0,935.458,1455.025,1248.252
10:50:51.0,105.481,1271.062,1239.555
10:50:52.0,1.571,1240.897,1240.862
10:50:53.0,0.98,1236.862,1248.611
10:50:54.0,1.233,1246.666,1246.764
10:50:55.0,5.253,1243.167,990.302
10:50:56.0,1.219,1170.95,298.217
10:50:57.0,37.247,999.86,23.666
10:50:58.0,1.216,215.881,1.298
10:50:59.0,0.978,1.322,1.538
10:51:00.0,6.578,0.989,1.291
10:51:01.0,1.56,1.278,1.31
10:51:02.0,0.979,1.319,6.636
10:51:03.0,1.262,6.673,1.288
10:51:04.0,1.566,1.348,0.938
10:51:05.0,4.958,1.602,1.209
10:51:06.0,0.969,1.593,1.25
10:51:07.0,1.531,1.269,5.289
10:51:08.0,1.009,5.3,1.534
