Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
09:51:19.0,0.0,,0.0
09:51:20.0,1.42,0.0,1.254
09:51:21.0,1.586,0.965,1.204
09:51:22.0,0.969,7.02,5.229
09:51:23.0,1.566,0.989,1.261
09:51:24.0,6.933,0.981,1.504
09:51:25.0,0.979,1.251,1.284
09:51:26.0,1.265,1.305,1.252
09:51:27.0,1.582,4.977,6.627
09:51:28.0,1.254,1.276,1.562
09:51:29.0,76.337,1.968,1.612
09:51:30.0,1.301,0.979,1.203
09:51:31.0,0.932,1.603,0.926
09:51:32.0,1.224,5.694,5.498
09:51:33.0,0.993,1.291,1.64
09:51:34.0,5.012,1.33,1.292
09:51:35.0,1.281,1.315,0.96
09:51:36.0,1.545,1.271,1.544
09:51:37.0,1.276,6.33,6.598
09:51:38.0,1.581,0.981,1.293
09:51:39.0,5.291,1.294,1.198
09:51:40.0,0.954,1.602,1.291
09:51:41.0,1.275,1.333,1.23
09:51:42.0,1.581,4.928,4.981
09:51:43.0,1.643,1.293,669.768
09:51:44.0,1757.634,652.804,5224.534
09:51:45.0,6567.596,1688.866,6182.234
09:51:46.0,6778.056,2668.702,6086.127
09:51:47.0,6107.284,4753.492,4450.179
09:51:48.0,6566.832,5102.65,3728.921
09:51:49.0,6262.069,5060.438,5438.528
09:51:50.0,5050.305,5514.751,5069.163
09:51:51.0,5109.073,5787.115,5517.995
09:51:52.0,5129.35,6040.659,4944.896
09:51:53.0,5686.978,5543.969,5084.805
09:51:54.0,4371.753,6184.56,6987.263
09:51:55.0,2695.658,6199.983,5997.904
09:51:56.0,4588.464,5657.992,4595.497
09:51:57.0,5256.439,4989.81,4847.316
09:51:58.0,4100.42,6220.3,3927.521
09:51:59.0,4930.387,5994.125,5459.148
09:52:00.0,3617.5,5714.415,6643.798
09:52:01.0,4094.077,5921.648,5723.461
09:52:02.0,5756.803,5115.895,4463.797
09:52:03.0,6076.737,6011.608,3858.546
09:52:04.0,6796.093,5929.09,4124.091
09:52:05.0,5409.256,5920.751,4383.148
09:52:06.0,5759.786,5961.583,4742.815
09:52:07.0,5152.448,5826.875,4395.145
09:52:08.0,4459.974,6784.191,5465.557
09:52:09.0,3877.062,6538.457,5324.119
09:52:10.0,4685.328,6411.723,5047.33
09:52:11.0,4247.182,6437.849,5468.77
09:52:12.0,4365.06,6623.618,4598.463
09:52:13.0,4753.285,6517.932,3378.778
09:52:14.0,6428.794,6437.199,3836.745
09:52:15.0,4539.116,6372.132,4618.112
09:52:16.0,5454.935,5753.089,4147.787
09:52:17.0,5350.405,6556.345,3965.803
09:52:18.0,4686.915,5959.357,4287.841
09:52:19.0,5421.716,4368.463,4781.295
09:52:20.0,4656.606,6323.439,4307.437
09:52:21.0,5275.278,5091.996,4674.429
09:52:22.0,4349.882,5673.708,6316.121
09:52:23.0,4424.154,3547.178,4398.158
09:52:24.0,5224.763,5583.79,5775.475
09:52:25.0,4096.447,5811.515,5156.127
09:52:26.0,5137.787,5752.625,5715.334
09:52:27.0,5737.773,3968.469,4013.899
09:52:28.0,7175.266,4877.385,4468.205
09:52:29.0,5377.094,4327.27,5370.815
09:52:30.0,6228.129,5029.229,5927.305
09:52:31.0,4641.045,5140.282,4613.767
