Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
10:27:20.0,0.0,,0.0
10:27:21.0,1.246,0.0,5.297
10:27:22.0,0.967,5.262,1.231
10:27:23.0,5.203,155.871,0.933
10:27:24.0,0.962,39.676,1.232
10:27:25.0,0.939,1.597,1.216
10:27:26.0,1.558,1.609,4.948
10:27:27.0,1.19,5.247,2.278
10:27:28.0,77.976,1.611,1.26
10:27:29.0,0.993,1.276,1.957
10:27:30.0,1.301,1.644,1.201
10:27:31.0,1.597,1.28,5.25
10:27:32.0,1.269,6.341,1.261
10:27:33.0,5.18,1.25,0.952
10:27:34.0,0.977,1.62,1.279
10:27:35.0,1.582,1.652,0.932
10:27:36.0,1.577,1.25,5.277
10:27:37.0,1.272,5.003,1.558
10:27:38.0,5.3,0.963,1.205
10:27:39.0,1.26,1.26,1.292
10:27:40.0,1.005,1.271,1.542
10:27:41.0,1.294,1.279,5.204
10:27:42.0,1.629,5.255,0.921
10:27:43.0,97.466,1.265,1.232
10:27:44.0,1369.996,1.298,832.402
10:27:45.0,2789.389,727.313,2140.179
10:27:46.0,2973.578,1383.121,3246.142
10:27:47.0,3476.919,1208.333,3218.469
10:27:48.0,3313.376,1598.871,3916.499
10:27:49.0,3703.83,1628.004,3893.458
10:27:50.0,3354.62,1626.734,4203.231
10:27:51.0,3875.224,1608.493,3881.776
10:27:52.0,4227.236,1547.932,3874.602
10:27:53.0,3778.714,1774.049,3500.995
10:27:54.0,3506.713,1868.311,3997.953
10:27:55.0,3358.034,1712.79,3782.538
10:27:56.0,4137.534,1589.257,3946.735
10:27:57.0,3408.024,1731.763,3452.025
10:27:58.0,4200.463,1672.31,4424.881
10:27:59.0,3201.658,1561.46,3998.846
10:28:00.0,3634.008,1535.368,4023.122
10:28:01.0,3737.56,1848.443,3449.617
10:28:02.0,4028.93,1812.75,4260.653
10:28:03.0,3798.485,1641.354,4790.15
10:28:04.0,4418.804,1523.08,3815.502
10:28:05.0,3785.165,1522.317,4263.258
10:28:06.0,3802.525,1854.145,3913.922
10:28:07.0,4913.73,1956.021,4703.642
10:28:08.0,5924.692,1499.156,6380.489
10:28:09.0,5219.363,965.466,5273.75
10:28:10.0,4531.816,989.125,5612.957
10:28:11.0,4985.547,1388.267,5660.0
10:28:12.0,4296.667,1245.063,3867.322
10:28:13.0,3754.508,1810.144,4401.316
10:28:14.0,3713.991,2050.353,4535.957
10:28:15.0,3181.75,2046.454,4793.537
10:28:16.0,4165.12,2310.512,4326.55
10:28:17.0,4076.207,2116.944,5283.939
10:28:18.0,3851.49,2002.214,4965.046
10:28:19.0,4154.439,2376.697,4931.423
10:28:20.0,5462.973,2176.593,4196.036
10:28:21.0,3679.587,2331.169,4580.364
10:28:22.0,4411.47,2051.182,4485.304
10:28:23.0,5310.891,1745.664,4813.417
10:28:24.0,5449.853,2253.628,4730.066
10:28:25.0,5362.016,1481.075,6319.284
10:28:26.0,4618.066,1222.428,6218.964
10:28:27.0,5158.342,1404.588,5869.275
10:28:28.0,4588.93,1891.594,6315.868
10:28:29.0,4878.947,2153.837,5679.097
10:28:30.0,5600.417,1664.721,5492.68
10:28:31.0,5034.123,955.38,5616.299
10:28:32.0,4739.382,1714.09,5422.542
10:28:33.0,5374.823,1960.664,5196.425
10:28:34.0,4810.066,1370.26,5626.72
10:28:35.0,5194.313,2111.404,4695.973
10:28:36.0,3516.052,1645.997,6356.066
10:28:37.0,1876.433,1117.027,6362.533
10:28:38.0,4412.248,1420.833,5355.442
10:28:39.0,2148.926,1693.366,3499.946
10:28:40.0,2582.018,1156.235,5631.394
10:28:41.0,5054.557,1637.476,3968.7
10:28:42.0,1026.369,1537.224,1954.99
10:28:43.0,5078.595,942.771,5749.585
10:28:44.0,5941.783,2047.179,4083.865
10:28:45.0,4255.637,1731.287,4421.546
10:28:46.0,5707.079,1487.392,4680.759
10:28:47.0,4117.622,1799.764,2454.394
10:28:48.0,2785.78,1517.071,4120.343
10:28:49.0,3793.795,3623.79,5986.889
10:28:50.0,4753.552,1967.286,5175.828
10:28:51.0,3342.15,2065.761,2105.795
10:28:52.0,4035.991,1458.288,3.24
10:28:53.0,5512.06,2007.809,0.891
10:28:54.0,2344.586,1404.751,0.675
10:28:55.0,2918.491,2905.013,0.607
10:28:56.0,3098.212,1898.128,6.047
10:28:57.0,3440.083,1518.471,3664.731
10:28:58.0,7.362,2013.553,2671.853
10:28:59.0,1.179,2088.847,2606.972
10:29:00.0,0.742,872.532,2970.518
10:29:01.0,0.683,961.966,3753.932
10:29:02.0,2464.779,898.186,2880.401
10:29:03.0,1578.964,1105.177,5484.346
10:29:04.0,896.552,3014.932,7660.102
10:29:05.0,1881.832,3965.144,5736.522
10:29:06.0,1951.048,2941.397,5292.418
10:29:07.0,2708.274,10.098,3765.073
10:29:08.0,1947.819,2.253,3245.828
10:29:09.0,2096.959,1.097,2558.77
10:29:10.0,3625.319,0.682,3132.371
10:29:11.0,5531.563,0.763,6254.885
10:29:12.0,6407.152,801.016,7203.178
10:29:13.0,6921.262,1273.248,8754.837
10:29:14.0,4828.205,877.77,6006.293
10:29:15.0,5908.553,1344.528,4363.335
10:29:16.0,5290.309,1921.345,5117.081
