Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
09:06:49.0,,0.0,0.0
09:06:50.0,0.0,,
09:06:51.0,1.499,1.264,1.407
09:06:52.0,1.283,5.343,4.958
09:06:53.0,1.187,1.563,1.232
09:06:54.0,6.664,1.004,1.261
09:06:55.0,1.232,1.313,1.31
09:06:56.0,1.564,1.013,1.577
09:06:57.0,0.975,5.271,6.553
09:06:58.0,72.624,1.0,1.612
09:06:59.0,1079.093,472.163,490.291
09:07:00.0,4601.221,1569.836,4868.956
09:07:01.0,4144.922,1532.032,8572.956
09:07:02.0,3935.206,2127.117,7378.505
09:07:03.0,4026.759,2569.893,6998.511
09:07:04.0,3517.563,3174.872,6633.488
09:07:05.0,3484.086,3551.621,6190.305
09:07:06.0,3538.349,3552.465,5959.677
09:07:07.0,3998.131,3577.446,5867.009
09:07:08.0,3655.519,3136.019,6604.583
09:07:09.0,3324.602,3095.345,6860.334
09:07:10.0,2452.509,3145.817,8045.925
09:07:11.0,2246.329,3470.66,8027.546
09:07:12.0,2007.776,3723.002,8339.373
09:07:13.0,2320.786,3216.158,8431.904
09:07:14.0,2245.914,3286.474,8807.395
09:07:15.0,1884.181,3381.541,8579.903
09:07:16.0,2022.649,3486.625,9044.958
09:07:17.0,2070.106,3513.16,8750.89
09:07:18.0,2115.8,3327.943,8582.273
09:07:19.0,2216.309,3628.601,8834.0
09:07:20.0,2076.461,3578.92,8654.184
09:07:21.0,2195.14,3701.579,8600.701
09:07:22.0,2209.279,3701.32,8440.289
09:07:23.0,2720.677,3685.909,8202.291
09:07:24.0,2449.719,3509.516,8205.28
09:07:25.0,2753.048,2981.339,8597.85
09:07:26.0,3428.182,2919.955,8054.482
09:07:27.0,3241.637,2912.985,7942.677
09:07:28.0,3165.887,2929.223,8419.551
09:07:29.0,3288.169,3142.113,7778.112
09:07:30.0,3211.318,2885.455,8105.366
09:07:31.0,2648.866,3084.586,8146.798
09:07:32.0,2325.404,3168.116,7553.764
09:07:33.0,2259.682,3489.256,9298.782
09:07:34.0,2073.837,3602.61,8415.43
09:07:35.0,2060.125,3719.927,8581.635
09:07:36.0,2010.137,3774.317,8633.812
09:07:37.0,2050.202,3586.996,8418.745
09:07:38.0,1906.868,4363.4,7969.151
09:07:39.0,2019.005,3670.984,8704.811
09:07:40.0,1945.881,3717.334,8651.629
09:07:41.0,1669.333,3977.789,8670.794
09:07:42.0,1632.206,4097.294,8784.168
09:07:43.0,1668.139,3921.782,8773.963
09:07:44.0,1729.568,3948.396,8672.235
09:07:45.0,1857.713,4088.086,8498.165
09:07:46.0,1751.017,4154.591,8674.946
09:07:47.0,1781.456,3989.028,8695.448
09:07:48.0,2075.53,3923.866,8606.613
09:07:49.0,2178.915,4004.588,8310.834
09:07:50.0,2130.099,3869.535,8010.992
09:07:51.0,2144.807,3890.158,8554.3
09:07:52.0,1848.96,5029.614,7274.15
09:07:53.0,1990.687,5080.395,7228.859
09:07:54.0,2173.282,4194.731,7860.708
09:07:55.0,2191.852,3751.087,8610.653
09:07:56.0,2101.945,3858.953,8323.891
09:07:57.0,2181.091,3910.249,8251.21
09:07:58.0,2325.445,3818.821,8496.693
09:07:59.0,2723.093,3436.42,7689.924
09:08:00.0,2997.454,3559.083,7918.138
09:08:01.0,3394.638,3087.336,7382.635
09:08:02.0,3263.63,2660.148,8474.036
09:08:03.0,3712.342,2316.237,8477.791
09:08:04.0,3629.717,2356.469,8398.429
09:08:05.0,3649.844,2337.89,8345.559
09:08:06.0,3578.19,2606.01,8296.101
09:08:07.0,3470.647,2607.88,8541.393
09:08:08.0,3295.36,2635.429,8326.314
09:08:09.0,3391.567,2693.867,8135.35
09:08:10.0,2986.359,2914.751,8114.782
09:08:11.0,3222.501,2818.182,8153.666
09:08:12.0,3215.206,2830.857,8219.349
09:08:13.0,3263.322,2845.81,8190.901
09:08:14.0,3578.186,2663.15,8130.196
09:08:15.0,3529.054,2717.39,7940.192
09:08:16.0,3705.351,2766.694,7800.288
09:08:17.0,3214.334,3358.706,7479.522
09:08:18.0,3094.791,3238.094,7579.922
09:08:19.0,3151.676,3407.822,7394.239
09:08:20.0,3217.563,3329.808,7610.495
09:08:21.0,3160.877,3468.626,7566.919
09:08:22.0,3113.945,3456.95,7407.819
09:08:23.0,3401.154,3312.425,7616.381
09:08:24.0,4268.781,3110.096,6382.255
09:08:25.0,4441.475,2895.279,6328.747
09:08:26.0,4421.994,2905.222,6580.433
09:08:27.0,4626.616,2881.949,6167.234
09:08:28.0,4528.282,2413.458,6724.472
09:08:29.0,3631.166,2656.076,7474.72
09:08:30.0,3601.021,2781.791,7625.126
09:08:31.0,3422.929,2852.934,8139.257
09:08:32.0,3445.339,2760.961,7732.704
09:08:33.0,3487.842,2814.71,7969.751
09:08:34.0,3556.808,2779.023,7786.979
09:08:35.0,3174.844,3181.156,7960.316
09:08:36.0,3195.14,2932.819,8312.178
09:08:37.0,3112.997,3178.889,8253.288
09:08:38.0,2909.792,3024.031,8038.818
09:08:39.0,3038.518,3071.107,8458.523
09:08:40.0,3041.378,3145.545,7782.69
09:08:41.0,2949.198,2985.027,8576.265
09:08:42.0,2964.158,3149.32,8172.125
09:08:43.0,3115.999,3285.273,8061.365
09:08:44.0,3177.506,3134.104,7839.401
09:08:45.0,3517.314,2924.094,8208.893
09:08:46.0,3498.741,2836.231,8100.855
09:08:47.0,3079.769,3092.315,7928.569
09:08:48.0,3045.722,3171.87,7850.384
09:08:49.0,3106.217,3172.266,8349.333
