Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
13:08:21.0,,0.0,0.0
13:08:22.0,0.0,,
13:08:23.0,1.529,1.333,1.618
13:08:24.0,4.965,189.192,1.559
13:08:25.0,1.541,0.99,1.296
13:08:26.0,1.547,1.277,1.63
13:08:27.0,1.549,6.318,5.316
13:08:28.0,1.269,1.666,1.557
13:08:29.0,6.711,0.949,1.606
13:08:30.0,72.802,1.64,1.363
13:08:31.0,1.56,1.265,1.643
13:08:32.0,1.245,4.921,6.965
13:08:33.0,1.296,1.298,1.218
13:08:34.0,5.541,0.99,1.268
13:08:35.0,1.294,1.322,2.061
13:08:36.0,1.486,1.287,1.003
13:08:37.0,1.261,6.267,6.894
13:08:38.0,1.493,1.691,1.29
13:08:39.0,6.84,1.276,1.627
13:08:40.0,1.567,0.967,1.313
13:08:41.0,1.601,1.002,1.253
13:08:42.0,1.512,6.958,5.42
13:08:43.0,1.233,1.269,1.284
13:08:44.0,6.916,1.765,2.024
13:08:45.0,555.06,299.259,342.183
13:08:46.0,1854.079,1401.554,2343.072
13:08:47.0,3303.268,1999.21,2008.799
13:08:48.0,3013.324,2146.436,3969.146
13:08:49.0,4133.477,3801.657,4241.937
13:08:50.0,4373.863,3166.958,4773.995
13:08:51.0,4688.772,2821.695,4603.626
13:08:52.0,4609.286,2969.417,5105.035
13:08:53.0,5074.759,3447.258,4604.411
13:08:54.0,4576.458,3472.68,5345.896
13:08:55.0,4698.571,3574.778,4205.416
13:08:56.0,5412.22,3497.671,4109.146
13:08:57.0,5290.414,3458.742,4047.986
13:08:58.0,4452.904,3756.998,4106.466
13:08:59.0,4206.85,3584.45,5087.803
13:09:00.0,4825.647,4297.171,5612.23
13:09:01.0,5641.461,3938.371,6171.105
13:09:02.0,5606.355,3991.952,5052.498
13:09:03.0,5402.318,4089.276,5667.621
13:09:04.0,6467.194,4556.269,5885.242
13:09:05.0,6287.538,4221.827,5751.536
13:09:06.0,5628.883,4465.044,6139.122
13:09:07.0,7158.527,4308.943,5964.899
13:09:08.0,7107.163,4484.768,5900.32
13:09:09.0,7102.083,3494.667,5821.442
13:09:10.0,6909.011,3651.63,6535.06
13:09:11.0,6600.415,3933.159,6168.538
13:09:12.0,7112.666,4289.749,5680.998
13:09:13.0,7595.166,3350.71,7430.683
13:09:14.0,7886.808,3113.197,7363.307
13:09:15.0,6866.603,3613.049,6901.291
13:09:16.0,7161.545,3662.093,7694.833
13:09:17.0,7379.22,4324.567,6478.031
13:09:18.0,6566.999,4057.775,7613.477
13:09:19.0,6559.24,4826.321,7075.311
13:09:20.0,7261.259,5111.126,5838.41
13:09:21.0,6766.029,5280.865,6638.249
13:09:22.0,6981.624,5098.879,6827.781
13:09:23.0,7480.265,4558.574,7031.013
13:09:24.0,7124.352,5697.283,6628.809
13:09:25.0,6185.947,6149.143,7375.684
13:09:26.0,5655.689,6130.861,5509.759
13:09:27.0,6645.198,5989.211,5779.218
13:09:28.0,6878.639,5377.669,6052.047
13:09:29.0,6563.8,6087.751,6227.065
13:09:30.0,6264.712,6080.445,6510.248
13:09:31.0,6925.011,6445.257,6806.306
13:09:32.0,6675.389,6283.099,5819.096
13:09:33.0,6294.374,6887.066,5482.324
13:09:34.0,6300.123,6108.993,6759.708
13:09:35.0,6846.407,5544.981,5181.782
13:09:36.0,6848.85,6046.362,5623.087
13:09:37.0,6123.443,6463.333,6201.537
13:09:38.0,8029.957,6340.731,5516.135
13:09:39.0,6845.718,6039.571,6847.873
13:09:40.0,7149.25,5556.952,6730.386
13:09:41.0,7105.318,5911.079,6636.126
13:09:42.0,6746.792,6014.615,6284.807
13:09:43.0,6327.38,6650.914,6129.281
13:09:44.0,6704.963,6286.851,6288.779
13:09:45.0,6798.387,5873.955,5645.931
13:09:46.0,7310.484,6475.206,6543.598
13:09:47.0,7073.407,6405.618,5777.692
13:09:48.0,6982.239,6486.45,6044.507
13:09:49.0,6622.775,6152.344,6701.031
13:09:50.0,7127.679,6171.981,5744.946
13:09:51.0,6888.829,6063.07,6140.515
13:09:52.0,6536.041,6059.365,6554.414
13:09:53.0,5910.805,6813.591,6756.682
13:09:54.0,6791.568,6188.234,6624.425
13:09:55.0,6892.888,6830.836,6422.41
13:09:56.0,6789.04,7067.282,6360.802
13:09:57.0,6986.99,6148.061,6436.208
13:09:58.0,6953.182,6118.791,6014.092
13:09:59.0,6700.409,7006.655,6742.566
13:10:00.0,6099.129,6849.393,6644.29
13:10:01.0,6234.286,6746.584,6687.076
13:10:02.0,6067.178,6755.14,6344.167
13:10:03.0,6769.816,6330.324,6063.553
13:10:04.0,6248.395,6448.02,6611.139
13:10:05.0,6779.299,6965.746,7003.855
13:10:06.0,6166.323,6856.974,5865.335
13:10:07.0,7005.698,6052.238,7270.346
13:10:08.0,6630.651,6382.947,6362.187
13:10:09.0,7027.049,6642.575,5919.34
13:10:10.0,6461.802,7034.851,6945.554
13:10:11.0,6996.839,6414.281,6307.022
13:10:12.0,7057.543,6089.602,6590.621
13:10:13.0,7029.585,6304.291,6566.445
13:10:14.0,6753.411,6467.899,6305.666
13:10:15.0,6661.74,6239.799,4983.447
13:10:16.0,6612.935,6423.703,6398.547
13:10:17.0,6092.073,6807.212,6118.449
13:10:18.0,5533.522,6681.508,5646.465
13:10:19.0,7002.323,7002.741,5465.739
13:10:20.0,7040.492,6960.683,5890.145
13:10:21.0,6441.083,6547.889,6416.073
13:10:22.0,6192.797,6703.01,6568.823
13:10:23.0,7113.142,6427.043,6011.283
13:10:24.0,6140.047,6506.468,6362.481
13:10:25.0,6603.443,6235.977,6429.947
13:10:26.0,6076.284,6894.88,6386.707
13:10:27.0,5933.426,6131.5,6756.044
13:10:28.0,6319.99,6498.974,6000.056
13:10:29.0,6577.123,7194.88,6065.526
13:10:30.0,5744.644,6274.302,5857.739
13:10:31.0,6182.818,7170.131,6594.134
13:10:32.0,6568.586,5788.658,6270.796
13:10:33.0,6323.633,6709.833,6204.682
13:10:34.0,6135.595,6546.333,6514.626
13:10:35.0,6422.065,6473.962,6682.721
13:10:36.0,6446.038,6707.243,6817.367
13:10:37.0,6357.005,6625.489,6533.993
13:10:38.0,6564.488,6152.931,6202.139
13:10:39.0,6153.728,7027.016,6626.479
13:10:40.0,6280.364,6099.84,6354.233
13:10:41.0,5690.524,6232.44,6921.017
13:10:42.0,6211.363,6292.559,6401.8
13:10:43.0,6702.287,6171.429,5850.767
13:10:44.0,6311.068,6253.264,5825.654
13:10:45.0,6465.126,5638.707,6550.606
13:10:46.0,6394.066,5656.728,6441.437
13:10:47.0,6417.027,6687.006,6530.613
