Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
12:11:24.0,0.0,,0.0
12:11:25.0,1.285,0.0,1.549
12:11:26.0,1.551,1.676,6.83
12:11:27.0,1.552,6.688,1.566
12:11:28.0,6.552,1.377,1.247
12:11:29.0,1.562,1.218,0.966
12:11:30.0,1.309,1.269,1.277
12:11:31.0,72.657,1.279,6.288
12:11:32.0,1.971,6.609,1.331
12:11:33.0,5.335,1.691,1.935
12:11:34.0,1.257,1.237,1.954
12:11:35.0,1.271,1.226,1.274
12:11:36.0,1.547,1.238,5.398
12:11:37.0,1.553,5.566,1.091
12:11:38.0,6.778,1.264,1.363
12:11:39.0,1.241,1.563,1.203
12:11:40.0,1.613,1.978,0.965
12:11:41.0,1.569,1.262,6.973
12:11:42.0,1.006,6.54,1.518
12:11:43.0,6.911,1.233,1.59
12:11:44.0,1.218,1.376,1.189
12:11:45.0,1.56,1.969,1.253
12:11:46.0,1.575,0.97,5.249
12:11:47.0,2197.437,6.353,1136.623
12:11:48.0,6088.945,880.06,6128.294
12:11:49.0,6562.225,1577.099,7985.415
12:11:50.0,5379.123,3960.255,6270.549
12:11:51.0,5145.18,4988.791,5183.302
12:11:52.0,5193.069,5800.204,4943.264
12:11:53.0,5596.402,5601.413,4531.216
12:11:54.0,5245.465,6076.469,4779.834
12:11:55.0,5092.827,6021.867,4763.492
12:11:56.0,5223.631,6294.312,4267.303
12:11:57.0,5571.755,6492.72,3556.434
12:11:58.0,5679.188,6159.041,4243.407
12:11:59.0,4890.672,6268.169,5293.953
12:12:00.0,6608.611,5916.321,3532.899
12:12:01.0,4887.364,5570.956,3581.792
12:12:02.0,4961.417,5675.58,4949.932
12:12:03.0,4227.237,5590.636,5581.166
12:12:04.0,3519.252,5096.274,3792.596
12:12:05.0,4699.005,7074.515,4581.345
12:12:06.0,5214.181,6317.646,5960.65
12:12:07.0,5032.337,4455.232,4687.146
12:12:08.0,5497.791,4966.383,3766.844
12:12:09.0,3888.844,7019.531,5800.564
12:12:10.0,6644.072,5325.865,5779.288
12:12:11.0,7104.131,5449.706,5183.668
12:12:12.0,3914.587,3989.266,6813.292
12:12:13.0,4469.679,4707.843,5556.622
12:12:14.0,6247.391,6663.234,5369.053
12:12:15.0,4608.833,5859.708,6868.755
12:12:16.0,4849.992,4798.516,6100.15
12:12:17.0,5229.133,5028.684,5380.327
12:12:18.0,4706.056,4799.894,5116.894
12:12:19.0,4502.444,5312.42,5112.317
12:12:20.0,5026.633,6409.285,4901.453
12:12:21.0,4779.528,5515.675,4635.747
12:12:22.0,4593.725,6998.312,3703.75
12:12:23.0,4284.208,6123.752,5724.871
12:12:24.0,3965.033,7690.0,6438.427
12:12:25.0,5111.299,5436.788,6447.321
12:12:26.0,5202.405,5665.246,6057.901
12:12:27.0,6708.352,5307.163,4549.495
12:12:28.0,7286.05,5091.928,4396.81
12:12:29.0,5913.521,4556.066,5065.265
12:12:30.0,5560.903,4636.291,3440.823
12:12:31.0,4315.332,4925.089,5674.994
12:12:32.0,3092.81,6519.851,4471.189
12:12:33.0,5588.13,7720.425,4601.473
12:12:34.0,3206.257,7256.897,4741.874
12:12:35.0,4663.206,6872.115,5274.297
12:12:36.0,4578.318,6439.677,5973.112
12:12:37.0,5301.214,5247.388,6044.467
12:12:38.0,5194.994,5846.454,5408.996
12:12:39.0,4402.088,5372.129,4265.791
12:12:40.0,7240.609,6972.681,5300.889
12:12:41.0,4264.817,4943.126,6369.162
12:12:42.0,5313.106,5280.961,6300.553
12:12:43.0,5589.562,5475.109,5101.605
12:12:44.0,5772.727,5302.659,4712.401
12:12:45.0,4279.612,4616.916,4504.211
12:12:46.0,5008.029,6298.708,4893.699
12:12:47.0,4492.212,5922.205,5328.717
12:12:48.0,6157.087,5731.357,5748.981
12:12:49.0,4655.086,4975.163,5458.512
12:12:50.0,4439.332,5076.961,5572.145
12:12:51.0,4846.766,6171.79,6068.338
12:12:52.0,4860.653,5185.688,5542.095
12:12:53.0,3462.429,5071.563,6661.4
12:12:54.0,5110.427,6810.191,5356.982
12:12:55.0,4822.129,6363.49,6209.96
12:12:56.0,4304.323,5472.679,3285.82
12:12:57.0,4712.797,8041.523,4961.962
12:12:58.0,4675.534,5718.506,5631.222
12:12:59.0,5648.5,6425.144,3539.229
12:13:00.0,4553.512,6370.964,5440.148
12:13:01.0,6013.933,5396.986,4484.064
12:13:02.0,4813.393,5695.37,5870.211
12:13:03.0,3727.785,6028.808,5884.891
12:13:04.0,5515.169,5721.415,5626.845
12:13:05.0,5040.071,6591.663,5106.452
12:13:06.0,6063.033,5264.554,6435.523
12:13:07.0,6138.246,4134.543,4982.623
12:13:08.0,6293.56,4598.274,5536.084
12:13:09.0,4400.4,4932.687,6198.76
12:13:10.0,5786.945,5809.622,4915.143
12:13:11.0,6075.68,5381.305,4768.884
12:13:12.0,4315.584,4787.77,6503.587
12:13:13.0,5163.052,5373.942,5335.372
12:13:14.0,5505.129,6490.689,5079.92
12:13:15.0,3583.558,6170.662,5463.193
12:13:16.0,4659.547,6690.689,5263.096
12:13:17.0,6171.61,6951.82,4398.337
12:13:18.0,6097.371,5477.685,6061.014
12:13:19.0,6213.298,4856.883,4917.21
12:13:20.0,8116.073,5566.571,3548.248
12:13:21.0,5481.504,5126.481,5186.767
12:13:22.0,4740.461,5808.322,6040.202
12:13:23.0,5863.765,6290.821,4390.367
12:13:24.0,4910.73,5747.575,4134.372
12:13:25.0,3517.207,5621.295,6344.803
12:13:26.0,4488.363,6855.163,6660.415
12:13:27.0,7129.045,5471.978,4732.124
12:13:28.0,5751.152,5106.706,5315.835
12:13:29.0,3984.9,5485.898,6733.64
12:13:30.0,6717.39,4756.665,4920.82
12:13:31.0,6389.612,4734.171,5228.501
12:13:32.0,7857.034,4801.004,5156.223
12:13:33.0,6173.951,3341.661,5185.987
12:13:34.0,3887.066,4335.769,7691.433
12:13:35.0,4538.901,4325.12,5224.503
12:13:36.0,6088.976,6333.753,6689.384
12:13:37.0,6632.747,4353.07,4199.956
12:13:38.0,5600.613,5097.123,4655.63
12:13:39.0,5068.016,5722.234,5874.489
12:13:40.0,5012.932,6239.291,4993.558
12:13:41.0,5805.216,6171.313,4008.715
12:13:42.0,4510.546,7559.698,5208.416
12:13:43.0,3644.958,7097.74,4507.884
12:13:44.0,6487.287,8419.142,2844.31
12:13:45.0,5346.483,8220.421,4838.678
12:13:46.0,4660.5,5226.006,5227.615
12:13:47.0,6217.26,7077.352,3633.659
12:13:48.0,6484.409,5673.868,4349.996
12:13:49.0,5114.547,6096.891,4293.643
12:13:50.0,4669.111,6408.514,4774.524
12:13:51.0,5380.32,6775.275,5393.207
12:13:52.0,6263.799,6171.065,6184.499
12:13:53.0,4318.009,4236.102,7094.812
12:13:54.0,5084.981,4457.661,6890.27
12:13:55.0,7595.118,4530.26,4261.813
12:13:56.0,5404.878,5515.568,6103.317
12:13:57.0,5540.7,5012.995,5947.205
12:13:58.0,6613.621,5491.205,6515.382
12:13:59.0,4903.009,4636.693,6848.776
12:14:00.0,5777.726,4503.86,5670.096
12:14:01.0,6110.961,5346.068,3890.092
12:14:02.0,4545.517,5710.858,5781.785
12:14:03.0,4256.22,6783.25,5275.613
12:14:04.0,5243.11,5906.787,5022.742
12:14:05.0,4277.181,6561.927,5295.876
