Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
12:37:46.0,,,0.0
12:37:47.0,0.0,,
12:37:48.0,1.541,0.0,0.923
12:37:49.0,6.842,1.569,0.969
12:37:50.0,1.566,1.272,1.583
12:37:51.0,1.187,1.378,0.99
12:37:52.0,1.213,1.271,6.561
12:37:53.0,1.517,6.688,1.231
12:37:54.0,6.301,1.25,1.915
12:37:55.0,1.233,1.221,1.537
12:37:56.0,0.935,1.626,1.526
12:37:57.0,72.587,1.185,7.23
12:37:58.0,1.271,6.954,1.61
12:37:59.0,5.502,0.96,0.985
12:38:00.0,1.253,1.266,1.238
12:38:01.0,1.516,0.975,0.938
12:38:02.0,1.299,1.596,7.279
12:38:03.0,1.5,6.619,1.319
12:38:04.0,6.473,1.761,1.235
12:38:05.0,0.933,1.676,1.203
12:38:06.0,1.483,1.526,0.961
12:38:07.0,1.565,1.557,5.908
12:38:08.0,1.589,5.686,1.245
12:38:09.0,6.631,0.964,1.234
12:38:10.0,1.194,1.233,0.993
12:38:11.0,1.231,1.268,1.521
12:38:12.0,257.866,1.662,94.046
12:38:13.0,1856.004,74.654,1159.662
12:38:14.0,3186.564,1125.442,1752.683
12:38:15.0,3894.356,1956.344,2367.477
12:38:16.0,3898.308,2171.007,1987.033
12:38:17.0,4783.761,2604.917,2775.512
12:38:18.0,4955.541,2719.336,2578.22
12:38:19.0,5221.185,2454.337,3028.602
12:38:20.0,4409.289,1902.45,2454.628
12:38:21.0,5129.916,2497.538,2875.325
12:38:22.0,5431.831,2008.907,2482.626
12:38:23.0,5364.496,3035.554,2628.253
12:38:24.0,6129.448,2470.925,3229.176
12:38:25.0,6842.402,2306.517,2699.191
12:38:26.0,7507.219,1937.249,2490.666
12:38:27.0,5948.153,2434.158,2828.04
12:38:28.0,6702.887,2981.404,2825.833
12:38:29.0,6489.841,3047.876,2909.904
12:38:30.0,6615.249,2971.009,2893.4
12:38:31.0,6952.135,2754.804,2623.663
12:38:32.0,6052.81,2940.385,3025.898
12:38:33.0,5640.565,2537.791,2597.176
12:38:34.0,5121.488,1907.231,3316.602
12:38:35.0,6058.25,2865.934,2743.586
12:38:36.0,6303.179,2927.742,2916.369
12:38:37.0,6147.303,2092.259,2710.72
12:38:38.0,4874.14,2659.744,3367.027
12:38:39.0,5394.496,2856.989,2616.047
12:38:40.0,5232.391,2368.234,3443.823
12:38:41.0,5079.421,2914.762,3273.756
12:38:42.0,4691.535,3084.126,2890.313
12:38:43.0,4506.397,3323.928,2904.56
12:38:44.0,5566.011,3038.974,3104.112
12:38:45.0,4409.224,3553.642,2753.564
12:38:46.0,4571.882,3391.146,3423.622
12:38:47.0,4533.284,3895.35,3205.174
12:38:48.0,4831.937,3288.032,3223.654
12:38:49.0,5290.378,3281.057,3303.967
12:38:50.0,5394.719,3473.325,3139.357
12:38:51.0,4734.044,3144.042,3627.888
12:38:52.0,4239.527,3368.894,3148.552
12:38:53.0,5203.205,3268.484,3394.929
12:38:54.0,4820.493,3630.308,3011.898
12:38:55.0,5486.16,3428.774,3439.896
12:38:56.0,5077.747,2772.306,3078.183
12:38:57.0,5278.67,2515.711,3208.606
12:38:58.0,5308.029,2034.897,3084.352
12:38:59.0,4901.417,2864.693,2931.071
12:39:00.0,5505.956,2186.594,3312.245
12:39:01.0,4483.394,2409.059,3206.074
12:39:02.0,4599.332,2187.463,3540.215
12:39:03.0,5096.54,3072.511,3128.192
12:39:04.0,5224.339,2140.392,3048.45
12:39:05.0,4715.273,2010.496,2962.141
12:39:06.0,4843.575,3139.367,2916.726
12:39:07.0,4524.754,2818.913,3212.232
12:39:08.0,4745.028,3020.616,3105.582
12:39:09.0,4863.596,2656.767,3241.218
12:39:10.0,4970.106,2785.262,3152.339
12:39:11.0,5544.558,3094.943,3083.472
12:39:12.0,4665.541,2216.491,3666.03
12:39:13.0,5127.095,2707.691,3214.834
12:39:14.0,5121.853,3716.373,3458.262
12:39:15.0,5012.758,2538.685,2825.021
12:39:16.0,5063.778,3221.947,2971.081
12:39:17.0,5383.198,3068.504,3686.008
12:39:18.0,5085.845,3472.246,2982.679
12:39:19.0,4319.223,2853.083,3593.315
12:39:20.0,4033.749,3769.524,4050.551
12:39:21.0,4888.908,2820.819,3290.585
12:39:22.0,4820.408,2617.488,3423.589
12:39:23.0,4806.642,3125.669,3160.066
12:39:24.0,3516.449,2979.833,3659.8
12:39:25.0,3.374,3100.682,2.208
12:39:26.0,1.724,333.962,2.341
12:39:27.0,0.679,960.627,5.231
12:39:28.0,1931.444,391.527,2.116
12:39:29.0,3628.074,776.548,2553.24
12:39:30.0,4590.509,4760.365,2837.746
12:39:31.0,4745.342,6822.458,2785.21
12:39:32.0,4261.004,6301.406,3461.028
12:39:33.0,4121.175,5399.646,2133.431
12:39:34.0,2777.098,1789.403,1017.374
12:39:35.0,3203.501,1.326,902.82
12:39:36.0,2719.952,0.694,976.38
12:39:37.0,5455.834,0.684,2566.211
12:39:38.0,6107.5,998.201,3464.978
12:39:39.0,6583.89,3378.241,4691.349
12:39:40.0,5917.626,1079.436,3500.943
12:39:41.0,5233.145,2326.331,3249.149
12:39:42.0,4568.812,3748.713,2697.249
12:39:43.0,6709.903,3160.221,3019.265
12:39:44.0,5813.385,3120.512,3105.697
12:39:45.0,6222.181,3718.253,2968.222
12:39:46.0,4997.761,3843.511,3214.11
12:39:47.0,4586.876,3855.853,3198.754
12:39:48.0,6363.26,5086.095,3636.328
12:39:49.0,5763.78,3463.993,3407.821
12:39:50.0,5206.231,2827.612,3634.493
12:39:51.0,5155.118,3195.778,4857.443
12:39:52.0,4088.008,4116.572,3946.424
12:39:53.0,5346.642,4221.513,4104.271
12:39:54.0,5440.695,3757.705,3572.963
12:39:55.0,4974.529,2905.965,4380.513
12:39:56.0,6360.608,2774.736,2217.873
12:39:57.0,5143.203,3435.946,3935.589
12:39:58.0,4922.783,2467.49,3853.351
12:39:59.0,5447.958,2492.331,3022.348
12:40:00.0,5926.049,2234.921,3262.175
12:40:01.0,4804.111,3290.163,3407.423
12:40:02.0,5764.925,4075.59,2157.561
12:40:03.0,5375.441,2944.294,2987.691
12:40:04.0,5439.114,4372.061,2571.765
12:40:05.0,5889.611,3241.306,1933.4
12:40:06.0,4961.599,3311.79,2877.396
12:40:07.0,5626.548,4826.497,2363.198
12:40:08.0,5111.029,3637.432,2971.907
12:40:09.0,2657.943,4356.692,2327.419
12:40:10.0,5259.968,2798.586,3489.091
12:40:11.0,4562.452,4676.669,3771.699
12:40:12.0,2197.211,4193.305,2444.344
12:40:13.0,4287.516,2717.548,3612.007
12:40:14.0,2229.258,5879.683,2292.658
12:40:15.0,3361.465,2446.25,3718.945
12:40:16.0,4107.452,5313.7,3709.242
12:40:17.0,4200.565,4784.447,3640.286
12:40:18.0,3157.188,4750.912,3083.434
12:40:19.0,3042.258,4546.193,2461.296
12:40:20.0,4335.24,3322.464,3759.89
12:40:21.0,4842.921,5302.342,3437.861
12:40:22.0,2823.099,5232.336,2655.426
12:40:23.0,5035.702,4087.225,3431.192
12:40:24.0,2025.817,4582.237,1924.795
12:40:25.0,3301.689,3958.865,3317.907
12:40:26.0,4599.229,4967.401,3718.652
12:40:27.0,4834.165,4614.38,3322.184
12:40:28.0,3391.488,5045.024,2842.253
12:40:29.0,2769.527,3632.964,1749.915
12:40:30.0,4882.318,4685.718,3379.509
12:40:31.0,4783.791,5320.84,3446.288
12:40:32.0,2357.842,4809.379,2132.779
12:40:33.0,2844.162,5138.481,2689.293
12:40:34.0,4082.494,4711.503,3244.156
12:40:35.0,3100.374,4688.307,2353.784
12:40:36.0,4753.798,5228.502,3554.279
12:40:37.0,3206.319,4593.595,2832.266
12:40:38.0,4335.184,5057.571,1940.65
12:40:39.0,3605.877,5758.978,3007.746
12:40:40.0,2648.685,4758.144,1774.122
12:40:41.0,4520.286,5356.351,3329.694
12:40:42.0,1712.733,4925.089,2121.808
12:40:43.0,4719.02,2080.64,2917.646
12:40:44.0,4770.219,4046.6,3173.463
12:40:45.0,2459.067,4275.035,2701.231
12:40:46.0,4235.093,2242.208,3859.804
12:40:47.0,5598.638,2423.961,3405.045
12:40:48.0,4107.292,2976.597,3321.652
12:40:49.0,4425.096,3262.344,3724.671
12:40:50.0,4160.358,4060.999,3197.878
12:40:51.0,3470.899,3120.635,3518.643
12:40:52.0,4713.258,3706.27,3231.873
12:40:53.0,4548.486,4762.217,3040.864
12:40:54.0,4264.441,4742.889,3199.357
12:40:55.0,2345.732,3631.932,1830.473
12:40:56.0,4231.744,4180.059,3148.748
12:40:57.0,3733.759,5089.146,2974.85
12:40:58.0,1.271,4964.264,0.974
12:40:59.0,6.944,15.953,1.275
12:41:00.0,1.266,1.696,1.288
12:41:01.0,1.619,1.982,1.02
12:41:02.0,1.284,1.302,6.719
12:41:03.0,1.568,7.062,2.039
12:41:04.0,6.628,1.259,1.303
12:41:05.0,1.544,1.017,1.69
12:41:06.0,1.55,1.601,1.376
