Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
14:49:18.0,0.0,,0.0
14:49:19.0,1.502,0.0,1.325
14:49:20.0,1.54,1.659,1.242
14:49:21.0,1.254,0.989,6.664
14:49:22.0,1.541,6.575,1.253
14:49:23.0,6.854,1.075,1.643
14:49:24.0,1.568,1.271,1.244
14:49:25.0,1.553,0.998,1.928
14:49:26.0,501.918,1.615,128.896
14:49:27.0,3632.116,18.113,3251.972
14:49:28.0,3825.355,1516.515,6360.818
14:49:29.0,3494.216,1906.781,5005.222
14:49:30.0,3382.407,2719.404,4698.951
14:49:31.0,4008.509,3024.478,5093.606
14:49:32.0,3950.996,2634.343,4791.51
14:49:33.0,3923.473,2836.912,4590.053
14:49:34.0,4222.865,3139.285,4264.812
14:49:35.0,4969.442,3057.233,3789.551
14:49:36.0,5270.594,2866.494,3607.067
14:49:37.0,5782.383,3052.951,3269.924
14:49:38.0,5616.595,2612.876,3158.929
14:49:39.0,5572.032,2544.216,3098.821
14:49:40.0,5464.546,2917.647,3208.135
14:49:41.0,5443.269,2800.295,3229.018
14:49:42.0,5767.33,3008.462,3275.246
14:49:43.0,6093.607,3051.575,3094.148
14:49:44.0,5770.137,2957.401,3197.074
14:49:45.0,5695.385,2991.78,3127.2
14:49:46.0,5694.543,2956.429,3323.088
14:49:47.0,5671.984,2358.161,3096.753
14:49:48.0,5717.556,2555.581,3208.485
14:49:49.0,5837.01,2441.394,3372.523
14:49:50.0,6058.331,2553.047,3380.907
14:49:51.0,5941.409,2406.808,3433.303
14:49:52.0,5955.555,2538.753,3475.735
14:49:53.0,5943.052,2576.286,3287.704
14:49:54.0,5934.735,2476.87,3421.056
14:49:55.0,5606.579,2605.208,3484.443
14:49:56.0,5802.423,2602.433,3316.686
14:49:57.0,5890.773,2563.019,3232.266
14:49:58.0,5742.174,2426.095,3471.116
14:49:59.0,5857.027,2422.936,3329.337
