Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
10:11:49.0,0.0,,0.0
10:11:50.0,1.266,0.0,1.628
10:11:51.0,72.94,1.333,1.61
10:11:52.0,1.289,6.665,6.559
10:11:53.0,1.271,1.233,1.886
10:11:54.0,6.619,1.22,1.494
10:11:55.0,1.615,0.949,1.245
10:11:56.0,1.586,1.026,0.939
10:11:57.0,1.553,6.529,5.862
10:11:58.0,1.269,1.701,1.485
10:11:59.0,6.932,0.934,1.528
10:12:00.0,0.971,1.66,1.487
10:12:01.0,1.578,0.944,1.583
10:12:02.0,1.27,5.286,6.849
10:12:03.0,1.58,0.961,1.502
10:12:04.0,6.939,1.38,1.215
10:12:05.0,1.249,1.294,243.459
10:12:06.0,616.058,180.104,1957.624
10:12:07.0,1668.582,1161.914,3823.513
10:12:08.0,2232.604,1828.604,4012.82
10:12:09.0,2327.248,2337.325,4977.33
10:12:10.0,2457.862,2530.945,5029.546
10:12:11.0,2384.53,2515.722,4792.446
10:12:12.0,2585.863,2825.53,4873.745
10:12:13.0,2293.302,2945.594,5560.56
10:12:14.0,2607.142,3113.278,5949.124
10:12:15.0,2919.124,3445.925,6365.29
10:12:16.0,3080.346,3497.164,5817.852
10:12:17.0,2964.177,3353.026,5533.792
10:12:18.0,2897.995,3320.123,6371.714
10:12:19.0,2881.055,3248.549,7281.563
10:12:20.0,2588.761,3684.5,8172.162
10:12:21.0,2585.334,3332.235,8630.056
10:12:22.0,3321.316,3662.921,8096.308
10:12:23.0,3005.806,3554.429,8577.103
10:12:24.0,3519.987,3447.151,8219.309
10:12:25.0,3772.239,3334.156,7765.879
10:12:26.0,3312.131,3953.93,8919.127
10:12:27.0,3258.199,3810.135,8514.825
10:12:28.0,3542.596,3576.369,8795.998
10:12:29.0,3919.816,3533.172,9111.082
10:12:30.0,3861.752,3200.449,8928.8
10:12:31.0,3944.528,4122.94,8528.118
10:12:32.0,4097.067,4657.595,7868.997
10:12:33.0,4477.523,4735.015,7696.76
10:12:34.0,5116.383,4553.465,8250.0
10:12:35.0,4428.402,4223.834,7820.006
10:12:36.0,4130.017,4889.947,7844.975
10:12:37.0,3864.916,4472.8,7781.368
10:12:38.0,4711.787,4264.355,7214.793
10:12:39.0,3620.496,4441.257,8549.11
10:12:40.0,4125.388,4505.609,6115.112
10:12:41.0,3800.1,3609.527,7299.255
10:12:42.0,4491.101,4259.229,7618.241
10:12:43.0,4082.692,4700.47,8205.901
10:12:44.0,4227.881,5042.654,8039.064
10:12:45.0,4341.517,4892.896,7750.344
10:12:46.0,4064.789,5025.088,7268.103
10:12:47.0,3915.504,5466.702,7540.616
10:12:48.0,4939.229,4229.906,6878.365
10:12:49.0,4723.493,4674.024,8028.166
10:12:50.0,3762.159,4579.337,8466.735
10:12:51.0,4353.586,4260.52,7620.151
10:12:52.0,4334.416,5047.065,7745.885
10:12:53.0,3776.166,5647.387,7918.021
10:12:54.0,4296.641,5195.458,8058.868
10:12:55.0,4712.171,3940.575,7075.243
10:12:56.0,4977.211,4222.883,6772.058
10:12:57.0,4439.347,4072.348,7856.33
10:12:58.0,4485.669,4555.129,7893.652
10:12:59.0,4072.455,4333.406,8131.508
10:13:00.0,4320.153,5074.062,7440.247
10:13:01.0,4331.463,4427.013,8026.582
10:13:02.0,4081.505,4547.066,6960.428
10:13:03.0,4058.806,5472.42,7166.415
10:13:04.0,4149.152,5081.747,6928.075
10:13:05.0,5071.165,4958.472,7124.977
10:13:06.0,4609.252,4949.873,7162.164
10:13:07.0,4786.609,4669.213,7538.773
10:13:08.0,5438.534,4671.414,7098.041
10:13:09.0,4392.778,4641.583,6231.166
10:13:10.0,4620.067,4479.95,6993.494
10:13:11.0,4835.909,4641.875,7020.047
10:13:12.0,4776.344,3946.315,6654.958
10:13:13.0,4446.451,4881.669,6457.014
10:13:14.0,4199.935,5603.505,7171.768
10:13:15.0,4541.446,5281.954,6924.532
10:13:16.0,4375.935,4941.986,6606.147
10:13:17.0,4581.708,4784.354,6295.495
10:13:18.0,4946.063,4123.694,6310.95
10:13:19.0,4285.948,4774.714,7491.918
10:13:20.0,4875.288,4470.277,7002.837
10:13:21.0,4786.304,4036.55,7027.958
10:13:22.0,4498.683,4329.726,7224.295
10:13:23.0,4225.371,4408.836,7221.907
10:13:24.0,3781.487,5286.435,6273.88
10:13:25.0,3214.546,6486.096,5640.51
10:13:26.0,4404.006,5610.85,6751.373
10:13:27.0,4541.086,4954.455,6291.345
10:13:28.0,4149.136,5062.623,6473.432
10:13:29.0,3732.936,4769.965,6607.727
10:13:30.0,3915.51,4438.791,6288.518
10:13:31.0,4162.881,5155.213,6883.939
10:13:32.0,4232.012,3541.36,5533.895
10:13:33.0,4719.599,3693.197,6440.235
10:13:34.0,4428.254,3664.696,7137.78
10:13:35.0,4976.22,4149.649,5795.041
10:13:36.0,4849.242,4515.807,6049.271
10:13:37.0,4781.347,4310.761,6153.416
10:13:38.0,3971.166,5264.787,6637.815
10:13:39.0,3784.054,5223.453,7111.872
10:13:40.0,4116.085,3775.934,6769.041
10:13:41.0,4071.142,3903.472,6640.321
10:13:42.0,4052.069,4339.061,6682.041
10:13:43.0,4155.648,4016.4,7247.161
10:13:44.0,4474.091,3967.783,7000.801
10:13:45.0,4474.672,4036.506,7136.694
10:13:46.0,3576.221,3661.056,7924.929
