Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
17:27:20.0,0.0,,0.0
17:27:21.0,1.708,0.0,1.579
17:27:22.0,1.476,1.373,6.568
17:27:23.0,1.474,7.043,0.991
17:27:24.0,6.567,1.285,1.698
17:27:25.0,1.554,1.5,1.241
17:27:26.0,1.51,0.981,0.964
17:27:27.0,1.614,1.265,5.67
17:27:28.0,1.598,6.579,1.552
17:27:29.0,76.964,1.426,827.029
17:27:30.0,2612.327,827.593,4816.722
17:27:31.0,5911.679,2430.814,4973.314
17:27:32.0,5917.432,2972.146,4559.287
17:27:33.0,5196.147,4165.537,3976.36
17:27:34.0,5096.954,5671.204,4024.79
17:27:35.0,5008.54,5634.408,3834.032
17:27:36.0,4984.518,5881.042,4036.261
17:27:37.0,5318.735,5656.264,4261.831
17:27:38.0,6042.346,4638.305,4232.103
17:27:39.0,7750.308,3592.296,3966.945
17:27:40.0,7823.796,3307.421,3641.632
17:27:41.0,8509.725,2893.116,3489.45
17:27:42.0,8402.857,2873.073,3476.468
17:27:43.0,8408.727,3051.112,3661.08
17:27:44.0,8334.841,3401.672,3620.608
17:27:45.0,8134.845,3320.78,3739.053
17:27:46.0,8491.822,3256.376,3398.064
17:27:47.0,8350.973,3318.227,3431.826
17:27:48.0,7884.27,3840.15,3150.691
17:27:49.0,8288.42,3638.915,3326.165
17:27:50.0,8397.699,3375.269,3357.9
17:27:51.0,8326.808,3255.221,3562.375
17:27:52.0,8263.491,3201.03,3624.512
17:27:53.0,8507.505,3335.839,4129.826
17:27:54.0,7481.969,3056.924,4639.647
17:27:55.0,7561.45,2674.553,4921.147
17:27:56.0,7498.076,2559.643,4753.131
17:27:57.0,7277.821,2627.304,4353.584
17:27:58.0,7872.576,2638.912,3739.257
17:27:59.0,7957.121,3323.994,3854.676
17:28:00.0,8361.186,3163.194,3653.622
17:28:01.0,7985.906,3093.584,3253.251
17:28:02.0,8808.237,3725.902,3423.462
17:28:03.0,8226.329,3530.228,3453.805
17:28:04.0,8498.541,3490.94,3335.309
17:28:05.0,8230.415,3421.469,3499.329
17:28:06.0,8364.871,3449.276,3379.455
17:28:07.0,8259.199,3685.547,3094.108
17:28:08.0,7868.953,3995.092,3204.118
17:28:09.0,7841.652,4242.615,3180.193
17:28:10.0,7958.616,4194.832,3209.226
17:28:11.0,7651.655,4026.521,3354.816
17:28:12.0,7937.114,4513.654,3455.925
17:28:13.0,7893.314,4310.483,3372.856
17:28:14.0,7751.573,4259.847,2986.487
17:28:15.0,8059.341,4346.041,2531.513
17:28:16.0,8517.959,4603.677,2717.859
