Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
09:17:25.0,0.0,0.0,0.0
09:17:26.0,1.59,1.408,1.644
09:17:27.0,1.607,6.375,6.687
09:17:28.0,6.572,1.244,1.701
09:17:29.0,1.596,0.948,1.535
09:17:30.0,1.514,1.234,1.691
09:17:31.0,1.703,1.25,1.036
09:17:32.0,1.49,5.265,5.682
09:17:33.0,6.275,1.586,0.934
09:17:34.0,1.236,1.306,1.244
09:17:35.0,0.934,1.513,1.216
09:17:36.0,1.541,1.251,1.238
09:17:37.0,1.218,6.862,6.379
09:17:38.0,5.498,1.987,1.616
09:17:39.0,1.56,1.548,1.4
09:17:40.0,1.599,1.568,1.363
09:17:41.0,3752.901,733.073,1453.876
09:17:42.0,4362.804,1801.062,5493.002
09:17:43.0,4676.82,3107.547,2452.019
09:17:44.0,5250.15,4937.901,5318.724
09:17:45.0,4136.438,5569.057,3837.772
09:17:46.0,5073.365,6012.178,4340.097
09:17:47.0,4369.39,5662.439,4772.101
09:17:48.0,3934.822,6062.544,5098.392
09:17:49.0,5184.881,5834.534,6980.872
09:17:50.0,4692.024,4904.79,5286.353
09:17:51.0,4185.81,6055.987,4674.493
09:17:52.0,6916.247,6588.013,4467.501
09:17:53.0,3345.673,5431.574,5043.838
09:17:54.0,3684.103,7919.183,6606.261
09:17:55.0,5298.383,6150.724,4245.164
09:17:56.0,4618.21,6828.298,5482.361
09:17:57.0,4673.686,5658.002,6099.524
09:17:58.0,5092.557,5742.231,3919.188
09:17:59.0,6048.833,4834.562,5006.399
09:18:00.0,5276.434,4730.839,6130.354
09:18:01.0,5300.011,5779.544,4504.727
09:18:02.0,7473.038,5160.486,4633.717
09:18:03.0,4336.425,4381.588,6273.325
09:18:04.0,4685.105,5581.547,4709.139
09:18:05.0,5856.638,7007.797,4946.206
09:18:06.0,3921.097,4229.455,5778.587
09:18:07.0,5317.344,6382.783,4302.991
09:18:08.0,6058.486,5191.803,5134.583
09:18:09.0,4040.779,5191.822,6331.114
09:18:10.0,5683.992,6419.863,4908.012
09:18:11.0,7133.024,5764.761,4380.302
09:18:12.0,4785.607,5469.491,5083.203
09:18:13.0,5525.782,5705.43,6190.503
09:18:14.0,6343.913,4276.239,4647.841
09:18:15.0,5433.827,6342.468,3841.958
09:18:16.0,3993.006,5672.357,5385.375
09:18:17.0,4432.416,5583.732,6727.589
09:18:18.0,5283.938,6607.733,4732.247
09:18:19.0,5252.01,5737.266,4510.084
09:18:20.0,3697.044,5877.565,7547.75
09:18:21.0,5209.284,4381.626,6848.935
09:18:22.0,4391.301,3785.411,6235.465
09:18:23.0,5463.652,6000.166,6229.287
09:18:24.0,6875.351,6623.882,4387.461
09:18:25.0,5564.458,4951.19,4230.838
09:18:26.0,6008.112,6169.812,5837.489
09:18:27.0,6751.164,5252.617,3510.248
09:18:28.0,4085.607,5548.049,5068.299
09:18:29.0,6532.898,5324.184,5751.355
09:18:30.0,4853.391,6134.339,4007.015
09:18:31.0,4748.335,5633.853,5999.034
09:18:32.0,5849.952,3590.046,7000.496
09:18:33.0,4156.208,5611.541,5671.539
09:18:34.0,5335.582,5493.766,6761.861
09:18:35.0,6957.738,4017.75,4918.93
09:18:36.0,4629.334,5899.019,4731.69
09:18:37.0,5697.763,5147.594,6958.427
09:18:38.0,6145.356,4072.885,4901.729
09:18:39.0,3751.589,5138.637,5434.618
09:18:40.0,4972.114,6330.967,5018.711
09:18:41.0,5495.148,6403.383,3951.63
09:18:42.0,4445.132,6396.763,6313.504
09:18:43.0,5329.266,5607.127,5318.113
09:18:44.0,6664.435,5638.534,4180.037
09:18:45.0,4994.145,5573.631,5234.266
09:18:46.0,5302.663,6677.875,4318.501
09:18:47.0,6512.752,5286.554,5621.785
09:18:48.0,3864.317,5160.657,6595.095
09:18:49.0,4320.941,6066.016,5460.826
09:18:50.0,6958.187,7058.9,4563.689
09:18:51.0,4971.972,4590.041,5525.753
09:18:52.0,5946.902,6007.106,4600.954
09:18:53.0,6393.199,5022.517,3988.908
09:18:54.0,4525.272,4507.27,5612.615
09:18:55.0,5637.612,6072.383,4733.083
09:18:56.0,6586.596,5688.664,3297.279
09:18:57.0,3945.087,4043.752,5706.263
09:18:58.0,5207.295,6383.496,4806.888
09:18:59.0,6890.14,5659.433,4275.022
09:19:00.0,3830.067,5343.437,6298.96
09:19:01.0,5573.921,6361.577,5332.301
09:19:02.0,7583.257,4747.461,4153.072
09:19:03.0,4360.018,5484.46,6713.227
09:19:04.0,4702.225,5394.898,6789.92
09:19:05.0,6241.301,5839.057,4777.349
09:19:06.0,4832.326,5416.541,5247.284
09:19:07.0,5505.907,6697.489,6006.008
09:19:08.0,4792.521,6234.491,4778.689
09:19:09.0,3444.421,6917.416,4443.295
09:19:10.0,3589.358,6569.869,6983.864
09:19:11.0,6644.833,4755.205,5071.851
09:19:12.0,3286.976,5406.26,5898.201
09:19:13.0,5394.077,6254.181,5003.362
09:19:14.0,6437.118,4855.662,4587.242
09:19:15.0,4136.28,5600.548,4776.883
09:19:16.0,5380.563,6602.839,5887.995
09:19:17.0,6985.111,5410.236,3799.084
09:19:18.0,4809.344,6212.069,4640.679
09:19:19.0,5237.858,5978.273,5923.094
09:19:20.0,6186.081,4517.689,4724.953
09:19:21.0,4916.433,6613.571,4411.755
09:19:22.0,4299.916,5704.002,5928.614
09:19:23.0,6417.884,4206.761,5403.345
09:19:24.0,4236.129,5727.0,4446.177
09:19:25.0,5600.742,5482.272,6630.139
09:19:26.0,7476.414,4674.777,4338.427
09:19:27.0,6019.505,4857.669,4301.329
09:19:28.0,5334.149,4261.926,6125.582
09:19:29.0,7483.687,4446.592,3622.413
09:19:30.0,5655.886,3862.482,3878.953
09:19:31.0,6215.166,5190.363,4210.656
09:19:32.0,4544.863,5370.48,4063.371
09:19:33.0,3924.889,5877.954,5564.437
09:19:34.0,4577.208,4762.947,6747.139
09:19:35.0,5973.992,4156.21,4719.016
09:19:36.0,3199.188,4527.125,5908.328
09:19:37.0,5396.354,5682.849,5706.923
09:19:38.0,5982.13,4725.68,3038.3
09:19:39.0,4918.701,4877.132,4253.769
09:19:40.0,5128.432,5345.326,6929.506
09:19:41.0,4956.705,5002.274,5211.711
09:19:42.0,4108.902,5302.251,5968.67
09:19:43.0,5569.382,5422.583,6129.617
09:19:44.0,5259.768,5493.942,3898.75
09:19:45.0,3827.155,6748.046,4565.297
09:19:46.0,5064.757,6168.869,6479.189
09:19:47.0,7105.849,5768.554,3766.058
09:19:48.0,3700.641,6263.458,4023.495
09:19:49.0,4608.453,5922.386,6011.25
09:19:50.0,6004.889,5558.451,4629.15
09:19:51.0,4448.714,5342.972,5161.862
09:19:52.0,4581.902,6018.501,6489.592
09:19:53.0,5902.825,5095.38,5107.601
09:19:54.0,5434.653,6192.863,4568.831
09:19:55.0,5935.886,5414.07,4285.109
09:19:56.0,7052.932,5531.166,4509.656
09:19:57.0,4416.728,4431.997,5542.207
09:19:58.0,4589.169,6230.774,5951.791
09:19:59.0,6115.532,6060.817,4429.545
09:20:00.0,4067.778,5134.812,5538.119
09:20:01.0,4122.948,6832.748,6236.747
09:20:02.0,5900.197,6607.105,4142.886
09:20:03.0,3637.358,5164.528,4651.085
09:20:04.0,4374.01,6381.158,5023.8
09:20:05.0,6444.083,6240.307,3913.942
09:20:06.0,5693.718,5695.673,5023.899
09:20:07.0,5654.238,5441.282,5469.882
09:20:08.0,6502.665,4479.424,5204.187
09:20:09.0,4677.096,4682.179,4887.808
09:20:10.0,4224.905,5005.148,5711.372
09:20:11.0,6441.795,5896.575,5010.633
09:20:12.0,4122.091,4739.245,5678.89
09:20:13.0,3830.808,6452.97,5407.292
09:20:14.0,5499.849,6432.435,4331.902
09:20:15.0,4471.546,4898.762,5447.806
09:20:16.0,6379.789,5545.3,4766.619
09:20:17.0,5365.661,5149.943,3609.993
09:20:18.0,5206.868,6224.059,4815.498
09:20:19.0,4742.148,6215.769,5628.391
09:20:20.0,5816.644,4639.208,5959.558
09:20:21.0,5475.022,5707.742,3744.513
09:20:22.0,4507.197,6821.968,5539.291
09:20:23.0,5301.236,4536.279,4830.02
09:20:24.0,4716.519,6770.836,4490.085
09:20:25.0,4791.96,5527.646,5845.854
09:20:26.0,1852.57,4290.138,4337.211
09:20:27.0,1.54,5.729,5.261
09:20:28.0,6.573,1.98,1.214
09:20:29.0,1.586,1.684,1.26
09:20:30.0,1.208,0.967,1.266
09:20:31.0,1.595,1.505,1.257
09:20:32.0,1.563,6.449,6.705
09:20:33.0,6.581,1.574,0.931
