Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
16:55:14.0,,0.0,0.0
16:55:15.0,0.0,,
16:55:16.0,1.252,1.601,1.231
16:55:17.0,72.403,6.784,5.93
16:55:18.0,1.255,1.336,1.245
16:55:19.0,5.579,1.276,0.959
16:55:20.0,1.33,1.264,1.251
16:55:21.0,1.247,1.607,0.959
16:55:22.0,1.236,5.721,6.372
16:55:23.0,1.25,0.996,1.53
16:55:24.0,4.971,1.268,1.606
16:55:25.0,1.583,0.985,1.239
16:55:26.0,1.252,1.558,0.958
16:55:27.0,1.582,5.013,5.219
16:55:28.0,0.943,1.597,1.249
16:55:29.0,5.267,1.279,1.256
16:55:30.0,0.967,1.265,1.615
16:55:31.0,1.305,1.33,1.218
16:55:32.0,845.645,356.021,354.435
16:55:33.0,1998.748,1126.076,1938.629
16:55:34.0,2525.299,1492.785,2582.383
16:55:35.0,2319.753,1852.756,3266.041
16:55:36.0,2734.75,2130.149,3923.049
16:55:37.0,2618.782,2115.701,3712.47
16:55:38.0,2476.609,2108.909,3514.182
16:55:39.0,2855.043,2278.508,3219.868
16:55:40.0,3191.792,1903.246,3553.881
16:55:41.0,3180.014,2194.083,4142.164
16:55:42.0,2771.037,2405.189,3812.377
16:55:43.0,3536.894,2052.346,3923.048
16:55:44.0,3390.725,1644.736,4281.799
16:55:45.0,2916.721,2248.749,4249.795
16:55:46.0,2886.868,2377.752,4121.318
16:55:47.0,3302.049,2156.059,4148.389
16:55:48.0,3477.549,1980.079,4442.751
16:55:49.0,3488.072,2026.583,3898.311
16:55:50.0,3004.744,2116.586,4202.405
16:55:51.0,3404.242,2410.869,3902.591
16:55:52.0,2922.527,2356.384,4329.264
16:55:53.0,3870.1,2156.204,4505.533
16:55:54.0,3035.059,2329.07,4367.527
16:55:55.0,3813.253,2145.16,4449.838
16:55:56.0,4288.876,2499.95,4921.056
16:55:57.0,4168.125,2473.238,4721.827
