Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
16:01:18.0,0.0,,0.0
16:01:19.0,5.543,0.0,0.996
16:01:20.0,72.941,1.295,1.38
16:01:21.0,1.311,1.944,1.258
16:01:22.0,1.291,0.992,5.618
16:01:23.0,1.291,5.013,1.289
16:01:24.0,5.602,1.333,1.244
16:01:25.0,1.205,1.262,1.028
16:01:26.0,1.533,1.334,0.974
16:01:27.0,1.282,1.274,6.646
16:01:28.0,1.28,6.654,1.595
16:01:29.0,5.258,1.003,1.288
16:01:30.0,1.266,1.292,1.223
16:01:31.0,1.279,1.583,1.25
16:01:32.0,1.187,1.259,4.892
16:01:33.0,1.293,5.606,1.232
16:01:34.0,6.312,1.332,1.594
16:01:35.0,1.273,0.966,25.084
16:01:36.0,780.03,119.151,1081.94
16:01:37.0,869.811,1410.733,1890.27
16:01:38.0,2320.96,1222.516,2175.537
16:01:39.0,2914.456,2422.307,2728.227
16:01:40.0,4419.781,2989.517,3306.728
16:01:41.0,3930.339,2660.6,3415.725
16:01:42.0,3514.319,3536.365,4003.648
16:01:43.0,3485.175,3472.539,3232.258
16:01:44.0,5235.755,3574.584,2357.294
16:01:45.0,3502.094,3586.795,3486.434
16:01:46.0,5039.056,4590.061,3841.029
16:01:47.0,4199.333,3965.176,4748.625
16:01:48.0,5205.222,3619.873,3144.527
16:01:49.0,3737.922,5219.263,3509.335
16:01:50.0,5439.95,5839.072,3913.096
16:01:51.0,3732.449,5875.62,3849.791
16:01:52.0,4920.037,6018.993,4851.241
16:01:53.0,7163.393,4964.512,4973.401
16:01:54.0,4097.783,5670.981,6586.606
16:01:55.0,3358.705,6572.714,5704.686
16:01:56.0,5877.947,4484.837,3833.832
16:01:57.0,4463.898,5708.681,4574.045
16:01:58.0,5017.005,5495.396,3636.334
16:01:59.0,6755.701,6890.116,4139.727
16:02:00.0,4794.49,6399.22,4297.209
16:02:01.0,6258.915,4111.672,4592.644
16:02:02.0,6328.034,4753.631,5106.842
16:02:03.0,4413.564,4256.874,5610.765
16:02:04.0,5999.121,4985.264,5336.974
16:02:05.0,6222.199,3760.991,3789.87
16:02:06.0,4714.244,5977.505,5935.629
16:02:07.0,5025.183,5187.333,3538.819
16:02:08.0,6857.541,5762.207,3216.373
16:02:09.0,3597.008,6724.351,5437.819
16:02:10.0,4170.774,6589.095,3688.094
16:02:11.0,4247.625,6782.993,6058.854
16:02:12.0,4448.638,4637.562,5124.689
16:02:13.0,5888.115,5021.762,5112.329
16:02:14.0,4533.571,5388.693,5201.49
16:02:15.0,4847.201,4833.54,5345.39
16:02:16.0,4246.729,4872.9,4108.728
16:02:17.0,5735.764,5777.391,5460.511
16:02:18.0,6440.197,3742.065,3813.658
16:02:19.0,5838.185,3709.963,5820.596
16:02:20.0,3360.847,4265.449,5068.495
16:02:21.0,3505.954,6487.375,4791.873
16:02:22.0,7459.556,4143.819,4973.812
16:02:23.0,4755.98,4197.565,4783.065
16:02:24.0,5259.408,5113.226,5505.728
16:02:25.0,5714.721,3763.671,5049.25
16:02:26.0,5102.31,5136.714,5144.555
16:02:27.0,6505.858,4683.751,5097.789
16:02:28.0,5065.842,3768.975,4727.736
16:02:29.0,4721.597,5149.099,6259.763
16:02:30.0,5553.459,4624.269,6346.449
16:02:31.0,6483.614,3660.037,3470.758
16:02:32.0,4520.515,6122.531,6133.115
16:02:33.0,3811.08,6278.29,5823.247
16:02:34.0,5249.959,4261.373,5855.28
16:02:35.0,3849.618,5627.003,4727.033
16:02:36.0,4526.685,4966.698,6626.699
16:02:37.0,5191.289,3416.326,5500.838
16:02:38.0,4704.835,5788.315,5168.556
16:02:39.0,6494.069,3720.328,3427.187
16:02:40.0,5355.7,6077.832,4289.53
16:02:41.0,5513.969,5343.639,5197.473
16:02:42.0,5168.048,4940.152,4456.755
16:02:43.0,4538.628,5763.149,4910.146
16:02:44.0,6063.67,4913.664,4808.764
16:02:45.0,5958.707,3564.792,5982.916
16:02:46.0,3800.531,4974.16,5999.046
16:02:47.0,4456.371,6007.833,3623.445
16:02:48.0,6511.877,6111.779,4902.765
16:02:49.0,4521.594,5375.207,5237.768
16:02:50.0,4145.711,6099.48,5499.723
16:02:51.0,5771.981,3977.96,6352.142
16:02:52.0,4139.331,4575.016,4307.454
16:02:53.0,5169.801,5887.554,3421.089
16:02:54.0,6138.88,5975.383,4093.072
16:02:55.0,3220.26,5875.112,3857.713
16:02:56.0,3092.144,6673.532,4045.57
16:02:57.0,6218.389,4934.998,5756.643
16:02:58.0,3526.87,5453.152,6369.674
16:02:59.0,4335.398,4102.835,6689.42
16:03:00.0,5839.04,4385.766,5287.239
16:03:01.0,5137.068,4459.823,5063.827
16:03:02.0,5132.747,4011.501,5851.734
16:03:03.0,4134.417,4414.606,6382.235
16:03:04.0,3803.315,4543.007,6346.44
16:03:05.0,5353.603,5299.035,3974.303
16:03:06.0,4461.538,5277.614,5755.026
16:03:07.0,3990.027,5230.988,5355.903
16:03:08.0,6029.554,4799.274,4856.836
16:03:09.0,4248.512,5776.378,6563.504
16:03:10.0,3619.285,4387.454,5873.785
16:03:11.0,5159.343,3585.939,5440.048
16:03:12.0,3616.357,3885.133,6536.18
16:03:13.0,5522.487,4826.139,5028.05
16:03:14.0,5535.771,3535.602,5877.415
16:03:15.0,3284.975,4659.37,6167.501
16:03:16.0,4654.367,6190.67,4448.423
16:03:17.0,6348.214,4179.133,5625.741
16:03:18.0,4462.43,5107.528,5787.5
16:03:19.0,3071.93,5830.179,3217.304
16:03:20.0,6975.715,5735.566,5715.09
16:03:21.0,3276.537,4284.621,5267.12
16:03:22.0,4068.25,5047.505,5366.521
16:03:23.0,5823.319,4331.112,5026.113
16:03:24.0,4662.958,5199.693,4161.823
16:03:25.0,4863.018,6269.973,5222.876
16:03:26.0,6101.914,4072.029,4088.853
16:03:27.0,4392.558,5750.226,5033.948
16:03:28.0,4671.884,5719.943,4465.231
16:03:29.0,5432.062,4690.058,4425.436
16:03:30.0,5077.127,5337.39,4680.551
16:03:31.0,6374.807,5206.141,4179.959
16:03:32.0,4948.075,4099.171,3628.04
16:03:33.0,6020.242,5861.589,5270.763
16:03:34.0,3684.099,6379.229,7500.499
16:03:35.0,4721.343,4608.047,5090.586
16:03:36.0,4732.951,6014.574,4982.48
16:03:37.0,4512.927,5463.198,6230.035
16:03:38.0,5412.014,4811.951,4166.324
16:03:39.0,6207.493,4943.056,5223.779
16:03:40.0,4139.224,5700.081,5736.974
16:03:41.0,4371.84,5861.862,4630.018
16:03:42.0,7150.094,4446.451,4396.238
16:03:43.0,5474.992,4152.996,5655.672
16:03:44.0,4976.28,4858.09,5743.265
16:03:45.0,5465.067,4269.641,4994.112
16:03:46.0,4269.025,4378.276,4077.605
16:03:47.0,3939.041,5894.994,4313.897
16:03:48.0,6166.359,4912.108,5467.689
16:03:49.0,5835.979,3840.096,4084.477
16:03:50.0,4339.868,5448.929,5374.65
16:03:51.0,5744.608,4842.665,4447.72
16:03:52.0,3776.809,5599.619,5351.763
16:03:53.0,3531.879,5989.864,4891.867
16:03:54.0,6387.052,5607.066,3981.132
16:03:55.0,4777.954,5878.374,5847.299
16:03:56.0,5824.483,5046.512,4575.787
16:03:57.0,6495.72,4520.375,3897.277
16:03:58.0,3195.522,6248.5,6047.208
16:03:59.0,3568.58,5816.412,3708.074
16:04:00.0,6386.068,5988.965,5315.418
16:04:01.0,4135.306,5155.522,6086.622
16:04:02.0,4606.094,5271.621,4783.693
16:04:03.0,6314.359,5060.005,5741.318
16:04:04.0,4727.466,4643.838,4632.248
16:04:05.0,5556.35,4997.084,4921.174
16:04:06.0,4818.791,4360.455,3756.613
16:04:07.0,4578.47,5341.298,4068.732
16:04:08.0,7168.452,4469.126,3619.731
16:04:09.0,7559.646,4378.418,4058.869
16:04:10.0,6191.008,3938.698,4264.554
16:04:11.0,6544.123,4704.509,5418.25
16:04:12.0,4347.354,4556.572,6432.798
16:04:13.0,5237.406,5277.351,4987.679
16:04:14.0,7161.77,3801.392,4349.384
16:04:15.0,4151.032,5268.101,4671.735
16:04:16.0,6387.117,5700.472,4716.512
16:04:17.0,6663.659,4710.883,5886.72
16:04:18.0,4939.242,3923.939,5311.238
16:04:19.0,4272.449,5703.965,4238.5
16:04:20.0,6637.644,5203.814,2924.817
16:04:21.0,1118.177,2961.987,0.984
16:04:22.0,1.21,1.652,6.333
16:04:23.0,1.322,6.654,1.282
16:04:24.0,6.852,1.333,0.947
16:04:25.0,1.218,1.595,0.929
16:04:26.0,1.275,1.614,1.261
16:04:27.0,1.272,0.97,5.656
