Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
15:15:27.0,,0.0,0.0
15:15:28.0,0.0,,
15:15:29.0,5.194,0.995,1.567
15:15:30.0,1.284,1.622,1.249
15:15:31.0,1.21,0.998,1.261
15:15:32.0,1.221,6.725,5.212
15:15:33.0,1.273,1.305,1.254
15:15:34.0,76.133,0.975,1.584
15:15:35.0,973.004,325.665,427.082
15:15:36.0,5041.586,1721.217,3817.458
15:15:37.0,5696.242,1937.598,5893.219
15:15:38.0,4417.27,3026.086,4560.109
15:15:39.0,4498.407,4296.363,3948.718
15:15:40.0,4042.027,4306.033,4114.379
15:15:41.0,4660.868,3756.836,4046.487
15:15:42.0,5413.568,3684.173,4129.553
15:15:43.0,4987.3,3503.378,4228.917
15:15:44.0,4692.026,3171.607,5148.695
15:15:45.0,4508.484,3222.055,5153.223
15:15:46.0,4493.805,2902.403,5366.788
15:15:47.0,4759.512,2781.478,5947.764
15:15:48.0,6321.46,2074.952,5455.56
15:15:49.0,8189.431,1930.412,4102.475
15:15:50.0,8203.955,1937.542,4336.917
15:15:51.0,8057.455,1973.553,4180.152
15:15:52.0,8402.122,1625.2,4339.516
15:15:53.0,8491.865,1649.68,4516.779
15:15:54.0,8748.949,1533.5,4300.602
15:15:55.0,8472.645,1693.678,4437.757
15:15:56.0,8406.078,1683.095,4288.749
15:15:57.0,8683.639,1579.299,4073.689
15:15:58.0,8730.151,1714.893,4157.643
15:15:59.0,8530.418,1575.54,4196.296
15:16:00.0,8287.38,1778.549,4414.989
15:16:01.0,8453.692,1589.104,4269.957
15:16:02.0,8531.775,1727.363,4354.759
15:16:03.0,8123.769,1602.353,4388.265
15:16:04.0,8609.576,1703.527,4476.246
15:16:05.0,8733.443,1674.465,4222.798
15:16:06.0,8259.468,1600.661,4058.845
15:16:07.0,8233.77,1508.106,4549.542
15:16:08.0,8481.673,1588.872,4562.145
15:16:09.0,8103.077,1547.463,4436.208
15:16:10.0,9073.357,1842.891,4042.205
15:16:11.0,8850.802,1913.925,4012.548
15:16:12.0,9025.282,1782.509,3913.252
15:16:13.0,8960.688,1804.058,3889.153
15:16:14.0,8538.067,2117.395,3895.398
15:16:15.0,8776.593,2122.802,3720.376
15:16:16.0,8873.454,2581.756,3209.219
15:16:17.0,8527.316,3191.718,2937.853
15:16:18.0,8080.065,3406.739,3097.982
15:16:19.0,7570.818,4208.236,2960.858
15:16:20.0,7625.788,3860.386,2908.125
15:16:21.0,7857.129,3665.122,3064.708
15:16:22.0,7471.0,4000.278,3137.958
15:16:23.0,6672.13,4339.247,3326.304
15:16:24.0,6871.986,4027.717,3225.697
15:16:25.0,6909.84,3393.282,3943.939
15:16:26.0,6976.475,3231.075,4098.085
15:16:27.0,7022.324,3165.913,4178.778
15:16:28.0,6791.657,3224.411,4079.052
15:16:29.0,6219.063,2756.958,4868.935
15:16:30.0,6459.863,2583.778,4725.771
15:16:31.0,6870.33,2936.228,4460.47
15:16:32.0,6995.99,3221.448,3885.417
15:16:33.0,6821.463,3448.155,3940.817
15:16:34.0,7018.014,3136.947,4260.579
15:16:35.0,7101.943,2738.251,4563.777
15:16:36.0,7090.93,2767.209,4371.571
15:16:37.0,7395.825,2647.948,4377.739
15:16:38.0,7217.458,2610.232,4162.733
15:16:39.0,7467.477,2694.932,4335.639
15:16:40.0,6789.723,2485.296,4833.126
15:16:41.0,6713.634,2601.4,4833.826
15:16:42.0,7224.769,2505.093,4638.542
15:16:43.0,6682.817,2490.39,5054.514
15:16:44.0,6789.887,2536.556,4959.875
15:16:45.0,7074.629,2400.192,4663.291
15:16:46.0,7046.679,2257.785,5063.229
15:16:47.0,7766.718,2150.034,4887.474
15:16:48.0,8557.824,2362.976,3915.986
15:16:49.0,8363.016,2168.358,3897.583
15:16:50.0,8849.807,2331.09,3766.293
15:16:51.0,8681.687,2413.969,3394.553
15:16:52.0,9021.079,2220.533,3267.544
15:16:53.0,8434.42,2537.559,3545.024
15:16:54.0,8983.807,2294.345,3622.225
15:16:55.0,9046.818,2211.902,3537.058
15:16:56.0,9130.558,2317.832,3410.084
15:16:57.0,8659.612,2268.549,3866.354
15:16:58.0,8089.823,2436.884,3814.859
15:16:59.0,8593.931,2607.348,3597.613
15:17:00.0,8200.043,3218.917,3337.244
15:17:01.0,8069.419,3147.405,3328.529
15:17:02.0,8055.334,3098.45,3481.997
15:17:03.0,7782.268,3007.911,3423.793
15:17:04.0,8321.482,3170.345,3366.384
15:17:05.0,7897.871,3196.759,3536.904
15:17:06.0,6776.978,2435.184,4902.373
15:17:07.0,7036.577,2268.989,5108.043
15:17:08.0,6956.314,2066.719,5164.411
15:17:09.0,7137.314,2129.783,4881.121
15:17:10.0,6846.17,1983.949,4968.223
15:17:11.0,6764.736,2111.169,5036.232
15:17:12.0,7304.717,1960.13,4871.522
15:17:13.0,7103.453,1970.957,5197.686
15:17:14.0,6994.784,2159.258,5259.19
15:17:15.0,7010.443,2060.251,5086.615
15:17:16.0,8144.835,2280.532,4465.084
15:17:17.0,7779.019,2287.974,3323.839
15:17:18.0,8848.197,2674.136,3603.824
15:17:19.0,8817.079,2472.526,3548.166
15:17:20.0,8367.208,2527.54,3663.326
15:17:21.0,8266.177,2691.39,3497.431
15:17:22.0,8083.459,3050.02,3496.652
15:17:23.0,8538.039,2330.785,3786.245
15:17:24.0,8400.118,2794.148,3717.107
15:17:25.0,8296.961,2808.873,3614.02
15:17:26.0,8311.25,2754.833,3586.262
15:17:27.0,8257.597,2750.34,3511.666
15:17:28.0,7948.329,2761.559,3566.915
15:17:29.0,8439.175,2710.191,3490.412
15:17:30.0,8279.876,2500.151,3553.853
15:17:31.0,8526.93,2579.814,3651.367
15:17:32.0,7837.684,2738.126,3556.01
15:17:33.0,8900.504,2698.171,3529.697
15:17:34.0,8402.174,2669.175,3444.1
15:17:35.0,8263.015,2795.808,3459.386
15:17:36.0,8805.847,2620.029,3533.211
15:17:37.0,8350.953,2721.909,3575.809
15:17:38.0,8352.401,2900.797,3783.935
15:17:39.0,8516.539,2445.119,3446.387
15:17:40.0,8350.262,2675.616,3655.079
15:17:41.0,8357.668,2643.305,3555.279
15:17:42.0,8444.4,2663.7,3705.667
15:17:43.0,8215.873,2635.779,3568.244
15:17:44.0,8266.982,2628.403,3398.151
15:17:45.0,8077.487,2611.529,3575.394
15:17:46.0,8443.779,2705.888,3654.984
15:17:47.0,8159.58,2627.866,3427.771
15:17:48.0,8638.57,2649.018,3700.438
15:17:49.0,8455.373,2617.766,3529.22
15:17:50.0,8094.778,2766.666,3588.135
15:17:51.0,8671.469,2400.479,3624.707
15:17:52.0,7479.713,1888.452,4671.301
15:17:53.0,6877.377,1698.299,5076.158
15:17:54.0,7332.455,1669.36,5040.946
15:17:55.0,7238.617,1780.318,5266.008
15:17:56.0,7265.898,1757.748,5082.355
15:17:57.0,7104.148,1707.625,5118.624
15:17:58.0,7753.357,1669.476,5176.438
15:17:59.0,8610.947,2252.514,3711.345
15:18:00.0,8928.007,2136.762,3619.284
15:18:01.0,8469.707,2225.824,3658.293
15:18:02.0,8515.193,2243.683,3535.536
15:18:03.0,8533.306,2483.371,3534.251
15:18:04.0,8350.037,2691.611,3445.213
15:18:05.0,7755.056,2492.821,3857.599
15:18:06.0,6945.354,2134.289,4965.775
15:18:07.0,6957.905,2101.692,5016.636
15:18:08.0,6956.643,2182.854,4997.691
15:18:09.0,7578.165,2435.079,4725.67
15:18:10.0,7967.757,2939.215,3596.531
15:18:11.0,7683.319,3417.326,3219.81
15:18:12.0,7522.511,3370.776,3477.645
15:18:13.0,7418.555,3295.62,3407.936
15:18:14.0,7758.332,3548.923,3362.992
15:18:15.0,7724.314,3208.248,3516.708
15:18:16.0,7533.298,3365.256,3681.825
15:18:17.0,7796.853,3413.7,3393.114
15:18:18.0,7711.913,3304.31,3651.617
15:18:19.0,7570.907,3527.27,3229.15
15:18:20.0,7691.773,3320.274,3566.707
15:18:21.0,7795.41,3329.866,3438.973
15:18:22.0,7792.8,3522.044,3331.377
15:18:23.0,7782.371,3295.296,3451.099
15:18:24.0,7560.58,3310.736,3504.17
15:18:25.0,7678.022,3335.094,3607.66
15:18:26.0,7675.189,3143.435,3675.768
15:18:27.0,8486.785,2681.891,3640.364
15:18:28.0,8232.816,2729.535,3535.099
15:18:29.0,7964.799,2780.414,3657.416
15:18:30.0,8277.92,2690.07,3725.802
15:18:31.0,8206.138,2826.748,3747.87
15:18:32.0,8455.028,2520.266,3762.66
15:18:33.0,8265.604,2697.009,3575.56
15:18:34.0,8071.548,2711.706,3768.332
15:18:35.0,2711.625,2595.444,3157.073
15:18:36.0,1.259,1.639,1.303
15:18:37.0,1.31,6.622,6.367
15:18:38.0,1.531,1.311,1.286
15:18:39.0,6.645,0.991,1.267
15:18:40.0,1.216,1.585,1.247
15:18:41.0,1.281,0.988,1.261
