Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
16:43:12.0,,,0.0
16:43:13.0,0.0,,
16:43:14.0,77.059,0.0,1.122
16:43:15.0,0.98,1.716,1.488
16:43:16.0,1.223,1.261,1.571
16:43:17.0,1.252,1.281,5.326
16:43:18.0,1.531,4.976,0.963
16:43:19.0,6.587,1.592,1.286
16:43:20.0,1.287,1.243,0.998
16:43:21.0,1.263,1.281,1.28
16:43:22.0,1.231,1.292,5.014
16:43:23.0,1.216,7.014,0.963
16:43:24.0,5.225,1.659,1.224
16:43:25.0,1.271,1.614,1.316
16:43:26.0,1.253,0.982,0.951
16:43:27.0,1.549,1.628,6.346
16:43:28.0,1.336,5.588,1.03
16:43:29.0,5.292,1.27,1.282
16:43:30.0,535.861,1.305,136.025
16:43:31.0,1929.739,177.567,1312.125
16:43:32.0,2463.949,986.105,1933.483
16:43:33.0,2845.203,958.792,2650.151
16:43:34.0,3324.222,1166.168,2819.57
16:43:35.0,2829.546,1436.646,3440.092
16:43:36.0,3512.909,1167.967,3442.715
16:43:37.0,3855.855,1891.878,3206.982
16:43:38.0,4196.83,2097.275,2817.932
16:43:39.0,3832.24,1978.185,3239.206
16:43:40.0,4349.769,2021.73,3570.135
16:43:41.0,3997.696,2025.388,3164.069
16:43:42.0,3840.072,2187.329,3474.877
16:43:43.0,4599.085,2339.049,2958.445
16:43:44.0,3821.327,1974.018,3520.242
16:43:45.0,4070.393,2251.74,3026.578
16:43:46.0,3587.3,2174.658,3670.596
16:43:47.0,4418.459,2290.913,3444.843
16:43:48.0,4326.584,2077.68,2532.009
16:43:49.0,4018.23,1949.321,3207.351
16:43:50.0,4520.852,2367.924,3383.949
16:43:51.0,3654.879,1999.55,3303.204
16:43:52.0,3609.54,2574.511,3368.759
16:43:53.0,4052.171,2187.261,2832.621
16:43:54.0,3639.36,2259.905,3021.639
16:43:55.0,3768.29,2302.79,3453.424
16:43:56.0,3853.568,2302.457,3004.632
16:43:57.0,3848.276,2208.164,3309.674
16:43:58.0,3893.322,1918.329,3098.454
16:43:59.0,4447.427,2382.458,2968.149
16:44:00.0,3918.89,1837.937,3695.678
16:44:01.0,3750.502,2137.685,3173.132
16:44:02.0,3988.41,2086.527,3356.444
16:44:03.0,3802.952,2032.916,3255.253
16:44:04.0,4212.159,2280.104,3744.097
16:44:05.0,4153.183,2225.942,3293.976
16:44:06.0,4337.907,2328.269,3517.173
16:44:07.0,4789.746,2141.777,2931.482
