Elapsed time,192.168.46.11 CPU user,192.168.46.12 CPU user,192.168.46.13 CPU user
12:44:52.0,1.529,,2.055
12:44:53.0,0.0,1.354,0.251
12:44:54.0,0.0,0.751,0.0
12:44:55.0,0.0,0.0,0.5
12:44:56.0,0.0,0.25,0.25
12:44:57.0,0.25,0.501,0.251
12:44:58.0,0.25,0.25,0.248
12:44:59.0,0.0,0.0,0.251
12:45:00.0,3.508,0.25,0.25
12:45:01.0,0.498,0.25,0.25
12:45:02.0,0.0,0.751,0.503
12:45:03.0,22.166,0.248,28.571
12:45:04.0,24.31,38.383,28.14
12:45:05.0,2.5,0.501,0.501
12:45:06.0,0.5,0.502,0.25
12:45:07.0,0.0,2.5,0.5
12:45:08.0,0.25,2.5,0.251
12:45:09.0,0.249,0.25,2.506
12:45:10.0,0.251,0.75,1.246
12:45:11.0,0.25,1.758,0.0
12:45:12.0,0.0,1.75,1.5
12:45:13.0,0.501,1.503,1.005
12:45:14.0,64.631,24.371,73.67
12:45:15.0,5.764,44.416,8.75
12:45:16.0,0.997,0.25,0.25
12:45:17.0,0.5,1.246,0.251
12:45:18.0,0.248,0.0,0.5
12:45:19.0,0.0,1.253,0.0
12:45:20.0,0.25,1.507,0.751
12:45:21.0,0.0,0.25,0.25
12:45:22.0,0.25,0.5,0.251
12:45:23.0,0.25,0.0,0.25
12:45:24.0,0.755,0.25,0.75
12:45:25.0,44.02,2.25,50.252
12:45:26.0,29.04,71.859,22.11
12:45:27.0,0.25,1.0,1.507
12:45:28.0,0.0,2.5,0.753
12:45:29.0,0.25,0.0,0.498
12:45:30.0,0.0,5.97,0.501
12:45:31.0,0.25,0.0,0.25
12:45:32.0,0.0,0.501,0.25
12:45:33.0,6.516,0.0,0.502
12:45:34.0,0.0,0.0,0.5
12:45:35.0,0.25,0.25,0.0
12:45:36.0,0.251,0.0,0.498
12:45:37.0,17.164,0.5,23.291
12:45:38.0,76.47,44.332,59.746
12:45:39.0,9.0,61.012,0.251
12:45:40.0,0.0,0.0,0.501
12:45:41.0,0.5,1.0,0.25
12:45:42.0,0.5,0.501,1.002
12:45:43.0,0.0,0.25,0.0
12:45:44.0,0.251,0.0,0.25
12:45:45.0,0.249,0.25,0.5
12:45:46.0,0.251,0.0,0.25
12:45:47.0,0.25,0.748,0.0
12:45:48.0,0.25,0.0,0.501
12:45:49.0,0.502,0.25,0.498
12:45:50.0,0.25,0.0,0.0
12:45:51.0,62.121,15.577,66.498
12:45:52.0,26.75,69.543,18.891
12:45:53.0,0.249,9.725,0.0
12:45:54.0,1.262,0.5,0.25
12:45:55.0,0.0,0.25,1.253
12:45:56.0,0.249,0.25,0.248
12:45:57.0,0.0,2.255,0.251
12:45:58.0,0.0,0.75,0.25
12:45:59.0,0.5,0.0,0.0
12:46:00.0,0.0,0.25,0.0
12:46:01.0,0.0,0.0,0.25
12:46:02.0,0.249,0.25,0.25
12:46:03.0,0.0,0.25,0.0
12:46:04.0,0.251,0.25,0.25
12:46:05.0,10.327,0.25,17.839
12:46:06.0,75.376,42.211,65.979
12:46:07.0,6.801,48.849,13.032
12:46:08.0,0.25,0.249,0.0
12:46:09.0,0.251,0.0,0.25
12:46:10.0,0.0,0.0,0.251
12:46:11.0,0.498,0.254,0.0
12:46:12.0,0.0,0.497,0.0
12:46:13.0,0.502,0.25,0.25
12:46:14.0,0.0,0.0,0.25
12:46:15.0,0.0,0.0,0.0
12:46:16.0,0.5,0.0,0.497
12:46:17.0,0.0,0.753,0.25
12:46:18.0,0.25,0.0,0.25
12:46:19.0,0.25,0.5,0.25
12:46:20.0,0.251,1.25,0.25
12:46:21.0,36.658,0.25,43.797
12:46:22.0,68.03,69.191,57.323
12:46:23.0,24.812,48.586,0.25
12:46:24.0,0.501,0.0,0.25
12:46:25.0,0.0,0.0,0.25
12:46:26.0,0.251,0.25,0.251
12:46:27.0,0.25,0.251,0.502
12:46:28.0,0.501,0.25,1.002
12:46:29.0,0.0,0.0,0.0
12:46:30.0,1.246,0.0,0.25
12:46:31.0,0.0,0.25,0.0
12:46:32.0,0.25,0.25,0.25
12:46:33.0,1.253,0.25,0.25
12:46:34.0,0.0,0.25,0.25
12:46:35.0,0.0,0.0,0.249
12:46:36.0,0.501,0.25,0.25
12:46:37.0,0.25,0.25,0.502
12:46:38.0,65.648,15.949,70.959
12:46:39.0,68.607,79.695,21.882
12:46:40.0,9.296,10.606,0.0
12:46:41.0,0.25,1.0,0.25
12:46:42.0,0.0,0.75,0.498
12:46:43.0,0.502,0.25,0.0
12:46:44.0,0.0,0.0,0.0
12:46:45.0,0.25,0.0,0.25
12:46:46.0,0.25,0.0,0.0
12:46:47.0,0.25,0.251,0.75
12:46:48.0,0.501,0.0,0.0
12:46:49.0,0.0,0.25,1.5
12:46:50.0,0.25,0.0,0.249
12:46:51.0,0.0,0.25,0.25
12:46:52.0,0.25,0.5,0.25
12:46:53.0,0.0,0.25,0.25
12:46:54.0,0.25,1.511,0.0
12:46:55.0,11.586,0.25,3.015
12:46:56.0,68.489,27.272,77.078
