Elapsed time,192.168.46.11 CPU user,192.168.46.12 CPU user,192.168.46.13 CPU user
12:13:51.0,3.742,,5.646
12:13:52.0,0.25,3.896,8.542
12:13:53.0,0.25,0.25,4.987
12:13:54.0,49.234,4.785,47.979
12:13:55.0,17.543,53.465,22.807
12:13:56.0,0.0,1.511,5.25
12:13:57.0,1.5,0.251,20.707
12:13:58.0,1.253,0.748,3.25
12:13:59.0,1.75,0.0,4.01
12:14:00.0,1.5,0.251,3.797
12:14:01.0,0.0,0.753,1.754
12:14:02.0,0.0,1.0,2.01
12:14:03.0,0.251,2.992,2.255
12:14:04.0,8.478,1.002,16.791
12:14:05.0,76.485,53.75,58.928
12:14:06.0,2.512,19.289,13.75
12:14:07.0,0.249,0.25,5.037
12:14:08.0,0.0,0.0,3.99
12:14:09.0,0.501,0.25,2.493
12:14:10.0,0.748,0.0,5.541
12:14:11.0,0.251,0.0,2.272
12:14:12.0,0.25,1.253,1.25
12:14:13.0,0.251,1.25,1.745
12:14:14.0,0.251,1.25,1.496
12:14:15.0,0.0,0.501,3.217
12:14:16.0,64.54,30.653,64.987
12:14:17.0,51.908,73.989,60.406
12:14:18.0,0.25,6.733,3.015
12:14:19.0,0.748,0.501,5.263
12:14:20.0,0.25,0.25,3.241
12:14:21.0,1.758,1.25,1.259
12:14:22.0,1.0,0.25,1.515
12:14:23.0,0.502,0.251,1.253
12:14:24.0,1.754,0.25,3.015
12:14:25.0,1.253,0.0,1.25
12:14:26.0,0.0,0.25,1.496
12:14:27.0,0.498,0.501,2.506
12:14:28.0,37.948,8.977,43.511
12:14:29.0,68.393,65.404,62.972
12:14:30.0,0.0,14.795,3.508
12:14:31.0,0.0,0.0,2.756
12:14:32.0,0.501,0.502,1.007
12:14:33.0,0.25,0.0,2.784
12:14:34.0,0.503,1.0,1.496
12:14:35.0,0.25,0.5,1.745
12:14:36.0,1.005,1.259,1.262
12:14:37.0,0.25,0.501,3.03
12:14:38.0,0.25,0.25,1.507
12:14:39.0,0.251,0.5,1.515
12:14:40.0,0.498,0.0,2.25
12:14:41.0,1.758,0.746,7.537
12:14:42.0,70.737,40.203,64.16
12:14:43.0,57.682,39.593,38.618
12:14:44.0,0.0,1.005,3.258
12:14:45.0,0.25,0.5,1.253
12:14:46.0,0.251,0.25,3.015
12:14:47.0,0.25,0.25,1.25
12:14:48.0,0.25,0.25,1.259
12:14:49.0,0.251,0.25,2.77
12:14:50.0,0.25,0.0,1.496
12:14:51.0,0.25,0.25,1.741
12:14:52.0,0.248,0.25,2.0
12:14:53.0,0.25,0.0,2.777
12:14:54.0,0.501,0.0,1.269
12:14:55.0,0.5,0.501,1.25
12:14:56.0,31.313,0.502,33.164
12:14:57.0,74.873,65.721,53.03
12:14:58.0,21.914,24.556,3.75
12:14:59.0,0.5,0.25,2.743
12:15:00.0,0.0,0.251,1.511
12:15:01.0,0.25,0.0,2.992
12:15:02.0,0.501,0.5,2.512
12:15:03.0,0.248,0.25,1.256
12:15:04.0,0.0,0.25,1.745
12:15:05.0,0.5,0.0,3.465
12:15:06.0,0.0,0.498,1.488
12:15:07.0,0.25,0.0,2.015
12:15:08.0,0.25,0.25,1.515
12:15:09.0,0.0,0.0,3.258
12:15:10.0,0.25,0.25,1.496
12:15:11.0,0.498,0.0,1.005
12:15:12.0,56.852,24.556,58.291
12:15:13.0,57.474,69.565,61.323
12:15:14.0,7.017,14.463,2.233
12:15:15.0,0.0,1.25,2.261
12:15:16.0,0.251,0.0,2.512
12:15:17.0,0.249,0.75,1.75
12:15:18.0,0.25,0.0,1.741
12:15:19.0,0.0,0.25,3.491
12:15:20.0,0.25,0.25,1.246
12:15:21.0,0.0,0.25,1.25
12:15:22.0,0.0,0.5,1.75
12:15:23.0,0.5,0.0,2.756
12:15:24.0,1.256,0.0,1.503
12:15:25.0,1.25,0.251,1.269
12:15:26.0,0.25,0.25,1.488
12:15:27.0,0.25,0.501,3.03
12:15:28.0,0.0,0.0,8.838
12:15:29.0,72.864,40.806,63.968
12:15:30.0,74.358,70.876,44.531
12:15:31.0,3.258,25.0,0.0
12:15:32.0,0.0,0.502,0.251
12:15:33.0,0.25,0.751,0.0
12:15:34.0,0.501,0.498,0.25
12:15:35.0,0.0,0.501,0.25
12:15:36.0,0.25,0.25,0.502
12:15:37.0,0.251,0.502,0.25
12:15:38.0,0.0,0.0,0.25
12:15:39.0,0.251,0.25,0.5
12:15:40.0,0.25,0.501,0.25
12:15:41.0,0.249,0.0,0.0
12:15:42.0,0.25,0.5,0.25
12:15:43.0,0.0,0.0,0.0
12:15:44.0,0.502,0.25,0.0
12:15:45.0,0.0,0.25,0.249
12:15:46.0,1.007,0.25,3.022
12:15:47.0,59.151,36.153,31.382
12:15:48.0,59.846,69.408,27.204
12:15:49.0,0.25,44.303,0.251
12:15:50.0,0.0,2.75,0.25
12:15:51.0,0.0,0.25,0.25
12:15:52.0,0.25,0.25,0.25
12:15:53.0,0.25,1.0,0.0
12:15:54.0,0.0,0.0,0.25
12:15:55.0,0.25,0.498,0.25
12:15:56.0,0.0,0.5,0.0
12:15:57.0,0.249,0.501,0.0
12:15:58.0,0.0,0.25,0.0
12:15:59.0,0.0,0.25,0.498
12:16:00.0,0.25,0.0,0.0
12:16:01.0,0.25,0.25,0.251
12:16:02.0,0.502,0.251,0.501
12:16:03.0,0.0,0.251,0.0
12:16:04.0,0.497,0.25,0.501
12:16:05.0,0.0,0.25,0.25
12:16:06.0,52.284,27.318,52.368
12:16:07.0,57.323,69.922,55.905
12:16:08.0,30.478,54.263,10.485
12:16:09.0,0.251,3.0,0.0
12:16:10.0,0.249,0.25,0.751
12:16:11.0,0.251,0.501,0.0
12:16:12.0,0.0,0.501,0.501
12:16:13.0,0.25,0.25,0.25
12:16:14.0,0.251,0.25,0.498
12:16:15.0,0.25,1.0,0.25
12:16:16.0,0.25,0.25,0.0
12:16:17.0,0.0,0.0,0.0
12:16:18.0,0.0,0.25,0.25
12:16:19.0,0.748,0.0,0.249
12:16:20.0,0.0,0.25,0.25
12:16:21.0,0.0,0.0,0.25
12:16:22.0,0.0,0.502,0.503
12:16:23.0,0.248,0.0,0.0
12:16:24.0,0.503,0.0,0.251
12:16:25.0,1.25,0.0,0.0
12:16:26.0,14.861,0.5,20.356
12:16:27.0,57.251,55.038,23.907
12:16:28.0,46.969,45.91,14.211
12:16:29.0,10.941,43.622,9.319
12:16:30.0,0.25,2.0,2.255
12:16:31.0,0.25,0.0,0.25
12:16:32.0,0.25,0.501,0.0
12:16:33.0,0.0,0.25,0.25
12:16:34.0,0.25,0.748,0.0
12:16:35.0,0.25,0.251,0.0
12:16:36.0,0.25,0.751,0.0
12:16:37.0,0.0,0.501,0.501
12:16:38.0,0.249,0.25,0.502
12:16:39.0,0.502,0.25,0.249
12:16:40.0,0.0,0.0,0.0
12:16:41.0,0.0,0.25,0.497
12:16:42.0,0.0,0.251,0.502
12:16:43.0,0.25,0.25,0.0
12:16:44.0,0.25,0.0,1.503
12:16:45.0,0.25,0.0,0.25
12:16:46.0,0.5,0.25,0.25
12:16:47.0,0.25,0.251,0.5
12:16:48.0,15.538,0.249,22.613
12:16:49.0,43.544,42.819,32.898
12:16:50.0,25.132,41.343,42.748
12:16:51.0,8.418,32.198,3.03
12:16:52.0,0.0,0.0,0.25
12:16:53.0,0.0,0.0,0.25
12:16:54.0,0.25,0.245,0.25
12:16:55.0,0.25,0.255,0.25
12:16:56.0,0.0,0.0,0.25
12:16:57.0,0.0,0.0,0.25
12:16:58.0,0.249,0.25,0.0
12:16:59.0,0.251,0.498,0.251
12:17:00.0,0.0,0.251,0.0
12:17:01.0,0.498,0.25,0.25
12:17:02.0,0.25,0.251,0.251
12:17:03.0,0.25,0.0,0.0
12:17:04.0,0.25,0.249,0.0
12:17:05.0,0.25,0.25,0.25
12:17:06.0,0.0,0.501,0.5
12:17:07.0,0.5,0.501,0.498
12:17:08.0,0.0,0.0,0.0
12:17:09.0,0.5,0.0,0.0
12:17:10.0,0.0,0.0,0.25
12:17:11.0,12.276,0.249,13.043
12:17:12.0,26.493,46.456,38.541
12:17:13.0,22.976,27.604,10.282
12:17:14.0,11.055,26.063,23.096
12:17:15.0,1.262,2.564,6.965
12:17:16.0,0.0,0.501,0.251
12:17:17.0,0.25,0.251,0.501
12:17:18.0,0.249,0.25,0.0
12:17:19.0,0.251,0.0,0.498
12:17:20.0,0.25,0.0,0.25
12:17:21.0,0.25,0.25,0.25
12:17:22.0,0.25,0.751,0.251
12:17:23.0,0.0,0.0,0.0
12:17:24.0,0.5,0.25,0.25
12:17:25.0,0.25,0.249,0.5
12:17:26.0,0.498,0.5,0.0
12:17:27.0,0.0,0.25,0.0
12:17:28.0,0.25,0.0,0.0
12:17:29.0,0.25,0.0,0.249
12:17:30.0,0.0,0.25,0.251
12:17:31.0,0.0,0.0,0.0
12:17:32.0,0.25,0.502,0.501
12:17:33.0,0.25,0.25,0.0
12:17:34.0,0.25,0.0,0.501
12:17:35.0,0.0,0.25,0.501
12:17:36.0,24.421,14.72,24.489
12:17:37.0,24.164,29.365,28.647
12:17:38.0,15.748,10.512,34.793
12:17:39.0,10.051,28.974,9.438
12:17:40.0,0.25,2.538,0.0
12:17:41.0,0.25,0.0,0.0
12:17:42.0,0.0,0.252,0.502
12:17:43.0,0.249,0.0,0.5
12:17:44.0,0.502,0.25,0.0
12:17:45.0,0.25,0.25,0.0
12:17:46.0,0.0,0.25,0.0
12:17:47.0,0.25,0.0,0.251
12:17:48.0,0.0,0.0,0.25
12:17:49.0,0.5,0.25,0.5
12:17:50.0,0.0,0.0,0.25
12:17:51.0,0.25,0.25,0.249
12:17:52.0,0.25,0.748,0.25
12:17:53.0,0.0,0.0,0.25
12:17:54.0,0.501,0.0,0.0
12:17:55.0,0.0,0.5,0.0
12:17:56.0,0.5,0.25,0.25
12:17:57.0,0.0,0.25,0.249
12:17:58.0,0.5,0.0,0.25
12:17:59.0,0.251,0.0,0.0
12:18:00.0,0.25,0.251,0.0
12:18:01.0,0.5,0.25,0.25
12:18:02.0,26.153,16.284,23.324
12:18:03.0,40.519,31.331,8.73
12:18:04.0,27.461,10.512,32.898
12:18:05.0,13.994,26.817,24.421
12:18:06.0,3.015,38.359,3.015
12:18:07.0,0.251,4.02,0.501
12:18:08.0,0.25,0.25,0.0
12:18:09.0,2.506,4.02,0.0
12:18:10.0,0.25,0.249,0.25
12:18:11.0,0.502,0.25,0.0
12:18:12.0,0.0,2.512,0.501
12:18:13.0,0.0,2.756,0.249
12:18:14.0,0.502,0.0,0.25
12:18:15.0,0.249,0.0,0.25
12:18:16.0,0.501,0.25,0.25
12:18:17.0,0.0,2.01,0.25
12:18:18.0,0.0,0.748,0.0
12:18:19.0,0.25,0.25,0.25
12:18:20.0,0.0,0.0,3.0
12:18:21.0,0.25,0.25,0.0
12:18:22.0,0.25,0.252,0.501
12:18:23.0,0.0,0.0,0.5
12:18:24.0,4.271,0.25,0.0
12:18:25.0,9.975,0.25,0.0
