Elapsed time,192.168.46.11 Disks I/O unit=mb:readbytes:fs=/,192.168.46.12 Disks I/O unit=mb:readbytes:fs=/,192.168.46.13 Disks I/O unit=mb:readbytes:fs=/
12:13:51.0,0.0,,0.0
12:13:52.0,0.0,0.0,4.253
12:13:53.0,0.0,0.0,15.25
12:13:54.0,163.933,11.507,245.035
12:13:55.0,15.554,260.476,28.449
12:13:56.0,0.0,0.0,13.25
12:13:57.0,0.0,0.0,9.878
12:13:58.0,0.0,0.0,10.0
12:13:59.0,0.0,0.0,10.25
12:14:00.0,0.0,0.0,9.875
12:14:01.0,0.0,0.0,10.25
12:14:02.0,0.0,0.0,10.125
12:14:03.0,0.0,0.0,9.875
12:14:04.0,41.296,0.0,103.761
12:14:05.0,485.718,222.414,298.437
12:14:06.0,5.179,12.562,13.75
12:14:07.0,0.0,0.0,12.875
12:14:08.0,0.0,0.0,9.875
12:14:09.0,0.0,0.0,10.375
12:14:10.0,0.0,0.0,10.0
12:14:11.0,0.0,0.0,10.0
12:14:12.0,0.0,0.0,10.0
12:14:13.0,0.0,0.0,10.0
12:14:14.0,0.0,0.0,10.125
12:14:15.0,0.0,0.0,10.125
12:14:16.0,390.398,181.726,396.011
12:14:17.0,240.261,283.175,391.054
12:14:18.0,0.0,0.0,14.25
12:14:19.0,0.0,0.0,14.125
12:14:20.0,0.0,0.0,11.625
12:14:21.0,0.0,0.0,10.0
12:14:22.0,0.0,0.0,10.0
12:14:23.0,0.0,0.0,9.277
12:14:24.0,0.226,0.0,10.75
12:14:25.0,0.0,0.0,10.125
12:14:26.0,0.0,0.0,10.0
12:14:27.0,0.0,0.0,10.25
12:14:28.0,223.488,57.96,293.73
12:14:29.0,417.402,367.027,452.894
12:14:30.0,0.0,16.937,13.75
12:14:31.0,0.0,0.0,14.25
12:14:32.0,0.0,0.0,12.25
12:14:33.0,0.0,0.0,10.0
12:14:34.0,0.0,0.0,10.0
12:14:35.0,0.0,0.0,10.25
12:14:36.0,0.0,0.0,9.75
12:14:37.0,0.0,0.0,10.25
12:14:38.0,0.0,0.0,10.125
12:14:39.0,0.0,0.0,10.0
12:14:40.0,0.0,0.0,10.125
12:14:41.0,9.984,0.0,52.55
12:14:42.0,450.468,246.98,346.703
12:14:43.0,309.453,77.39,284.441
12:14:44.0,0.0,0.0,13.375
12:14:45.0,0.0,0.0,14.625
12:14:46.0,0.0,0.0,10.75
12:14:47.0,0.0,0.0,10.0
12:14:48.0,0.0,0.0,9.875
12:14:49.0,0.0,0.0,10.25
12:14:50.0,0.0,0.0,10.0
12:14:51.0,0.0,0.0,10.125
12:14:52.0,0.0,0.0,10.125
12:14:53.0,0.0,0.0,9.882
12:14:54.0,0.0,0.0,10.394
12:14:55.0,0.0,0.0,10.125
12:14:56.0,166.281,0.0,212.679
12:14:57.0,457.421,277.589,327.167
12:14:58.0,16.937,69.554,13.75
12:14:59.0,0.0,0.0,14.832
12:15:00.0,0.0,0.0,15.308
12:15:01.0,0.0,0.0,12.792
12:15:02.0,0.042,0.0,12.742
12:15:03.0,0.0,0.066,12.914
12:15:04.0,0.0,0.0,12.847
12:15:05.0,0.0,0.0,13.093
12:15:06.0,0.0,0.0,12.792
12:15:07.0,0.0,0.0,12.98
12:15:08.0,0.0,0.0,12.96
12:15:09.0,0.0,0.0,12.722
12:15:10.0,0.0,0.0,12.98
12:15:11.0,0.011,0.0,12.777
12:15:12.0,369.57,159.214,367.242
12:15:13.0,325.695,244.164,401.718
12:15:14.0,0.0,13.679,17.953
12:15:15.0,0.0,0.0,18.078
12:15:16.0,0.0,0.0,15.125
12:15:17.0,0.0,0.0,12.902
12:15:18.0,0.0,0.0,12.609
12:15:19.0,0.0,0.0,13.039
12:15:20.0,0.0,0.0,13.152
12:15:21.0,0.0,0.0,12.722
12:15:22.0,0.0,0.0,13.218
12:15:23.0,0.0,0.0,12.73
12:15:24.0,0.0,0.0,11.441
12:15:25.0,0.0,0.0,14.328
12:15:26.0,0.0,0.0,12.972
12:15:27.0,0.0,0.011,12.847
12:15:28.0,0.0,0.0,31.792
12:15:29.0,439.031,238.414,397.269
12:15:30.0,474.695,310.609,46.093
12:15:31.0,0.0,11.14,0.0
12:15:32.0,0.0,0.0,0.0
12:15:33.0,0.0,0.0,0.0
12:15:34.0,0.0,0.0,0.0
12:15:35.0,0.0,0.0,0.0
12:15:36.0,0.0,0.0,0.164
12:15:37.0,0.0,0.0,0.0
12:15:38.0,0.0,0.0,0.0
12:15:39.0,0.0,0.0,0.0
12:15:40.0,0.0,0.0,0.0
12:15:41.0,0.0,0.0,0.0
12:15:42.0,0.0,0.0,0.0
12:15:43.0,0.0,0.0,0.0
12:15:44.0,0.0,0.0,0.0
12:15:45.0,0.0,0.0,0.0
12:15:46.0,1.566,0.0,4.039
12:15:47.0,439.796,215.875,250.093
12:15:48.0,360.281,326.195,49.335
12:15:49.0,0.0,110.542,0.0
12:15:50.0,0.0,0.0,0.0
12:15:51.0,0.0,0.0,0.0
12:15:52.0,0.0,0.0,0.0
12:15:53.0,0.0,0.0,0.0
12:15:54.0,0.0,0.0,0.0
12:15:55.0,0.0,0.0,0.0
12:15:56.0,0.0,0.0,0.0
12:15:57.0,0.0,0.0,0.0
12:15:58.0,0.0,0.0,0.0
12:15:59.0,0.0,0.0,0.0
12:16:00.0,0.0,0.0,0.003
12:16:01.0,0.0,0.0,0.0
12:16:02.0,0.0,0.0,0.003
12:16:03.0,0.0,0.0,0.0
12:16:04.0,0.0,0.0,0.0
12:16:05.0,0.0,0.0,0.0
12:16:06.0,341.242,146.429,237.101
12:16:07.0,432.074,460.636,474.257
12:16:08.0,190.312,193.734,71.367
12:16:09.0,0.0,0.0,0.0
12:16:10.0,0.0,0.0,0.0
12:16:11.0,0.0,0.0,0.0
12:16:12.0,0.0,0.003,0.0
12:16:13.0,0.0,0.0,0.0
12:16:14.0,0.003,0.0,0.0
12:16:15.0,0.0,0.0,0.0
12:16:16.0,0.0,0.0,0.0
